商品ID,商品規格ID,親規格分類ID,規格分類ID,親規格分類名,規格分類名,メーカーID,メーカー名,商品名,表示ステータス(公開・非公開),メーカーURL(コメント1),コメント2,検索ワード(コメント3),コメント4,コメント5,コメント6,備考欄(SHOP専用),一覧-メインコメント,一覧-メイン画像,詳細-メインコメント,詳細-メイン画像,詳細-メイン拡大画像,詳細-サブタイトル(1),詳細-サブコメント(1),詳細-サブ画像(1),詳細-サブ拡大画像(1),詳細-サブタイトル(2),詳細-サブコメント(2),詳細-サブ画像(2),詳細-サブ拡大画像(2),詳細-サブタイトル(3),詳細-サブコメント(3),詳細-サブ画像(3),詳細-サブ拡大画像(3),詳細-サブタイトル(4),詳細-サブコメント(4),詳細-サブ画像(4),詳細-サブ拡大画像(4),詳細-サブタイトル(5),詳細-サブコメント(5),詳細-サブ画像(5),詳細-サブ拡大画像(5),発送日目安ID,削除フラグ,商品種別ID,商品コード,在庫数,在庫無制限フラグ,販売制限数,通常価格,販売価格,送料,ポイント付与率,ダウンロードファイル名,ダウンロード実ファイル,関連商品ID(1),関連商品コメント(1),関連商品ID(2),関連商品コメント(2),関連商品ID(3),関連商品コメント(3),関連商品ID(4),関連商品コメント(4),関連商品ID(5),関連商品コメント(5),関連商品ID(6),関連商品コメント(6),商品ステータス,商品ステータス名,カテゴリID,カテゴリ名
5,13,0,0,,,,,【2days/1night RENTAL】Y!mobile Pocket Wi-Fi  GL06P,1,,,,,,,,【2days/1night RENTAL】EMOBILE Pocket Wi-Fi LTE GL06P,03191055_550a2ca96b12f.jpg,*,03191055_550a2ca9685eb.jpg,03191055_550a2ca96578d.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_ym_001,,1,,,900,,5,,,,,,,,,,,,,,,,,2,EMOBILE
6,14,0,0,,,,,【3days/2nights RENTAL】Y!mobile Pocket Wi-Fi  GL06P,1,,,,,,,,【3days/2nights RENTAL】EMOBILE Pocket Wi-Fi LTE GL06P,03191055_550a2c9025a5b.jpg,*,03191055_550a2c9023293.jpg,03191055_550a2c9020635.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_ym_002,,1,,,1350,,5,,,,,,,,,,,,,,,,,2,EMOBILE
7,15,0,0,,,,,【4days/3nights RENTAL】Y!mobile Pocket Wi-Fi  GL06P,1,,,,,,,,【4days/3nights RENTAL】EMOBILE Pocket Wi-Fi LTE GL06P,03191055_550a2c7821bc1.jpg,*,03191055_550a2c781ed69.jpg,03191055_550a2c781b92d.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_ym_003,,1,,,1800,,5,,,,,,,,,,,,,,,,,2,EMOBILE
8,16,0,0,,,,,【5days/4nights RENTAL】Y!mobile Pocket Wi-Fi  GL06P,1,,,,,,,,【5days/4nights RENTAL】EMOBILE Pocket Wi-Fi LTE GL06P,03191054_550a2c6580eff.jpg,*,03191054_550a2c657e355.jpg,03191054_550a2c657b3b9.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_ym_004,,1,,,2250,,5,,,,,,,,,,,,,,,,,2,EMOBILE
9,17,0,0,,,,,【6days/5nights RENTAL】Y!mobile Pocket Wi-Fi  GL06P,1,,,,,,,,【6days/5nights RENTAL】EMOBILE Pocket Wi-Fi LTE GL06P,03191052_550a2bf1a44c0.jpg,*,03191052_550a2bf1a1965.jpg,03191052_550a2bf19e9eb.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_ym_005,,1,,,2700,,5,,,,,,,,,,,,,,,,,2,EMOBILE
10,18,0,0,,,,,【7days/6nights RENTAL】Y!mobile Pocket Wi-Fi  GL06P,1,,,,,,,,【7days/6nights RENTAL】EMOBILE Pocket Wi-Fi LTE GL06P,03191052_550a2bdb2707e.jpg,*,03191052_550a2bdb2456d.jpg,03191052_550a2bdb21688.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_ym_006,,1,,,3150,,5,,,,,,,,,,,,,,,,,2,EMOBILE
11,19,0,0,,,,,【8days/7nights RENTAL】Y!mobile Pocket Wi-Fi  GL06P,1,,,,,,,,【8days/7nights RENTAL】EMOBILE Pocket Wi-Fi LTE GL06P,03191052_550a2bc62288c.jpg,*,03191052_550a2bc61fc34.jpg,03191052_550a2bc61cd07.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_ym_007,,1,,,3600,,5,,,,,,,,,,,,,,,,,2,EMOBILE
12,20,0,0,,,,,【9days/8nights RENTAL】Y!mobile Pocket Wi-Fi  GL06P,1,,,,,,,,【9days/8nights RENTAL】EMOBILE Pocket Wi-Fi LTE GL06P,03191051_550a2baf4be24.jpg,*,03191051_550a2baf494db.jpg,03191051_550a2baf46740.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_ym_008,,1,,,4050,,5,,,,,,,,,,,,,,,,,2,EMOBILE
13,21,0,0,,,,,【10days/9nights RENTAL】Y!mobile Pocket Wi-Fi  GL06P,1,,,,,,,,【10days/9nights RENTAL】EMOBILE Pocket Wi-Fi LTE GL06P,03191051_550a2b9983e7d.jpg,*,03191051_550a2b99813d5.jpg,03191051_550a2b997e60a.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_ym_009,,1,,,4500,,5,,,,,,,,,,,,,,,,,2,EMOBILE
14,22,0,0,,,,,【11days/10nights RENTAL】Y!mobile Pocket Wi-Fi  GL06P,1,,,,,,,,【11days/10nights RENTAL】EMOBILE Pocket Wi-Fi LTE GL06P,03191054_550a2c4923902.jpg,*,03191054_550a2c4920d75.jpg,03191054_550a2c491dec0.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_ym_010,,1,,,4950,,5,,,,,,,,,,,,,,,,,2,EMOBILE
15,23,0,0,,,,,【12days/11nights RENTAL】Y!mobile Pocket Wi-Fi  GL06P,1,,,,,,,,【12days/11nights RENTAL】EMOBILE Pocket Wi-Fi LTE GL06P,03191051_550a2b854d68c.jpg,*,03191051_550a2b854aeaa.jpg,03191051_550a2b85481f5.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_ym_011,,1,,,5400,,5,,,,,,,,,,,,,,,,,2,EMOBILE
16,24,0,0,,,,,【13days/12nights RENTAL】Y!mobile Pocket Wi-Fi  GL06P,1,,,,,,,,【13days/12nights RENTAL】EMOBILE Pocket Wi-Fi LTE GL06P,03191050_550a2b7340f55.jpg,*,03191050_550a2b733e650.jpg,03191050_550a2b733b7ad.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_ym_012,,1,,,5850,,5,,,,,,,,,,,,,,,,,2,EMOBILE
17,25,0,0,,,,,【14days/13nights RENTAL】Y!mobile Pocket Wi-Fi  GL06P,1,,,,,,,,【14days/13nights RENTAL】EMOBILE Pocket Wi-Fi LTE GL06P,03191050_550a2b5cb9f0d.jpg,*,03191050_550a2b5cb75da.jpg,03191050_550a2b5cb4539.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_ym_013,,1,,,6300,,5,,,,,,,,,,,,,,,,,2,EMOBILE
18,26,0,0,,,,,【15days/14nights〜1month RENTAL】Y!mobile Pocket Wi-Fi  GL06P,1,,,,,,,,【15days/14nights〜1month RENTAL】EMOBILE Pocket Wi-Fi LTE GL06P,03191049_550a2b463df9b.jpg,*,03191049_550a2b463b4b2.jpg,03191049_550a2b46385c4.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_ym_014,,1,,,6750,,5,,,,,,,,,,,,,,,,,2,EMOBILE
19,27,0,0,,,,,【2-month RENTAL】Y!mobile Pocket Wi-Fi  GL06P,1,,,,,,,,【2-month RENTAL】EMOBILE Pocket Wi-Fi LTE GL06P,03191049_550a2b309c673.jpg,*,03191049_550a2b3099c5a.jpg,03191049_550a2b3096cb2.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_ym_060,,1,,,12000,,5,,,,,,,,,,,,,,,,,2,EMOBILE
20,28,0,0,,,,,【3-month RENTAL】Y!mobile Pocket Wi-Fi  GL06P,1,,,,,,,,【3-month RENTAL】EMOBILE Pocket Wi-Fi LTE GL06P,03191049_550a2b172ba9b.jpg,*,03191049_550a2b1729120.jpg,03191049_550a2b172617a.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_ym_090,,1,,,16800,,5,,,,,,,,,,,,,,,,,2,EMOBILE
21,29,0,0,,,,,【2days/1night RENTAL】WiMAX Aterm3800R,1,,,,,,,,【2days/1night RENTAL】WiMAX Wi-Fi Aterm WM3800R,03191116_550a3161427d4.jpg,*,03191116_550a31613fd2e.jpg,03191116_550a31613cdbc.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,7066,,1,,,900,,5,,,,,,,,,,,,,,,,,1,WiMAX
22,30,0,0,,,,,【3days/2nights RENTAL】WiMAX Aterm3800R,1,,,,,,,,【3days/2nights RENTAL】WiMAX Wi-Fi Aterm WM3800R,03191058_550a2d2c8c9d0.jpg,*,03191058_550a2d2c89d90.jpg,03191058_550a2d2c86ba6.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,7067,,1,,,1350,,5,,,,,,,,,,,,,,,,,1,WiMAX
23,31,0,0,,,,,【4days/3nights RENTAL】WiMAX Aterm3800R,1,,,,,,,,【4days/3nights RENTAL】WiMAX Wi-Fi Aterm WM3800R,03191058_550a2d46de058.jpg,*,03191058_550a2d46db513.jpg,03191058_550a2d46d84c9.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,7068,,1,,,1800,,5,,,,,,,,,,,,,,,,,1,WiMAX
24,32,0,0,,,,,【5days/4nights RENTAL】WiMAX Aterm3800R,1,,,,,,,,【5days/4nights RENTAL】WiMAX Wi-Fi Aterm WM3800R,03191058_550a2d5c9b0f3.jpg,*,03191058_550a2d5c98554.jpg,03191058_550a2d5c95430.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,7069,,1,,,2250,,5,,,,,,,,,,,,,,,,,1,WiMAX
25,33,0,0,,,,,【6days/5nights RENTAL】WiMAX Aterm3800R,1,,,,,,,,【6days/5nights RENTAL】WiMAX Wi-Fi Aterm WM3800R,03191059_550a2d7baeb81.jpg,*,03191059_550a2d7bac167.jpg,03191059_550a2d7ba9246.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,7070,,1,,,2700,,5,,,,,,,,,,,,,,,,,1,WiMAX
26,34,0,0,,,,,【7days/6nights RENTAL】WiMAX Aterm3800R,1,,,,,,,,【7days/6nights RENTAL】WiMAX Wi-Fi Aterm WM3800R,03191059_550a2d9a9fe6f.jpg,*,03191059_550a2d9a9d375.jpg,03191059_550a2d9a9a3bf.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,7071,,1,,,3150,,5,,,,,,,,,,,,,,,,,1,WiMAX
27,35,0,0,,,,,【8days/7nights RENTAL】WiMAX Aterm3800R,1,,,,,,,,【8days/7nights RENTAL】WiMAX Wi-Fi Aterm WM3800R,03191100_550a2dae40281.jpg,*,03191100_550a2dae3d903.jpg,03191100_550a2dae3ad3a.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,7072,,1,,,3600,,5,,,,,,,,,,,,,,,,,1,WiMAX
28,36,0,0,,,,,【9days/8nights RENTAL】WiMAX Aterm3800R,1,,,,,,,,【9days/8nights RENTAL】WiMAX Wi-Fi Aterm WM3800R,03191102_550a2e2bcda2f.jpg,*,03191102_550a2e2bcad3c.jpg,03191102_550a2e2bc7af5.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,7073,,1,,,4050,,5,,,,,,,,,,,,,,,,,1,WiMAX
29,37,0,0,,,,,【10days/9nights RENTAL】WiMAX Aterm3800R,1,,,,,,,,【10days/9nights RENTAL】WiMAX Wi-Fi Aterm WM3800R,03191102_550a2e476f916.jpg,*,03191102_550a2e476cf16.jpg,03191102_550a2e476a092.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,7074,,1,,,4500,,5,,,,,,,,,,,,,,,,,1,WiMAX
