商品ID,商品規格ID,親規格分類ID,規格分類ID,親規格分類名,規格分類名,メーカーID,メーカー名,商品名,表示ステータス(公開・非公開),メーカーURL(コメント1),コメント2,検索ワード(コメント3),コメント4,コメント5,コメント6,備考欄(SHOP専用),一覧-メインコメント,一覧-メイン画像,詳細-メインコメント,詳細-メイン画像,詳細-メイン拡大画像,詳細-サブタイトル(1),詳細-サブコメント(1),詳細-サブ画像(1),詳細-サブ拡大画像(1),詳細-サブタイトル(2),詳細-サブコメント(2),詳細-サブ画像(2),詳細-サブ拡大画像(2),詳細-サブタイトル(3),詳細-サブコメント(3),詳細-サブ画像(3),詳細-サブ拡大画像(3),詳細-サブタイトル(4),詳細-サブコメント(4),詳細-サブ画像(4),詳細-サブ拡大画像(4),詳細-サブタイトル(5),詳細-サブコメント(5),詳細-サブ画像(5),詳細-サブ拡大画像(5),発送日目安ID,削除フラグ,商品種別ID,商品コード,在庫数,在庫無制限フラグ,販売制限数,通常価格,販売価格,送料,ポイント付与率,ダウンロードファイル名,ダウンロード実ファイル,関連商品ID(1),関連商品コメント(1),関連商品ID(2),関連商品コメント(2),関連商品ID(3),関連商品コメント(3),関連商品ID(4),関連商品コメント(4),関連商品ID(5),関連商品コメント(5),関連商品ID(6),関連商品コメント(6),商品ステータス,商品ステータス名,カテゴリID,カテゴリ名
311,470,0,11,,はい、バッテリーもレンタルしています,,,【1day extension of rental】Y!mobile,1,,,,,,,,【1day extension of rental】Y!mobile,03201042_550b7b07e7e63.jpg,*,03201042_550b7b07e5191.jpg,03201042_550b7b07e1eb7.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_ym_ex_000_bt,,1,,,500,,5,,,,,,,,,,,,,,,,,8,Ymobile_extension
311,469,0,12,,いいえ、WiFiのみのレンタルです,,,【1day extension of rental】Y!mobile,1,,,,,,,,【1day extension of rental】Y!mobile,03201042_550b7b07e7e63.jpg,*,03201042_550b7b07e5191.jpg,03201042_550b7b07e1eb7.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_ym_ex_000,,1,,,450,,5,,,,,,,,,,,,,,,,,8,Ymobile_extension
312,,0,11,,はい、バッテリーもレンタルしています,,,【2days/1nights extension of rental】Y!mobile,1,,,,,,,,【2days/1nights extension of rental】Y!mobile,03201042_550b7af30384a.jpg,*,03201042_550b7af300b00.jpg,03201042_550b7af2f193d.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_ym_ex_001_bt,,1,,,1000,,5,,,,,,,,,,,,,,,,,8,Ymobile_extension
312,,0,12,,いいえ、WiFiのみのレンタルです,,,【2days/1nights extension of rental】Y!mobile,1,,,,,,,,【2days/1nights extension of rental】Y!mobile,03201042_550b7af30384a.jpg,*,03201042_550b7af300b00.jpg,03201042_550b7af2f193d.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_ym_ex_001,,1,,,900,,5,,,,,,,,,,,,,,,,,8,Ymobile_extension
313,,0,11,,はい、バッテリーもレンタルしています,,,【3days/2nights extension of rental】Y!mobile,1,,,,,,,,【3days/2nights extension of rental】Y!mobile,03201041_550b7ae679170.jpg,*,03201041_550b7ae676601.jpg,03201041_550b7ae673a4f.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_ym_ex_002_bt,,1,,,1500,,5,,,,,,,,,,,,,,,,,8,Ymobile_extension
313,,0,12,,いいえ、WiFiのみのレンタルです,,,【3days/2nights extension of rental】Y!mobile,1,,,,,,,,【3days/2nights extension of rental】Y!mobile,03201041_550b7ae679170.jpg,*,03201041_550b7ae676601.jpg,03201041_550b7ae673a4f.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_ym_ex_002,,1,,,1350,,5,,,,,,,,,,,,,,,,,8,Ymobile_extension
314,,0,11,,はい、バッテリーもレンタルしています,,,【4days/3nights extension of rental】Y!mobile,1,,,,,,,,【4days/3nights extension of rental】Y!mobile,03201041_550b7ada7be2c.jpg,*,03201041_550b7ada79379.jpg,03201041_550b7ada76617.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_ym_ex_003_bt,,1,,,2000,,5,,,,,,,,,,,,,,,,,8,Ymobile_extension
314,,0,12,,いいえ、WiFiのみのレンタルです,,,【4days/3nights extension of rental】Y!mobile,1,,,,,,,,【4days/3nights extension of rental】Y!mobile,03201041_550b7ada7be2c.jpg,*,03201041_550b7ada79379.jpg,03201041_550b7ada76617.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_ym_ex_003,,1,,,1800,,5,,,,,,,,,,,,,,,,,8,Ymobile_extension
315,,0,11,,はい、バッテリーもレンタルしています,,,【5days/4nights extension of rental】Y!mobile,1,,,,,,,,【5days/4nights extension of rental】Y!mobile,03201041_550b7acde8db4.jpg,*,03201041_550b7acde6275.jpg,03201041_550b7acde3328.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_ym_ex_004_bt,,1,,,2500,,5,,,,,,,,,,,,,,,,,8,Ymobile_extension
315,,0,12,,いいえ、WiFiのみのレンタルです,,,【5days/4nights extension of rental】Y!mobile,1,,,,,,,,【5days/4nights extension of rental】Y!mobile,03201041_550b7acde8db4.jpg,*,03201041_550b7acde6275.jpg,03201041_550b7acde3328.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_ym_ex_004,,1,,,2250,,5,,,,,,,,,,,,,,,,,8,Ymobile_extension
316,,0,11,,はい、バッテリーもレンタルしています,,,【6days/5nights extension of rental】Y!mobile,1,,,,,,,,【6days/5nights extension of rental】Y!mobile,03201041_550b7ac204592.jpg,*,03201041_550b7ac20197a.jpg,03201041_550b7ac1f29ae.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_ym_ex_005_bt,,1,,,3000,,5,,,,,,,,,,,,,,,,,8,Ymobile_extension
