商品ID,商品規格ID,親規格分類ID,規格分類ID,親規格分類名,規格分類名,メーカーID,メーカー名,商品名,表示ステータス(公開・非公開),メーカーURL(コメント1),コメント2,検索ワード(コメント3),コメント4,コメント5,コメント6,備考欄(SHOP専用),一覧-メインコメント,一覧-メイン画像,詳細-メインコメント,詳細-メイン画像,詳細-メイン拡大画像,詳細-サブタイトル(1),詳細-サブコメント(1),詳細-サブ画像(1),詳細-サブ拡大画像(1),詳細-サブタイトル(2),詳細-サブコメント(2),詳細-サブ画像(2),詳細-サブ拡大画像(2),詳細-サブタイトル(3),詳細-サブコメント(3),詳細-サブ画像(3),詳細-サブ拡大画像(3),詳細-サブタイトル(4),詳細-サブコメント(4),詳細-サブ画像(4),詳細-サブ拡大画像(4),詳細-サブタイトル(5),詳細-サブコメント(5),詳細-サブ画像(5),詳細-サブ拡大画像(5),発送日目安ID,削除フラグ,商品種別ID,商品コード,在庫数,在庫無制限フラグ,販売制限数,通常価格,販売価格,送料,ポイント付与率,ダウンロードファイル名,ダウンロード実ファイル,関連商品ID(1),関連商品コメント(1),関連商品ID(2),関連商品コメント(2),関連商品ID(3),関連商品コメント(3),関連商品ID(4),関連商品コメント(4),関連商品ID(5),関連商品コメント(5),関連商品ID(6),関連商品コメント(6),商品ステータス,商品ステータス名,カテゴリID,カテゴリ名
,,,,,,,,[1 Day RENTAL] SoftBank 601HW,1,,,,,,,,【1day RENTAL】SoftBank Wi-Fi 601HW,601hw.jpg,*,601hw.jpg,601hw.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_601hw_000,,1,,450,450,,5,,,,,,,,,,,,,,,,,14,601HW
,,,,,,,,[2 Days RENTAL] SoftBank 601HW,1,,,,,,,,【2days/1night RENTAL】SoftBank Wi-Fi 601HW,601hw.jpg,*,601hw.jpg,601hw.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_601hw_001,,1,,900,900,,5,,,,,,,,,,,,,,,,,14,601HW
,,,,,,,,[3 Days RENTAL] SoftBank 601HW,1,,,,,,,,【3days/2nights RENTAL】SoftBank Wi-Fi 601HW,601hw.jpg,*,601hw.jpg,601hw.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_601hw_002,,1,,1350,1350,,5,,,,,,,,,,,,,,,,,14,601HW
,,,,,,,,[4 Days RENTAL] SoftBank 601HW,1,,,,,,,,【4days/3nights RENTAL】SoftBank Wi-Fi 601HW,601hw.jpg,*,601hw.jpg,601hw.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_601hw_003,,1,,1800,1800,,5,,,,,,,,,,,,,,,,,14,601HW
,,,,,,,,[5 Days RENTAL] SoftBank 601HW,1,,,,,,,,【5days/4nights RENTAL】SoftBank Wi-Fi 601HW,601hw.jpg,*,601hw.jpg,601hw.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_601hw_004,,1,,2250,2250,,5,,,,,,,,,,,,,,,,,14,601HW
,,,,,,,,[6 Days RENTAL] SoftBank 601HW,1,,,,,,,,【6days/5nights RENTAL】SoftBank Wi-Fi 601HW,601hw.jpg,*,601hw.jpg,601hw.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_601hw_005,,1,,2700,2700,,5,,,,,,,,,,,,,,,,,14,601HW
,,,,,,,,[7 Days RENTAL] SoftBank 601HW,1,,,,,,,,【7days/6nights RENTAL】SoftBank Wi-Fi 601HW,601hw.jpg,*,601hw.jpg,601hw.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_601hw_006,,1,,3150,3150,,5,,,,,,,,,,,,,,,,,14,601HW
,,,,,,,,[8 Days RENTAL] SoftBank 601HW,1,,,,,,,,【8days/7nights RENTAL】SoftBank Wi-Fi 601HW,601hw.jpg,*,601hw.jpg,601hw.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_601hw_007,,1,,3600,3600,,5,,,,,,,,,,,,,,,,,14,601HW
,,,,,,,,[9 Days RENTAL] SoftBank 601HW,1,,,,,,,,【9days/8nights RENTAL】SoftBank Wi-Fi 601HW,601hw.jpg,*,601hw.jpg,601hw.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_601hw_008,,1,,4050,4050,,5,,,,,,,,,,,,,,,,,14,601HW
,,,,,,,,[10 Days RENTAL] SoftBank 601HW,1,,,,,,,,【10days/9nights RENTAL】SoftBank Wi-Fi 601HW,601hw.jpg,*,601hw.jpg,601hw.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_601hw_009,,1,,4500,4500,,5,,,,,,,,,,,,,,,,,14,601HW
,,,,,,,,[11 Days RENTAL] SoftBank 601HW,1,,,,,,,,【11days/10nights RENTAL】SoftBank Wi-Fi 601HW,601hw.jpg,*,601hw.jpg,601hw.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_601hw_010,,1,,4950,4950,,5,,,,,,,,,,,,,,,,,14,601HW
,,,,,,,,[12 Days RENTAL] SoftBank 601HW,1,,,,,,,,【12days/11nights RENTAL】SoftBank Wi-Fi 601HW,601hw.jpg,*,601hw.jpg,601hw.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_601hw_011,,1,,5400,5400,,5,,,,,,,,,,,,,,,,,14,601HW
,,,,,,,,[13 Days RENTAL] SoftBank 601HW,1,,,,,,,,【13days/12nights RENTAL】SoftBank Wi-Fi 601HW,601hw.jpg,*,601hw.jpg,601hw.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_601hw_012,,1,,5850,5850,,5,,,,,,,,,,,,,,,,,14,601HW
,,,,,,,,[14 Days RENTAL] SoftBank 601HW,1,,,,,,,,【14days/13nights RENTAL】SoftBank Wi-Fi 601HW,601hw.jpg,*,601hw.jpg,601hw.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_601hw_013,,1,,6300,6300,,5,,,,,,,,,,,,,,,,,14,601HW
,,,,,,,,[1 Month (31 Days) RENTAL] SoftBank 601HW,1,,,,,,,,【15days/14nights〜1month RENTAL】SoftBank Wi-Fi 601HW,601hw.jpg,*,601hw.jpg,601hw.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_601hw_014,,1,,6750,6750,,5,,,,,,,,,,,,,,,,,14,601HW
,,,,,,,,[2 Months (61 Days) RENTAL] SoftBank 601HW,1,,,,,,,,【2-month RENTAL】SoftBank Wi-Fi 601HW,601hw.jpg,*,601hw.jpg,601hw.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_601hw_060,,1,,12000,12000,,5,,,,,,,,,,,,,,,,,14,601HW
,,,,,,,,[3 Months (91 Days) RENTAL] SoftBank 601HW,1,,,,,,,,【3-month RENTAL】SoftBank Wi-Fi 601HW,601hw.jpg,*,601hw.jpg,601hw.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_601hw_090,,1,,16800,16800,,5,,,,,,,,,,,,,,,,,14,601HW
,,,,,,,,[4 Months (121 Days) RENTAL] SoftBank 601HW,1,,,,,,,,【4-month RENTAL】SoftBank Wi-Fi 601HW,601hw.jpg,*,601hw.jpg,601hw.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_601hw_120,,1,,18800,18800,,5,,,,,,,,,,,,,,,,,14,601HW
,,,,,,,,[5 Months (151 Days) RENTAL] SoftBank 601HW,1,,,,,,,,【5-month RENTAL】SoftBank Wi-Fi 601HW,601hw.jpg,*,601hw.jpg,601hw.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_601hw_150,,1,,20800,20800,,5,,,,,,,,,,,,,,,,,14,601HW
,,,,,,,,[6 Months (181 Days) RENTAL] SoftBank 601HW,1,,,,,,,,【6-month RENTAL】SoftBank Wi-Fi 601HW,601hw.jpg,*,601hw.jpg,601hw.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_601hw_180,,1,,22800,22800,,5,,,,,,,,,,,,,,,,,14,601HW
