商品ID,商品規格ID,親規格分類ID,規格分類ID,親規格分類名,規格分類名,メーカーID,メーカー名,商品名,表示ステータス(公開・非公開),メーカーURL(コメント1),コメント2,検索ワード(コメント3),コメント4,コメント5,コメント6,備考欄(SHOP専用),一覧-メインコメント,一覧-メイン画像,詳細-メインコメント,詳細-メイン画像,詳細-メイン拡大画像,詳細-サブタイトル(1),詳細-サブコメント(1),詳細-サブ画像(1),詳細-サブ拡大画像(1),詳細-サブタイトル(2),詳細-サブコメント(2),詳細-サブ画像(2),詳細-サブ拡大画像(2),詳細-サブタイトル(3),詳細-サブコメント(3),詳細-サブ画像(3),詳細-サブ拡大画像(3),詳細-サブタイトル(4),詳細-サブコメント(4),詳細-サブ画像(4),詳細-サブ拡大画像(4),詳細-サブタイトル(5),詳細-サブコメント(5),詳細-サブ画像(5),詳細-サブ拡大画像(5),発送日目安ID,削除フラグ,商品種別ID,商品コード,在庫数,在庫無制限フラグ,販売制限数,通常価格,販売価格,送料,ポイント付与率,ダウンロードファイル名,ダウンロード実ファイル,関連商品ID(1),関連商品コメント(1),関連商品ID(2),関連商品コメント(2),関連商品ID(3),関連商品コメント(3),関連商品ID(4),関連商品コメント(4),関連商品ID(5),関連商品コメント(5),関連商品ID(6),関連商品コメント(6),商品ステータス,商品ステータス名,カテゴリID,カテゴリ名
,,,,,,,,[1 Day Extension] SoftBank 601HW,1,,,,,,,,【1day extension of rental】SoftBank 601HW,601hw_ex.jpg,*,601hw_ex.jpg,601hw_ex.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_601hw_ex_000,,1,,450,450,,5,,,,,,,,,,,,,,,,,15,601HW_extension
,,,,,,,,[2 Days Extension] SoftBank 601HW,1,,,,,,,,【2days/1nights extension of rental】SoftBank 601HW,601hw_ex.jpg,*,601hw_ex.jpg,601hw_ex.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_601hw_ex_001,,1,,900,900,,5,,,,,,,,,,,,,,,,,15,601HW_extension
,,,,,,,,[3 Days Extension] SoftBank 601HW,1,,,,,,,,【3days/2nights extension of rental】SoftBank 601HW,601hw_ex.jpg,*,601hw_ex.jpg,601hw_ex.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_601hw_ex_002,,1,,1350,1350,,5,,,,,,,,,,,,,,,,,15,601HW_extension
,,,,,,,,[4 Days Extension] SoftBank 601HW,1,,,,,,,,【4days/3nights extension of rental】SoftBank 601HW,601hw_ex.jpg,*,601hw_ex.jpg,601hw_ex.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_601hw_ex_003,,1,,1800,1800,,5,,,,,,,,,,,,,,,,,15,601HW_extension
,,,,,,,,[5 Days Extension] SoftBank 601HW,1,,,,,,,,【5days/4nights extension of rental】SoftBank 601HW,601hw_ex.jpg,*,601hw_ex.jpg,601hw_ex.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_601hw_ex_004,,1,,2250,2250,,5,,,,,,,,,,,,,,,,,15,601HW_extension
,,,,,,,,[6 Days Extension] SoftBank 601HW,1,,,,,,,,【6days/5nights extension of rental】SoftBank 601HW,601hw_ex.jpg,*,601hw_ex.jpg,601hw_ex.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_601hw_ex_005,,1,,2700,2700,,5,,,,,,,,,,,,,,,,,15,601HW_extension
,,,,,,,,[7 Days Extension] SoftBank 601HW,1,,,,,,,,【7days/6nights extension of rental】SoftBank 601HW,601hw_ex.jpg,*,601hw_ex.jpg,601hw_ex.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_601hw_ex_006,,1,,3150,3150,,5,,,,,,,,,,,,,,,,,15,601HW_extension
,,,,,,,,[8 Days Extension] SoftBank 601HW,1,,,,,,,,【8days/7nights extension of rental】SoftBank 601HW,601hw_ex.jpg,*,601hw_ex.jpg,601hw_ex.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_601hw_ex_007,,1,,3600,3600,,5,,,,,,,,,,,,,,,,,15,601HW_extension
,,,,,,,,[9 Days Extension] SoftBank 601HW,1,,,,,,,,【9days/8nights extension of rental】SoftBank 601HW,601hw_ex.jpg,*,601hw_ex.jpg,601hw_ex.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_601hw_ex_008,,1,,4050,4050,,5,,,,,,,,,,,,,,,,,15,601HW_extension
,,,,,,,,[10 Days Extension] SoftBank 601HW,1,,,,,,,,【10days/9nights extension of rental】SoftBank 601HW,601hw_ex.jpg,*,601hw_ex.jpg,601hw_ex.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_601hw_ex_009,,1,,4500,4500,,5,,,,,,,,,,,,,,,,,15,601HW_extension
,,,,,,,,[11 Days Extension] SoftBank 601HW,1,,,,,,,,【11days/10nights extension of rental】SoftBank 601HW,601hw_ex.jpg,*,601hw_ex.jpg,601hw_ex.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_601hw_ex_010,,1,,4950,4950,,5,,,,,,,,,,,,,,,,,15,601HW_extension
,,,,,,,,[12 Days Extension] SoftBank 601HW,1,,,,,,,,【12days/11nights extension of rental】SoftBank 601HW,601hw_ex.jpg,*,601hw_ex.jpg,601hw_ex.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_601hw_ex_011,,1,,5400,5400,,5,,,,,,,,,,,,,,,,,15,601HW_extension
,,,,,,,,[13 Days Extension] SoftBank 601HW,1,,,,,,,,【13days/12nights extension of rental】SoftBank 601HW,601hw_ex.jpg,*,601hw_ex.jpg,601hw_ex.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_601hw_ex_012,,1,,5850,5850,,5,,,,,,,,,,,,,,,,,15,601HW_extension
,,,,,,,,[14 Days Extension] SoftBank 601HW,1,,,,,,,,【14days/13nights extension of rental】SoftBank 601HW,601hw_ex.jpg,*,601hw_ex.jpg,601hw_ex.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_601hw_ex_013,,1,,6300,6300,,5,,,,,,,,,,,,,,,,,15,601HW_extension
