商品ID,商品規格ID,親規格分類ID,規格分類ID,親規格分類名,規格分類名,メーカーID,メーカー名,商品名,表示ステータス(公開・非公開),メーカーURL(コメント1),コメント2,検索ワード(コメント3),コメント4,コメント5,コメント6,備考欄(SHOP専用),一覧-メインコメント,一覧-メイン画像,詳細-メインコメント,詳細-メイン画像,詳細-メイン拡大画像,詳細-サブタイトル(1),詳細-サブコメント(1),詳細-サブ画像(1),詳細-サブ拡大画像(1),詳細-サブタイトル(2),詳細-サブコメント(2),詳細-サブ画像(2),詳細-サブ拡大画像(2),詳細-サブタイトル(3),詳細-サブコメント(3),詳細-サブ画像(3),詳細-サブ拡大画像(3),詳細-サブタイトル(4),詳細-サブコメント(4),詳細-サブ画像(4),詳細-サブ拡大画像(4),詳細-サブタイトル(5),詳細-サブコメント(5),詳細-サブ画像(5),詳細-サブ拡大画像(5),発送日目安ID,削除フラグ,商品種別ID,商品コード,在庫数,在庫無制限フラグ,販売制限数,通常価格,販売価格,送料,ポイント付与率,ダウンロードファイル名,ダウンロード実ファイル,関連商品ID(1),関連商品コメント(1),関連商品ID(2),関連商品コメント(2),関連商品ID(3),関連商品コメント(3),関連商品ID(4),関連商品コメント(4),関連商品ID(5),関連商品コメント(5),関連商品ID(6),関連商品コメント(6),商品ステータス,商品ステータス名,カテゴリID,カテゴリ名
68,76,0,0,,,,,【12days/11nights RENTAL】WiMAX Aterm3800R+Insurance,1,,,,,,,,【12days/11nights RENTAL】WiMAX Wi-Fi Aterm WM3800R+Insurance,03191120_550a3273e0070.jpg,*,03191120_550a3273dd36e.jpg,03191120_550a3273da258.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,wm_11_12_Insurance,,1,,,5940,,5,,,,,,,,,,,,,,,,,1,WiMAX
65,73,0,0,,,,,【15days/14nights〜1-month RENTAL】WiMAX+Insurance,1,,,,,,,,【15days/14nights〜1-month RENTAL】WiMAX Wi-Fi Aterm WM3800R+Insurance,03191120_550a32584efe0.jpg,*,03191120_550a32584c402.jpg,03191120_550a325849350.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,wm_1month+Insurance,,1,,,7290,,5,,,,,,,,,,,,,,,,,1,WiMAX
64,72,0,0,,,,,【14days/13nights RENTAL】WiMAX Aterm3800R+Insurance,1,,,,,,,,【14days/13nights RENTAL】WiMAX Wi-Fi Aterm WM3800R+Insurance,03191119_550a323648b36.jpg,*,03191119_550a323645ed0.jpg,03191119_550a323642e7c.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,wm_13_14+Insurance,,1,,,6840,,5,,,,,,,,,,,,,,,,,1,WiMAX
36,44,0,0,,,,,【3-month(91days/90nights) RENTAL】WiMAX Aterm3800R,1,,,,,,,,【3-month(91days/90nights) RENTAL】WiMAX Wi-Fi Aterm WM3800R,03191119_550a32204cfe2.jpg,*,03191119_550a32204a2b6.jpg,03191119_550a322047322.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,wm_3month,,1,,,16800,,5,,,,,,,,,,,,,,,,,1,WiMAX
35,43,0,0,,,,,【2-month(61days/60nights) RENTAL】WiMAX Aterm3800R,1,,,,,,,,【2-month(61days/60nights) RENTAL】WiMAX Wi-Fi Aterm WM3800R,03191118_550a320823acb.jpg,*,03191118_550a3208210d7.jpg,03191118_550a32081e2a3.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,wm_2month,,1,,,12000,,5,,,,,,,,,,,,,,,,,1,WiMAX
34,42,0,0,,,,,【15days/14nights〜1-month RENTAL】WiMAX  Aterm3800R,1,,,,,,,,【15days/14nights〜1-month RENTAL】WiMAX Wi-Fi Aterm WM3800R,03191118_550a31eb9b7cf.jpg,*,03191118_550a31eb98d09.jpg,03191118_550a31eb95df6.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,wm_1month,,1,,,6750,,5,,,,,,,,,,,,,,,,,1,WiMAX
33,41,0,0,,,,,【14days/13nights RENTAL】WiMAX Aterm3800R,1,,,,,,,,【14days/13nights RENTAL】WiMAX Wi-Fi Aterm WM3800R,03191117_550a31d439bb4.jpg,*,03191117_550a31d43735d.jpg,03191117_550a31d434616.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,wm_13_14,,1,,,6300,,5,,,,,,,,,,,,,,,,,1,WiMAX
32,40,0,0,,,,,【13days/12nights RENTAL】WiMAX Aterm3800R,1,,,,,,,,【13days/12nights RENTAL】WiMAX Wi-Fi Aterm WM3800R,03191117_550a31b7c673b.jpg,*,03191117_550a31b7c3e51.jpg,03191117_550a31b7c13ff.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,wm_12_13,,1,,,5850,,5,,,,,,,,,,,,,,,,,1,WiMAX
31,39,0,0,,,,,【12days/11nights RENTAL】WiMAX Aterm3800R,1,,,,,,,,【12days/11nights RENTAL】WiMAX Wi-Fi Aterm WM3800R,03191117_550a31a13f68d.jpg,*,03191117_550a31a13c7da.jpg,03191117_550a31a13969f.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,wm_11_12,,1,,,5400,,5,,,,,,,,,,,,,,,,,1,WiMAX
30,38,0,0,,,,,【11days/10nights RENTAL】WiMAX Aterm3800R,1,,,,,,,,【11days/10nights RENTAL】WiMAX Wi-Fi Aterm WM3800R,03191116_550a317fed129.jpg,*,03191116_550a317fea6b4.jpg,03191116_550a317fe7819.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,wm_10_11,,1,,,4950,,5,,,,,,,,,,,,,,,,,1,WiMAX
21,29,0,0,,,,,【2days/1night RENTAL】WiMAX Aterm3800R,1,,,,,,,,【2days/1night RENTAL】WiMAX Wi-Fi Aterm WM3800R,03191116_550a3161427d4.jpg,*,03191116_550a31613fd2e.jpg,03191116_550a31613cdbc.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,wm_1_2,,1,,,900,,5,,,,,,,,,,,,,,,,,1,WiMAX
76,84,0,0,,,,,【6-month(181days/180nights) 】WiMAX+Insurance,1,,,,,,,,【6-month(181days/180nights) RENTAL】WiMAX Wi-Fi Aterm WM3800R+Insurance,03191115_550a3144b1039.jpg,*,03191115_550a3144ae5c1.jpg,03191115_550a3144ab5a4.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,wm_6month+Insurance,,1,,,23340,,5,,,,,,,,,,,,,,,,,1,WiMAX
75,83,0,0,,,,,【6-month(181days/180nights) 】WiMAX Aterm3800R,1,,,,,,,,【6-month(181days/180nights) RENTAL】WiMAX Wi-Fi Aterm WM3800R,03191114_550a311aa651b.jpg,*,03191114_550a311aa398d.jpg,03191114_550a311a9ff02.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,wm_6month,,1,,,22800,,5,,,,,,,,,,,,,,,,,1,WiMAX
74,82,0,0,,,,,【5-month(151days/150nights) 】WiMAX+Insurance,1,,,,,,,,【5-month(151days/150nights) RENTAL】WiMAX Wi-Fi Aterm WM3800R+Insurance,03191114_550a30e8d0340.jpg,*,03191114_550a30e8cd26c.jpg,03191114_550a30e8c9f43.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,wm_5month+Insurance,,1,,,21340,,5,,,,,,,,,,,,,,,,,1,WiMAX
73,81,0,0,,,,,【5-month(151days/150nights) 】WiMAX Aterm3800R,1,,,,,,,,【5-month(151days/150nights) RENTAL】WiMAX Wi-Fi Aterm WM3800R,03191113_550a30ce538bf.jpg,*,03191113_550a30ce50e24.jpg,03191113_550a30ce4e148.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,wm_5month,,1,,,20800,,5,,,,,,,,,,,,,,,,,1,WiMAX
