商品ID,商品規格ID,親規格分類ID,規格分類ID,親規格分類名,規格分類名,メーカーID,メーカー名,商品名,表示ステータス(公開・非公開),メーカーURL(コメント1),コメント2,検索ワード(コメント3),コメント4,コメント5,コメント6,備考欄(SHOP専用),一覧-メインコメント,一覧-メイン画像,詳細-メインコメント,詳細-メイン画像,詳細-メイン拡大画像,詳細-サブタイトル(1),詳細-サブコメント(1),詳細-サブ画像(1),詳細-サブ拡大画像(1),詳細-サブタイトル(2),詳細-サブコメント(2),詳細-サブ画像(2),詳細-サブ拡大画像(2),詳細-サブタイトル(3),詳細-サブコメント(3),詳細-サブ画像(3),詳細-サブ拡大画像(3),詳細-サブタイトル(4),詳細-サブコメント(4),詳細-サブ画像(4),詳細-サブ拡大画像(4),詳細-サブタイトル(5),詳細-サブコメント(5),詳細-サブ画像(5),詳細-サブ拡大画像(5),発送日目安ID,削除フラグ,商品種別ID,商品コード,在庫数,在庫無制限フラグ,販売制限数,通常価格,販売価格,送料,ポイント付与率,ダウンロードファイル名,ダウンロード実ファイル,関連商品ID(1),関連商品コメント(1),関連商品ID(2),関連商品コメント(2),関連商品ID(3),関連商品コメント(3),関連商品ID(4),関連商品コメント(4),関連商品ID(5),関連商品コメント(5),関連商品ID(6),関連商品コメント(6),商品ステータス,商品ステータス名,カテゴリID,カテゴリ名
289,297,0,0,,,,,【1day RENTAL】SoftBank 303ZT,1,,,,,,,,【1day RENTAL】SoftBank 303ZT,sb/sb-00.jpg,*,sb/sb-00.jpg,sb/sb-00.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,7171,,0,,,550,,5,,,,,,,,,,,,,,,,,11,SoftBank
364,557,9,7,Request(+￥50/1day),Sign up (+￥540),,,【2days/1nights RENTAL】SoftBank 303ZT,1,,,,,,,,【2days/1nights RENTAL】SoftBank 303ZT,sb/sb.jpg,*,sb/sb.jpg,sb/sb.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sb_001_in_bt,,0,,1100,1740,,5,,,,,,,,,,,,,,,,,11,SoftBank
364,556,10,7,Not request(+￥0),Sign up (+￥540),,,【2days/1nights RENTAL】SoftBank 303ZT,1,,,,,,,,【2days/1nights RENTAL】SoftBank 303ZT,sb/sb.jpg,*,sb/sb.jpg,sb/sb.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sb_001_in,,0,,1100,1640,,5,,,,,,,,,,,,,,,,,11,SoftBank
364,555,9,8,Request(+￥50/1day),Not sign up (+￥0),,,【2days/1nights RENTAL】SoftBank 303ZT,1,,,,,,,,【2days/1nights RENTAL】SoftBank 303ZT,sb/sb.jpg,*,sb/sb.jpg,sb/sb.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sb_001_bt,,0,,1100,1200,,5,,,,,,,,,,,,,,,,,11,SoftBank
364,372,10,8,Not request(+￥0),Not sign up (+￥0),,,【2days/1nights RENTAL】SoftBank 303ZT,1,,,,,,,,【2days/1nights RENTAL】SoftBank 303ZT,sb/sb.jpg,*,sb/sb.jpg,sb/sb.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sb_001,,1,,1100,1100,,5,,,,,,,,,,,,,,,,,11,SoftBank
365,560,9,7,Request(+￥50/1day),Sign up (+￥540),,,【3days/2nights RENTAL】SoftBank 303ZT,1,,,,,,,,【3days/2nights RENTAL】SoftBank 303ZT,sb/sb.jpg,*,sb/sb.jpg,sb/sb.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sb_002_in_bt,,0,,1650,2340,,5,,,,,,,,,,,,,,,,,11,SoftBank
365,559,10,7,Not request(+￥0),Sign up (+￥540),,,【3days/2nights RENTAL】SoftBank 303ZT,1,,,,,,,,【3days/2nights RENTAL】SoftBank 303ZT,sb/sb.jpg,*,sb/sb.jpg,sb/sb.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sb_002_in,,0,,1650,2190,,5,,,,,,,,,,,,,,,,,11,SoftBank
365,558,9,8,Request(+￥50/1day),Not sign up (+￥0),,,【3days/2nights RENTAL】SoftBank 303ZT,1,,,,,,,,【3days/2nights RENTAL】SoftBank 303ZT,sb/sb.jpg,*,sb/sb.jpg,sb/sb.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sb_002_bt,,0,,1650,1800,,5,,,,,,,,,,,,,,,,,11,SoftBank
365,373,10,8,Not request(+￥0),Not sign up (+￥0),,,【3days/2nights RENTAL】SoftBank 303ZT,1,,,,,,,,【3days/2nights RENTAL】SoftBank 303ZT,sb/sb.jpg,*,sb/sb.jpg,sb/sb.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sb_002,,0,,1650,1650,,5,,,,,,,,,,,,,,,,,11,SoftBank
366,563,9,7,Request(+￥50/1day),Sign up (+￥540),,,【4days/3nights RENTAL】SoftBank 303ZT,1,,,,,,,,【4days/3nights RENTAL】SoftBank 303ZT,sb/sb.jpg,*,sb/sb.jpg,sb/sb.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sb_003_in_bt,,0,,2200,2940,,5,,,,,,,,,,,,,,,,,11,SoftBank
