商品ID,商品規格ID,親規格分類ID,規格分類ID,親規格分類名,規格分類名,メーカーID,メーカー名,商品名,表示ステータス(公開・非公開),メーカーURL(コメント1),コメント2,検索ワード(コメント3),コメント4,コメント5,コメント6,備考欄(SHOP専用),一覧-メインコメント,一覧-メイン画像,詳細-メインコメント,詳細-メイン画像,詳細-メイン拡大画像,詳細-サブタイトル(1),詳細-サブコメント(1),詳細-サブ画像(1),詳細-サブ拡大画像(1),詳細-サブタイトル(2),詳細-サブコメント(2),詳細-サブ画像(2),詳細-サブ拡大画像(2),詳細-サブタイトル(3),詳細-サブコメント(3),詳細-サブ画像(3),詳細-サブ拡大画像(3),詳細-サブタイトル(4),詳細-サブコメント(4),詳細-サブ画像(4),詳細-サブ拡大画像(4),詳細-サブタイトル(5),詳細-サブコメント(5),詳細-サブ画像(5),詳細-サブ拡大画像(5),発送日目安ID,削除フラグ,商品種別ID,商品コード,在庫数,在庫無制限フラグ,販売制限数,通常価格,販売価格,送料,ポイント付与率,ダウンロードファイル名,ダウンロード実ファイル,関連商品ID(1),関連商品コメント(1),関連商品ID(2),関連商品コメント(2),関連商品ID(3),関連商品コメント(3),関連商品ID(4),関連商品コメント(4),関連商品ID(5),関連商品コメント(5),関連商品ID(6),関連商品コメント(6),商品ステータス,商品ステータス名,カテゴリID,カテゴリ名
38,46,0,0,,,,,【3days/2nights RENTAL】Y!mobile Pocket Wi-Fi  GL06P+Insurance,1,,,,,,,,【3days/2nights RENTAL】EMOBILE Pocket Wi-Fi LTE GL06P+Insurance,03191048_550a2aedef789.jpg,*,03191048_550a2aedeccbb.jpg,03191048_550a2aede9ea0.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,7034,,1,,,1890,,5,,,,,,,,,,,,,,,,,2,EMOBILE
39,47,0,0,,,,,【4days/3nights RENTAL】Y!mobile Pocket Wi-Fi  GL06P+Insurance,1,,,,,,,,【4days/3nights RENTAL】EMOBILE Pocket Wi-Fi LTE GL06P+Insurance,03191048_550a2ad6c8278.jpg,*,03191048_550a2ad6c58c4.jpg,03191048_550a2ad6c2dbb.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,7035,,1,,,2340,,5,,,,,,,,,,,,,,,,,2,EMOBILE
40,48,0,0,,,,,【5days/4nights RENTAL】Y!mobile Pocket Wi-Fi  GL06P+Insurance,1,,,,,,,,【5days/4nights RENTAL】EMOBILE Pocket Wi-Fi LTE GL06P+Insurance,03191047_550a2abd940b9.jpg,*,03191047_550a2abd91697.jpg,03191047_550a2abd8e4c9.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,7036,,1,,,2790,,5,,,,,,,,,,,,,,,,,2,EMOBILE
41,49,0,0,,,,,【6days/5nights RENTAL】Y!mobile Pocket Wi-Fi  GL06P+Insurance,1,,,,,,,,【6days/5nights RENTAL】EMOBILE Pocket Wi-Fi LTE GL06P+Insurance,03191047_550a2aa371fab.jpg,*,03191047_550a2aa36f6f7.jpg,03191047_550a2aa36cbd0.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,7037,,1,,,3240,,5,,,,,,,,,,,,,,,,,2,EMOBILE
42,50,0,0,,,,,【7days/6nights RENTAL】Y!mobile Pocket Wi-Fi  GL06P+Insurance,1,,,,,,,,【7days/6nights RENTAL】EMOBILE Pocket Wi-Fi LTE GL06P+Insurance,03191046_550a2a8569f7e.jpg,*,03191046_550a2a856771c.jpg,03191046_550a2a8564b2a.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,7038,,1,,,3690,,5,,,,,,,,,,,,,,,,,2,EMOBILE
43,51,0,0,,,,,【8days/7nights RENTAL】Y!mobile Pocket Wi-Fi  GL06P+Insurance,1,,,,,,,,【8days/7nights RENTAL】EMOBILE Pocket Wi-Fi LTE GL06P+Insurance,03191046_550a2a63e6225.jpg,*,03191046_550a2a63e377a.jpg,03191046_550a2a63e0569.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,7039,,1,,,4140,,5,,,,,,,,,,,,,,,,,2,EMOBILE
44,52,0,0,,,,,【9days/8nights RENTAL】Y!mobile Pocket Wi-Fi  GL06P+Insurance,1,,,,,,,,【9days/8nights RENTAL】EMOBILE Pocket Wi-Fi LTE GL06P+Insurance,03191045_550a2a4a15264.jpg,*,03191045_550a2a4a1292b.jpg,03191045_550a2a4a0fdf7.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,7040,,1,,,4590,,5,,,,,,,,,,,,,,,,,2,EMOBILE
45,53,0,0,,,,,【10days/9nights RENTAL】Y!mobile Pocket Wi-Fi  GL06P+Insurance,1,,,,,,,,【10days/9nights RENTAL】EMOBILE Pocket Wi-Fi LTE GL06P+Insurance,03191044_550a2a07ec6d9.jpg,*,03191044_550a2a07e9c4c.jpg,03191044_550a2a07e6e45.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,7041,,1,,,5040,,5,,,,,,,,,,,,,,,,,2,EMOBILE
46,54,0,0,,,,,【11days/10nights RENTAL】Y!mobile Pocket Wi-Fi  GL06P+Insurance,1,,,,,,,,【11days/10nights RENTAL】EMOBILE Pocket Wi-Fi LTE GL06P+Insurance,03191043_550a29db9a403.jpg,*,03191043_550a29db97911.jpg,03191043_550a29db948bb.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,7042,,1,,,5490,,5,,,,,,,,,,,,,,,,,2,EMOBILE
47,55,0,0,,,,,【12days/11nights RENTAL】Y!mobile Pocket Wi-Fi  GL06P+Insurance,1,,,,,,,,【12days/11nights RENTAL】EMOBILE Pocket Wi-Fi LTE GL06P+Insurance,03191043_550a29c24e89d.jpg,*,03191043_550a29c24bed0.jpg,03191043_550a29c249021.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,7043,,1,,,5940,,5,,,,,,,,,,,,,,,,,2,EMOBILE
