商品ID,商品規格ID,親規格分類ID,規格分類ID,親規格分類名,規格分類名,メーカーID,メーカー名,商品名,表示ステータス(公開・非公開),メーカーURL(コメント1),コメント2,検索ワード(コメント3),コメント4,コメント5,コメント6,備考欄(SHOP専用),一覧-メインコメント,一覧-メイン画像,詳細-メインコメント,詳細-メイン画像,詳細-メイン拡大画像,詳細-サブタイトル(1),詳細-サブコメント(1),詳細-サブ画像(1),詳細-サブ拡大画像(1),詳細-サブタイトル(2),詳細-サブコメント(2),詳細-サブ画像(2),詳細-サブ拡大画像(2),詳細-サブタイトル(3),詳細-サブコメント(3),詳細-サブ画像(3),詳細-サブ拡大画像(3),詳細-サブタイトル(4),詳細-サブコメント(4),詳細-サブ画像(4),詳細-サブ拡大画像(4),詳細-サブタイトル(5),詳細-サブコメント(5),詳細-サブ画像(5),詳細-サブ拡大画像(5),発送日目安ID,削除フラグ,商品種別ID,商品コード,在庫数,在庫無制限フラグ,販売制限数,通常価格,販売価格,送料,ポイント付与率,ダウンロードファイル名,ダウンロード実ファイル,関連商品ID(1),関連商品コメント(1),関連商品ID(2),関連商品コメント(2),関連商品ID(3),関連商品コメント(3),関連商品ID(4),関連商品コメント(4),関連商品ID(5),関連商品コメント(5),関連商品ID(6),関連商品コメント(6),商品ステータス,商品ステータス名,カテゴリID,カテゴリ名
88,96,0,0,,,,,【13days/12nights RENTAL】au KDDI HWD11,1,,,,,,,,【13days/12nights RENTAL】au KDDI HWD11,03151234_5504fdcc7a1ee.jpg,*,03151234_5504fdcc771c1.jpg,03151234_5504fdcc733f5.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,7012,,0,,,8450,,5,,,,,,,,,,,,,,,,,7,au
89,97,0,0,,,,,【14days/13nights RENTAL】au KDDI HWD11,1,,,,,,,,【14days/13nights RENTAL】au KDDI HWD11,03151233_5504fda1d241d.jpg,*,03151233_5504fda1cf9ba.jpg,03151233_5504fda1cc895.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,7013,,0,,,9100,,5,,,,,,,,,,,,,,,,,7,au
90,98,0,0,,,,,【15days/14nights〜1month RENTAL】au KDDI HWD11,1,,,,,,,,【15days/14nights〜1month RENTAL】au KDDI HWD11,03151247_550500b50526e.jpg,*,03151247_550500b502883.jpg,03151247_550500b4f3824.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,7014,,0,,,9750,,5,,,,,,,,,,,,,,,,,7,au
91,99,0,0,,,,,【2-month(61days/60nights) RENTAL】au KDDI HWD11,1,,,,,,,,【2-month(61days/60nights) RENTAL】au KDDI HWD11,03151246_5505009e5780e.jpg,*,03151246_5505009e54fcb.jpg,03151246_5505009e51ce5.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,7015,,0,,,17300,,5,,,,,,,,,,,,,,,,,7,au
92,100,0,0,,,,,【3-month(91days/90nights) RENTAL】au KDDI HWD11,1,,,,,,,,【3-month(91days/90nights) RENTAL】au KDDI HWD11,03151246_550500824f76e.jpg,*,03151246_550500824c667.jpg,03151246_5505008249602.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,7016,,0,,,24200,,5,,,,,,,,,,,,,,,,,7,au
93,101,0,0,,,,,【2days/1nights RENTAL】au KDDI HWD11+Insurance,1,,,,,,,,【2days/1nights RENTAL】au KDDI HWD11+Insurance,03151247_550500d854229.jpg,*,03151247_550500d85142c.jpg,03151247_550500d84ddfb.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,7017,,0,,,1840,,5,,,,,,,,,,,,,,,,,7,au
94,102,0,0,,,,,【3days/2nights RENTAL】au KDDI HWD11+Insurance,1,,,,,,,,【3days/2nights RENTAL】au KDDI HWD11+Insurance,03151245_55050065c46fa.jpg,*,03151245_55050065c152c.jpg,03151245_55050065be1c5.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,7018,,0,,,2490,,5,,,,,,,,,,,,,,,,,7,au
95,103,0,0,,,,,【4days/3nights RENTAL】au KDDI HWD11+Insurance,1,,,,,,,,【4days/3nights RENTAL】au KDDI HWD11+Insurance,03151245_5505004665f56.jpg,*,03151245_5505004663462.jpg,03151245_55050046600b0.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,7019,,0,,,3140,,5,,,,,,,,,,,,,,,,,7,au
96,104,0,0,,,,,【5days/4nights RENTAL】au KDDI HWD11+Insurance,1,,,,,,,,【5days/4nights RENTAL】au KDDI HWD11+Insurance,03151244_55050026a9575.jpg,*,03151244_55050026a69b9.jpg,03151244_55050026a33c8.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,7020,,0,,,3790,,5,,,,,,,,,,,,,,,,,7,au
97,105,0,0,,,,,【6days/5nights RENTAL】au KDDI HWD11+Insurance,1,,,,,,,,【6days/5nights RENTAL】au KDDI HWD11+Insurance,03151243_5504fffdad3be.jpg,*,03151243_5504fffdaaa8a.jpg,03151243_5504fffda799b.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,7021,,0,,,4440,,5,,,,,,,,,,,,,,,,,7,au
98,106,0,0,,,,,【7days/6nights RENTAL】au KDDI HWD11+Insurance,1,,,,,,,,【7days/6nights RENTAL】au KDDI HWD11+Insurance,03151243_5504ffe190fcb.jpg,*,03151243_5504ffe18e485.jpg,03151243_5504ffe18b309.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,7022,,0,,,5090,,5,,,,,,,,,,,,,,,,,7,au
99,107,0,0,,,,,【8days/7nights RENTAL】au KDDI HWD11+Insurance,1,,,,,,,,【8days/7nights RENTAL】au KDDI HWD11+Insurance,03151243_5504ffc5bd8fc.jpg,*,03151243_5504ffc5badf0.jpg,03151243_5504ffc5b7dcc.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,7023,,0,,,5740,,5,,,,,,,,,,,,,,,,,7,au
100,108,0,0,,,,,【9days/8nights RENTAL】au KDDI HWD11+Insurance,1,,,,,,,,【9days/8nights RENTAL】au KDDI HWD11+Insurance,03151242_5504ffaeeb4d4.jpg,*,03151242_5504ffaee8a16.jpg,03151242_5504ffaee58de.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,7024,,0,,,6390,,5,,,,,,,,,,,,,,,,,7,au
101,109,0,0,,,,,【10days/9nights RENTAL】au KDDI HWD11+Insurance,1,,,,,,,,【10days/9nights RENTAL】au KDDI HWD11+Insurance,03151242_5504ff97b90c2.jpg,*,03151242_5504ff97b66f6.jpg,03151242_5504ff97b34fa.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,7025,,0,,,7040,,5,,,,,,,,,,,,,,,,,7,au
102,110,0,0,,,,,【11days/10nights RENTAL】au KDDI HWD11+Insurance,1,,,,,,,,【11days/10nights RENTAL】au KDDI HWD11+Insurance,03151241_5504ff80c5361.jpg,*,03151241_5504ff80c2c28.jpg,03151241_5504ff80bff27.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,7026,,0,,,7690,,5,,,,,,,,,,,,,,,,,7,au
103,111,0,0,,,,,【12days/11nights RENTAL】au KDDI HWD11+Insurance,1,,,,,,,,【12days/11nights RENTAL】au KDDI HWD11+Insurance,03151241_5504ff6a0d8e5.jpg,*,03151241_5504ff6a0b1d0.jpg,03151241_5504ff6a0851c.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,7027,,0,,,8340,,5,,,,,,,,,,,,,,,,,7,au
104,112,0,0,,,,,【13days/12nights RENTAL】au KDDI HWD11+Insurance,1,,,,,,,,【13days/12nights RENTAL】au KDDI HWD11+Insurance,03151240_5504ff4be759f.jpg,*,03151240_5504ff4be4b15.jpg,03151240_5504ff4be1bc3.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,7028,,0,,,8990,,5,,,,,,,,,,,,,,,,,7,au
105,113,0,0,,,,,【14days/13nights RENTAL】au KDDI HWD11+Insurance,1,,,,,,,,【14days/13nights RENTAL】au KDDI HWD11+Insurance,03151240_5504ff3313b3e.jpg,*,03151240_5504ff3311035.jpg,03151240_5504ff330df07.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,7029,,0,,,9640,,5,,,,,,,,,,,,,,,,,7,au
