商品ID,商品規格ID,親規格分類ID,規格分類ID,親規格分類名,規格分類名,メーカーID,メーカー名,商品名,表示ステータス(公開・非公開),メーカーURL(コメント1),コメント2,検索ワード(コメント3),コメント4,コメント5,コメント6,備考欄(SHOP専用),一覧-メインコメント,一覧-メイン画像,詳細-メインコメント,詳細-メイン画像,詳細-メイン拡大画像,詳細-サブタイトル(1),詳細-サブコメント(1),詳細-サブ画像(1),詳細-サブ拡大画像(1),詳細-サブタイトル(2),詳細-サブコメント(2),詳細-サブ画像(2),詳細-サブ拡大画像(2),詳細-サブタイトル(3),詳細-サブコメント(3),詳細-サブ画像(3),詳細-サブ拡大画像(3),詳細-サブタイトル(4),詳細-サブコメント(4),詳細-サブ画像(4),詳細-サブ拡大画像(4),詳細-サブタイトル(5),詳細-サブコメント(5),詳細-サブ画像(5),詳細-サブ拡大画像(5),発送日目安ID,削除フラグ,商品種別ID,商品コード,在庫数,在庫無制限フラグ,販売制限数,通常価格,販売価格,送料,ポイント付与率,ダウンロードファイル名,ダウンロード実ファイル,関連商品ID(1),関連商品コメント(1),関連商品ID(2),関連商品コメント(2),関連商品ID(3),関連商品コメント(3),関連商品ID(4),関連商品コメント(4),関連商品ID(5),関連商品コメント(5),関連商品ID(6),関連商品コメント(6),商品ステータス,商品ステータス名,カテゴリID,カテゴリ名
1674,15656,377,2936,Insurance [NONE] / Additional Battery [NONE],1-2Days,,,docomo FS050W Unlimited Data,1,,,,,,,,*,,*,,,,,,,,,,,,,,,,,,,,,,,,0,1,df_001,,1,,,1980,,5,,,,,,,,,,,,,,,,,"21,33","NEW rental,docomo FS050W 無制限"
1674,15660,377,2937,Insurance [NONE] / Additional Battery [NONE],2-3Days,,,docomo FS050W Unlimited Data,1,,,,,,,,*,,*,,,,,,,,,,,,,,,,,,,,,,,,0,1,df_002,,1,,,2970,,5,,,,,,,,,,,,,,,,,"21,33","NEW rental,docomo FS050W 無制限"
1674,15664,377,2938,Insurance [NONE] / Additional Battery [NONE],3-4Days,,,docomo FS050W Unlimited Data,1,,,,,,,,*,,*,,,,,,,,,,,,,,,,,,,,,,,,0,1,df_003,,1,,,3960,,5,,,,,,,,,,,,,,,,,"21,33","NEW rental,docomo FS050W 無制限"
1674,15668,377,2939,Insurance [NONE] / Additional Battery [NONE],4-5Days,,,docomo FS050W Unlimited Data,1,,,,,,,,*,,*,,,,,,,,,,,,,,,,,,,,,,,,0,1,df_004,,1,,,4950,,5,,,,,,,,,,,,,,,,,"21,33","NEW rental,docomo FS050W 無制限"
1674,15672,377,2940,Insurance [NONE] / Additional Battery [NONE],5-6Days,,,docomo FS050W Unlimited Data,1,,,,,,,,*,,*,,,,,,,,,,,,,,,,,,,,,,,,0,1,df_005,,1,,,5940,,5,,,,,,,,,,,,,,,,,"21,33","NEW rental,docomo FS050W 無制限"
1674,15676,377,2941,Insurance [NONE] / Additional Battery [NONE],6-7Days,,,docomo FS050W Unlimited Data,1,,,,,,,,*,,*,,,,,,,,,,,,,,,,,,,,,,,,0,1,df_006,,1,,,6930,,5,,,,,,,,,,,,,,,,,"21,33","NEW rental,docomo FS050W 無制限"
1674,15680,377,2942,Insurance [NONE] / Additional Battery [NONE],7-8Days,,,docomo FS050W Unlimited Data,1,,,,,,,,*,,*,,,,,,,,,,,,,,,,,,,,,,,,0,1,df_007,,1,,,7920,,5,,,,,,,,,,,,,,,,,"21,33","NEW rental,docomo FS050W 無制限"
1674,15684,377,2943,Insurance [NONE] / Additional Battery [NONE],8-9Days,,,docomo FS050W Unlimited Data,1,,,,,,,,*,,*,,,,,,,,,,,,,,,,,,,,,,,,0,1,df_008,,1,,,8910,,5,,,,,,,,,,,,,,,,,"21,33","NEW rental,docomo FS050W 無制限"
1674,15688,377,2944,Insurance [NONE] / Additional Battery [NONE],9-10Days,,,docomo FS050W Unlimited Data,1,,,,,,,,*,,*,,,,,,,,,,,,,,,,,,,,,,,,0,1,df_009,,1,,,9900,,5,,,,,,,,,,,,,,,,,"21,33","NEW rental,docomo FS050W 無制限"
1674,15692,377,2945,Insurance [NONE] / Additional Battery [NONE],10-11Days,,,docomo FS050W Unlimited Data,1,,,,,,,,*,,*,,,,,,,,,,,,,,,,,,,,,,,,0,1,df_010,,1,,,10890,,5,,,,,,,,,,,,,,,,,"21,33","NEW rental,docomo FS050W 無制限"
1674,15696,377,2946,Insurance [NONE] / Additional Battery [NONE],11-12Days,,,docomo FS050W Unlimited Data,1,,,,,,,,*,,*,,,,,,,,,,,,,,,,,,,,,,,,0,1,df_011,,1,,,11880,,5,,,,,,,,,,,,,,,,,"21,33","NEW rental,docomo FS050W 無制限"
1674,15700,377,2947,Insurance [NONE] / Additional Battery [NONE],12-13Days,,,docomo FS050W Unlimited Data,1,,,,,,,,*,,*,,,,,,,,,,,,,,,,,,,,,,,,0,1,df_012,,1,,,12870,,5,,,,,,,,,,,,,,,,,"21,33","NEW rental,docomo FS050W 無制限"
1674,15704,377,2948,Insurance [NONE] / Additional Battery [NONE],13-14Days,,,docomo FS050W Unlimited Data,1,,,,,,,,*,,*,,,,,,,,,,,,,,,,,,,,,,,,0,1,df_013,,1,,,13860,,5,,,,,,,,,,,,,,,,,"21,33","NEW rental,docomo FS050W 無制限"
1674,15708,377,2949,Insurance [NONE] / Additional Battery [NONE],14-15Days (Value Rental Pack:1Month Pack),,,docomo FS050W Unlimited Data,1,,,,,,,,*,,*,,,,,,,,,,,,,,,,,,,,,,,,0,1,df_014,,1,,,14850,,5,,,,,,,,,,,,,,,,,"21,33","NEW rental,docomo FS050W 無制限"
