商品ID,商品規格ID,親規格分類ID,規格分類ID,親規格分類名,規格分類名,メーカーID,メーカー名,商品名,表示ステータス(公開・非公開),メーカーURL(コメント1),コメント2,検索ワード(コメント3),コメント4,コメント5,コメント6,備考欄(SHOP専用),一覧-メインコメント,一覧-メイン画像,詳細-メインコメント,詳細-メイン画像,詳細-メイン拡大画像,詳細-サブタイトル(1),詳細-サブコメント(1),詳細-サブ画像(1),詳細-サブ拡大画像(1),詳細-サブタイトル(2),詳細-サブコメント(2),詳細-サブ画像(2),詳細-サブ拡大画像(2),詳細-サブタイトル(3),詳細-サブコメント(3),詳細-サブ画像(3),詳細-サブ拡大画像(3),詳細-サブタイトル(4),詳細-サブコメント(4),詳細-サブ画像(4),詳細-サブ拡大画像(4),詳細-サブタイトル(5),詳細-サブコメント(5),詳細-サブ画像(5),詳細-サブ拡大画像(5),発送日目安ID,削除フラグ,商品種別ID,商品コード,在庫数,在庫無制限フラグ,販売制限数,通常価格,販売価格,送料,ポイント付与率,ダウンロードファイル名,ダウンロード実ファイル,関連商品ID(1),関連商品コメント(1),関連商品ID(2),関連商品コメント(2),関連商品ID(3),関連商品コメント(3),関連商品ID(4),関連商品コメント(4),関連商品ID(5),関連商品コメント(5),関連商品ID(6),関連商品コメント(6),商品ステータス,商品ステータス名,カテゴリID,カテゴリ名
21,29,0,0,,,,,【2days/1night RENTAL】WiMAX Aterm3800R,1,,,,,,,,【2days/1night RENTAL】WiMAX Wi-Fi Aterm WM3800R,03191116_550a3161427d4.jpg,*,03191116_550a31613fd2e.jpg,03191116_550a31613cdbc.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,7066,,1,,,900,,5,,,,,,,,,,,,,,,,,1,WiMAX
22,30,0,0,,,,,【3days/2nights RENTAL】WiMAX Aterm3800R,1,,,,,,,,【3days/2nights RENTAL】WiMAX Wi-Fi Aterm WM3800R,03191058_550a2d2c8c9d0.jpg,*,03191058_550a2d2c89d90.jpg,03191058_550a2d2c86ba6.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,7067,,1,,,1350,,5,,,,,,,,,,,,,,,,,1,WiMAX
23,31,0,0,,,,,【4days/3nights RENTAL】WiMAX Aterm3800R,1,,,,,,,,【4days/3nights RENTAL】WiMAX Wi-Fi Aterm WM3800R,03191058_550a2d46de058.jpg,*,03191058_550a2d46db513.jpg,03191058_550a2d46d84c9.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,7068,,1,,,1800,,5,,,,,,,,,,,,,,,,,1,WiMAX
24,32,0,0,,,,,【5days/4nights RENTAL】WiMAX Aterm3800R,1,,,,,,,,【5days/4nights RENTAL】WiMAX Wi-Fi Aterm WM3800R,03191058_550a2d5c9b0f3.jpg,*,03191058_550a2d5c98554.jpg,03191058_550a2d5c95430.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,7069,,1,,,2250,,5,,,,,,,,,,,,,,,,,1,WiMAX
25,33,0,0,,,,,【6days/5nights RENTAL】WiMAX Aterm3800R,1,,,,,,,,【6days/5nights RENTAL】WiMAX Wi-Fi Aterm WM3800R,03191059_550a2d7baeb81.jpg,*,03191059_550a2d7bac167.jpg,03191059_550a2d7ba9246.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,7070,,1,,,2700,,5,,,,,,,,,,,,,,,,,1,WiMAX
26,34,0,0,,,,,【7days/6nights RENTAL】WiMAX Aterm3800R,1,,,,,,,,【7days/6nights RENTAL】WiMAX Wi-Fi Aterm WM3800R,03191059_550a2d9a9fe6f.jpg,*,03191059_550a2d9a9d375.jpg,03191059_550a2d9a9a3bf.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,7071,,1,,,3150,,5,,,,,,,,,,,,,,,,,1,WiMAX
27,35,0,0,,,,,【8days/7nights RENTAL】WiMAX Aterm3800R,1,,,,,,,,【8days/7nights RENTAL】WiMAX Wi-Fi Aterm WM3800R,03191100_550a2dae40281.jpg,*,03191100_550a2dae3d903.jpg,03191100_550a2dae3ad3a.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,7072,,1,,,3600,,5,,,,,,,,,,,,,,,,,1,WiMAX
28,36,0,0,,,,,【9days/8nights RENTAL】WiMAX Aterm3800R,1,,,,,,,,【9days/8nights RENTAL】WiMAX Wi-Fi Aterm WM3800R,03191102_550a2e2bcda2f.jpg,*,03191102_550a2e2bcad3c.jpg,03191102_550a2e2bc7af5.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,7073,,1,,,4050,,5,,,,,,,,,,,,,,,,,1,WiMAX
29,37,0,0,,,,,【10days/9nights RENTAL】WiMAX Aterm3800R,1,,,,,,,,【10days/9nights RENTAL】WiMAX Wi-Fi Aterm WM3800R,03191102_550a2e476f916.jpg,*,03191102_550a2e476cf16.jpg,03191102_550a2e476a092.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,7074,,1,,,4500,,5,,,,,,,,,,,,,,,,,1,WiMAX
30,38,0,0,,,,,【11days/10nights RENTAL】WiMAX Aterm3800R,1,,,,,,,,【11days/10nights RENTAL】WiMAX Wi-Fi Aterm WM3800R,03191116_550a317fed129.jpg,*,03191116_550a317fea6b4.jpg,03191116_550a317fe7819.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,7075,,1,,,4950,,5,,,,,,,,,,,,,,,,,1,WiMAX
