商品ID,商品規格ID,親規格分類ID,規格分類ID,親規格分類名,規格分類名,メーカーID,メーカー名,商品名,表示ステータス(公開・非公開),メーカーURL(コメント1),コメント2,検索ワード(コメント3),コメント4,コメント5,コメント6,備考欄(SHOP専用),一覧-メインコメント,一覧-メイン画像,詳細-メインコメント,詳細-メイン画像,詳細-メイン拡大画像,詳細-サブタイトル(1),詳細-サブコメント(1),詳細-サブ画像(1),詳細-サブ拡大画像(1),詳細-サブタイトル(2),詳細-サブコメント(2),詳細-サブ画像(2),詳細-サブ拡大画像(2),詳細-サブタイトル(3),詳細-サブコメント(3),詳細-サブ画像(3),詳細-サブ拡大画像(3),詳細-サブタイトル(4),詳細-サブコメント(4),詳細-サブ画像(4),詳細-サブ拡大画像(4),詳細-サブタイトル(5),詳細-サブコメント(5),詳細-サブ画像(5),詳細-サブ拡大画像(5),発送日目安ID,削除フラグ,商品種別ID,商品コード,在庫数,在庫無制限フラグ,販売制限数,通常価格,販売価格,送料,ポイント付与率,ダウンロードファイル名,ダウンロード実ファイル,関連商品ID(1),関連商品コメント(1),関連商品ID(2),関連商品コメント(2),関連商品ID(3),関連商品コメント(3),関連商品ID(4),関連商品コメント(4),関連商品ID(5),関連商品コメント(5),関連商品ID(6),関連商品コメント(6),商品ステータス,商品ステータス名,カテゴリID,カテゴリ名
70,,9,7,Request(+￥50/1day),Sign up (+￥540),,,【1Day RENTAL】Y!mobile Pocket Wi-Fi  GL06P,1,,,,,,,,【1Day RENTAL】Y!mobile Pocket Wi-Fi  GL06P,08201031_53f3fa6d60fa2.jpg,*,ym/ym.jpg,ym/ym.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_ym_000_in_bt,,1,,450,1040,,5,,,,,,,,,,,,,,,,,2,Y!mobile
70,,10,7,Not request(+￥0),Sign up (+￥540),,,【1Day RENTAL】Y!mobile Pocket Wi-Fi  GL06P,1,,,,,,,,【1Day RENTAL】Y!mobile Pocket Wi-Fi  GL06P,08201031_53f3fa6d60fa2.jpg,*,ym/ym.jpg,ym/ym.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_ym_000_in,,1,,450,990,,5,,,,,,,,,,,,,,,,,2,Y!mobile
70,,9,8,Request(+￥50/1day),Not sign up (+￥0),,,【1Day RENTAL】Y!mobile Pocket Wi-Fi  GL06P,1,,,,,,,,【1Day RENTAL】Y!mobile Pocket Wi-Fi  GL06P,08201031_53f3fa6d60fa2.jpg,*,ym/ym.jpg,ym/ym.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_ym_000_bt,,1,,450,500,,5,,,,,,,,,,,,,,,,,2,Y!mobile
70,,10,8,Not request(+￥0),Not sign up (+￥0),,,【1Day RENTAL】Y!mobile Pocket Wi-Fi  GL06P,1,,,,,,,,【1Day RENTAL】Y!mobile Pocket Wi-Fi  GL06P,08201031_53f3fa6d60fa2.jpg,*,ym/ym.jpg,ym/ym.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_ym_000,,1,,450,450,,5,,,,,,,,,,,,,,,,,2,Y!mobile
292,414,9,7,Request(+￥50/1day),Sign up (+￥540),,,【2days/1night RENTAL】Y!mobile Pocket Wi-Fi  GL06P,1,,,,,,,,【2days/1night RENTAL】EMOBILE Pocket Wi-Fi LTE GL06P,03191055_550a2ca96b12f.jpg,*,03191055_550a2ca9685eb.jpg,03191055_550a2ca96578d.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_ym_001_in_bt,,1,,900,1540,,5,,,,,,,,,,,,,,,,,2,Y!mobile
292,413,10,7,Not request(+￥0),Sign up (+￥540),,,【2days/1night RENTAL】Y!mobile Pocket Wi-Fi  GL06P,1,,,,,,,,【2days/1night RENTAL】EMOBILE Pocket Wi-Fi LTE GL06P,03191055_550a2ca96b12f.jpg,*,03191055_550a2ca9685eb.jpg,03191055_550a2ca96578d.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_ym_001_in,,1,,900,1440,,5,,,,,,,,,,,,,,,,,2,Y!mobile
292,412,9,8,Request(+￥50/1day),Not sign up (+￥0),,,【2days/1night RENTAL】Y!mobile Pocket Wi-Fi  GL06P,1,,,,,,,,【2days/1night RENTAL】EMOBILE Pocket Wi-Fi LTE GL06P,03191055_550a2ca96b12f.jpg,*,03191055_550a2ca9685eb.jpg,03191055_550a2ca96578d.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_ym_001_bt,,1,,900,1000,,5,,,,,,,,,,,,,,,,,2,Y!mobile
292,411,10,8,Not request(+￥0),Not sign up (+￥0),,,【2days/1night RENTAL】Y!mobile Pocket Wi-Fi  GL06P,1,,,,,,,,【2days/1night RENTAL】EMOBILE Pocket Wi-Fi LTE GL06P,03191055_550a2ca96b12f.jpg,*,03191055_550a2ca9685eb.jpg,03191055_550a2ca96578d.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_ym_001,,1,,900,900,,5,,,,,,,,,,,,,,,,,2,Y!mobile
293,417,9,7,Request(+￥50/1day),Sign up (+￥540),,,【3days/2nights RENTAL】Y!mobile Pocket Wi-Fi  GL06P,1,,,,,,,,【3days/2nights RENTAL】EMOBILE Pocket Wi-Fi LTE GL06P,03191055_550a2c9025a5b.jpg,*,03191055_550a2c9023293.jpg,03191055_550a2c9020635.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_ym_002_in_bt,,1,,1350,2040,,5,,,,,,,,,,,,,,,,,2,Y!mobile
293,416,10,7,Not request(+￥0),Sign up (+￥540),,,【3days/2nights RENTAL】Y!mobile Pocket Wi-Fi  GL06P,1,,,,,,,,【3days/2nights RENTAL】EMOBILE Pocket Wi-Fi LTE GL06P,03191055_550a2c9025a5b.jpg,*,03191055_550a2c9023293.jpg,03191055_550a2c9020635.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_ym_002_in,,1,,1350,1890,,5,,,,,,,,,,,,,,,,,2,Y!mobile
293,415,9,8,Request(+￥50/1day),Not sign up (+￥0),,,【3days/2nights RENTAL】Y!mobile Pocket Wi-Fi  GL06P,1,,,,,,,,【3days/2nights RENTAL】EMOBILE Pocket Wi-Fi LTE GL06P,03191055_550a2c9025a5b.jpg,*,03191055_550a2c9023293.jpg,03191055_550a2c9020635.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_ym_002_bt,,1,,1350,1500,,5,,,,,,,,,,,,,,,,,2,Y!mobile
293,301,10,8,Not request(+￥0),Not sign up (+￥0),,,【3days/2nights RENTAL】Y!mobile Pocket Wi-Fi  GL06P,1,,,,,,,,【3days/2nights RENTAL】EMOBILE Pocket Wi-Fi LTE GL06P,03191055_550a2c9025a5b.jpg,*,03191055_550a2c9023293.jpg,03191055_550a2c9020635.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_ym_002,,1,,1350,1350,,5,,,,,,,,,,,,,,,,,2,Y!mobile
294,420,9,7,Request(+￥50/1day),Sign up (+￥540),,,【4days/3nights RENTAL】Y!mobile Pocket Wi-Fi  GL06P,1,,,,,,,,【4days/3nights RENTAL】EMOBILE Pocket Wi-Fi LTE GL06P,03191055_550a2c7821bc1.jpg,*,03191055_550a2c781ed69.jpg,03191055_550a2c781b92d.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_ym_003_in_bt,,1,,1800,2540,,5,,,,,,,,,,,,,,,,,2,Y!mobile
294,419,10,7,Not request(+￥0),Sign up (+￥540),,,【4days/3nights RENTAL】Y!mobile Pocket Wi-Fi  GL06P,1,,,,,,,,【4days/3nights RENTAL】EMOBILE Pocket Wi-Fi LTE GL06P,03191055_550a2c7821bc1.jpg,*,03191055_550a2c781ed69.jpg,03191055_550a2c781b92d.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_ym_003_in,,1,,1800,2340,,5,,,,,,,,,,,,,,,,,2,Y!mobile
294,418,9,8,Request(+￥50/1day),Not sign up (+￥0),,,【4days/3nights RENTAL】Y!mobile Pocket Wi-Fi  GL06P,1,,,,,,,,【4days/3nights RENTAL】EMOBILE Pocket Wi-Fi LTE GL06P,03191055_550a2c7821bc1.jpg,*,03191055_550a2c781ed69.jpg,03191055_550a2c781b92d.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_ym_003_bt,,1,,1800,2000,,5,,,,,,,,,,,,,,,,,2,Y!mobile
294,302,10,8,Not request(+￥0),Not sign up (+￥0),,,【4days/3nights RENTAL】Y!mobile Pocket Wi-Fi  GL06P,1,,,,,,,,【4days/3nights RENTAL】EMOBILE Pocket Wi-Fi LTE GL06P,03191055_550a2c7821bc1.jpg,*,03191055_550a2c781ed69.jpg,03191055_550a2c781b92d.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_ym_003,,1,,1800,1800,,5,,,,,,,,,,,,,,,,,2,Y!mobile
295,423,9,7,Request(+￥50/1day),Sign up (+￥540),,,【5days/4nights RENTAL】Y!mobile Pocket Wi-Fi  GL06P,1,,,,,,,,【5days/4nights RENTAL】EMOBILE Pocket Wi-Fi LTE GL06P,03191054_550a2c6580eff.jpg,*,03191054_550a2c657e355.jpg,03191054_550a2c657b3b9.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_ym_004_in_bt,,1,,2250,3040,,5,,,,,,,,,,,,,,,,,2,Y!mobile
295,422,10,7,Not request(+￥0),Sign up (+￥540),,,【5days/4nights RENTAL】Y!mobile Pocket Wi-Fi  GL06P,1,,,,,,,,【5days/4nights RENTAL】EMOBILE Pocket Wi-Fi LTE GL06P,03191054_550a2c6580eff.jpg,*,03191054_550a2c657e355.jpg,03191054_550a2c657b3b9.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_ym_004_in,,1,,2250,2790,,5,,,,,,,,,,,,,,,,,2,Y!mobile
295,421,9,8,Request(+￥50/1day),Not sign up (+￥0),,,【5days/4nights RENTAL】Y!mobile Pocket Wi-Fi  GL06P,1,,,,,,,,【5days/4nights RENTAL】EMOBILE Pocket Wi-Fi LTE GL06P,03191054_550a2c6580eff.jpg,*,03191054_550a2c657e355.jpg,03191054_550a2c657b3b9.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_ym_004_bt,,1,,2250,2500,,5,,,,,,,,,,,,,,,,,2,Y!mobile
295,303,10,8,Not request(+￥0),Not sign up (+￥0),,,【5days/4nights RENTAL】Y!mobile Pocket Wi-Fi  GL06P,1,,,,,,,,【5days/4nights RENTAL】EMOBILE Pocket Wi-Fi LTE GL06P,03191054_550a2c6580eff.jpg,*,03191054_550a2c657e355.jpg,03191054_550a2c657b3b9.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_ym_004,,1,,2250,2250,,5,,,,,,,,,,,,,,,,,2,Y!mobile
296,426,9,7,Request(+￥50/1day),Sign up (+￥540),,,【6days/5nights RENTAL】Y!mobile Pocket Wi-Fi  GL06P,1,,,,,,,,【6days/5nights RENTAL】EMOBILE Pocket Wi-Fi LTE GL06P,03191052_550a2bf1a44c0.jpg,*,03191052_550a2bf1a1965.jpg,03191052_550a2bf19e9eb.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_ym_005_in_bt,,1,,2700,3540,,5,,,,,,,,,,,,,,,,,2,Y!mobile
296,425,10,7,Not request(+￥0),Sign up (+￥540),,,【6days/5nights RENTAL】Y!mobile Pocket Wi-Fi  GL06P,1,,,,,,,,【6days/5nights RENTAL】EMOBILE Pocket Wi-Fi LTE GL06P,03191052_550a2bf1a44c0.jpg,*,03191052_550a2bf1a1965.jpg,03191052_550a2bf19e9eb.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_ym_005_in,,1,,2700,3240,,5,,,,,,,,,,,,,,,,,2,Y!mobile
296,424,9,8,Request(+￥50/1day),Not sign up (+￥0),,,【6days/5nights RENTAL】Y!mobile Pocket Wi-Fi  GL06P,1,,,,,,,,【6days/5nights RENTAL】EMOBILE Pocket Wi-Fi LTE GL06P,03191052_550a2bf1a44c0.jpg,*,03191052_550a2bf1a1965.jpg,03191052_550a2bf19e9eb.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_ym_005_bt,,1,,2700,3000,,5,,,,,,,,,,,,,,,,,2,Y!mobile
296,304,10,8,Not request(+￥0),Not sign up (+￥0),,,【6days/5nights RENTAL】Y!mobile Pocket Wi-Fi  GL06P,1,,,,,,,,【6days/5nights RENTAL】EMOBILE Pocket Wi-Fi LTE GL06P,03191052_550a2bf1a44c0.jpg,*,03191052_550a2bf1a1965.jpg,03191052_550a2bf19e9eb.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_ym_005,,1,,2700,2700,,5,,,,,,,,,,,,,,,,,2,Y!mobile
297,429,9,7,Request(+￥50/1day),Sign up (+￥540),,,【7days/6nights RENTAL】Y!mobile Pocket Wi-Fi  GL06P,1,,,,,,,,【7days/6nights RENTAL】EMOBILE Pocket Wi-Fi LTE GL06P,03191052_550a2bdb2707e.jpg,*,03191052_550a2bdb2456d.jpg,03191052_550a2bdb21688.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_ym_006_in_bt,,1,,3150,4040,,5,,,,,,,,,,,,,,,,,2,Y!mobile
297,428,10,7,Not request(+￥0),Sign up (+￥540),,,【7days/6nights RENTAL】Y!mobile Pocket Wi-Fi  GL06P,1,,,,,,,,【7days/6nights RENTAL】EMOBILE Pocket Wi-Fi LTE GL06P,03191052_550a2bdb2707e.jpg,*,03191052_550a2bdb2456d.jpg,03191052_550a2bdb21688.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_ym_006_in,,1,,3150,3690,,5,,,,,,,,,,,,,,,,,2,Y!mobile
297,427,9,8,Request(+￥50/1day),Not sign up (+￥0),,,【7days/6nights RENTAL】Y!mobile Pocket Wi-Fi  GL06P,1,,,,,,,,【7days/6nights RENTAL】EMOBILE Pocket Wi-Fi LTE GL06P,03191052_550a2bdb2707e.jpg,*,03191052_550a2bdb2456d.jpg,03191052_550a2bdb21688.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_ym_006_bt,,1,,3150,3500,,5,,,,,,,,,,,,,,,,,2,Y!mobile
297,305,10,8,Not request(+￥0),Not sign up (+￥0),,,【7days/6nights RENTAL】Y!mobile Pocket Wi-Fi  GL06P,1,,,,,,,,【7days/6nights RENTAL】EMOBILE Pocket Wi-Fi LTE GL06P,03191052_550a2bdb2707e.jpg,*,03191052_550a2bdb2456d.jpg,03191052_550a2bdb21688.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_ym_006,,1,,3150,3150,,5,,,,,,,,,,,,,,,,,2,Y!mobile
298,432,9,7,Request(+￥50/1day),Sign up (+￥540),,,【8days/7nights RENTAL】Y!mobile Pocket Wi-Fi  GL06P,1,,,,,,,,【8days/7nights RENTAL】EMOBILE Pocket Wi-Fi LTE GL06P,03191052_550a2bc62288c.jpg,*,03191052_550a2bc61fc34.jpg,03191052_550a2bc61cd07.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_ym_007_in_bt,,1,,3600,4540,,5,,,,,,,,,,,,,,,,,2,Y!mobile
298,431,10,7,Not request(+￥0),Sign up (+￥540),,,【8days/7nights RENTAL】Y!mobile Pocket Wi-Fi  GL06P,1,,,,,,,,【8days/7nights RENTAL】EMOBILE Pocket Wi-Fi LTE GL06P,03191052_550a2bc62288c.jpg,*,03191052_550a2bc61fc34.jpg,03191052_550a2bc61cd07.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_ym_007_in,,1,,3600,4140,,5,,,,,,,,,,,,,,,,,2,Y!mobile
298,430,9,8,Request(+￥50/1day),Not sign up (+￥0),,,【8days/7nights RENTAL】Y!mobile Pocket Wi-Fi  GL06P,1,,,,,,,,【8days/7nights RENTAL】EMOBILE Pocket Wi-Fi LTE GL06P,03191052_550a2bc62288c.jpg,*,03191052_550a2bc61fc34.jpg,03191052_550a2bc61cd07.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_ym_007_bt,,1,,3600,4000,,5,,,,,,,,,,,,,,,,,2,Y!mobile
298,306,10,8,Not request(+￥0),Not sign up (+￥0),,,【8days/7nights RENTAL】Y!mobile Pocket Wi-Fi  GL06P,1,,,,,,,,【8days/7nights RENTAL】EMOBILE Pocket Wi-Fi LTE GL06P,03191052_550a2bc62288c.jpg,*,03191052_550a2bc61fc34.jpg,03191052_550a2bc61cd07.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_ym_007,,1,,3600,3600,,5,,,,,,,,,,,,,,,,,2,Y!mobile
299,435,9,7,Request(+￥50/1day),Sign up (+￥540),,,【9days/8nights RENTAL】Y!mobile Pocket Wi-Fi  GL06P,1,,,,,,,,【9days/8nights RENTAL】EMOBILE Pocket Wi-Fi LTE GL06P,03191051_550a2baf4be24.jpg,*,03191051_550a2baf494db.jpg,03191051_550a2baf46740.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_ym_008_in_bt,,1,,4050,5040,,5,,,,,,,,,,,,,,,,,2,Y!mobile
299,434,10,7,Not request(+￥0),Sign up (+￥540),,,【9days/8nights RENTAL】Y!mobile Pocket Wi-Fi  GL06P,1,,,,,,,,【9days/8nights RENTAL】EMOBILE Pocket Wi-Fi LTE GL06P,03191051_550a2baf4be24.jpg,*,03191051_550a2baf494db.jpg,03191051_550a2baf46740.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_ym_008_in,,1,,4050,4590,,5,,,,,,,,,,,,,,,,,2,Y!mobile
299,433,9,8,Request(+￥50/1day),Not sign up (+￥0),,,【9days/8nights RENTAL】Y!mobile Pocket Wi-Fi  GL06P,1,,,,,,,,【9days/8nights RENTAL】EMOBILE Pocket Wi-Fi LTE GL06P,03191051_550a2baf4be24.jpg,*,03191051_550a2baf494db.jpg,03191051_550a2baf46740.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_ym_008_bt,,1,,4050,4500,,5,,,,,,,,,,,,,,,,,2,Y!mobile
299,307,10,8,Not request(+￥0),Not sign up (+￥0),,,【9days/8nights RENTAL】Y!mobile Pocket Wi-Fi  GL06P,1,,,,,,,,【9days/8nights RENTAL】EMOBILE Pocket Wi-Fi LTE GL06P,03191051_550a2baf4be24.jpg,*,03191051_550a2baf494db.jpg,03191051_550a2baf46740.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_ym_008,,1,,4050,4050,,5,,,,,,,,,,,,,,,,,2,Y!mobile
300,438,9,7,Request(+￥50/1day),Sign up (+￥540),,,【10days/9nights RENTAL】Y!mobile Pocket Wi-Fi  GL06P,1,,,,,,,,【10days/9nights RENTAL】EMOBILE Pocket Wi-Fi LTE GL06P,03191051_550a2b9983e7d.jpg,*,03191051_550a2b99813d5.jpg,03191051_550a2b997e60a.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_ym_009_in_bt,,1,,4500,5540,,5,,,,,,,,,,,,,,,,,2,Y!mobile
300,437,10,7,Not request(+￥0),Sign up (+￥540),,,【10days/9nights RENTAL】Y!mobile Pocket Wi-Fi  GL06P,1,,,,,,,,【10days/9nights RENTAL】EMOBILE Pocket Wi-Fi LTE GL06P,03191051_550a2b9983e7d.jpg,*,03191051_550a2b99813d5.jpg,03191051_550a2b997e60a.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_ym_009_in,,1,,4500,5040,,5,,,,,,,,,,,,,,,,,2,Y!mobile
300,436,9,8,Request(+￥50/1day),Not sign up (+￥0),,,【10days/9nights RENTAL】Y!mobile Pocket Wi-Fi  GL06P,1,,,,,,,,【10days/9nights RENTAL】EMOBILE Pocket Wi-Fi LTE GL06P,03191051_550a2b9983e7d.jpg,*,03191051_550a2b99813d5.jpg,03191051_550a2b997e60a.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_ym_009_bt,,1,,4500,5000,,5,,,,,,,,,,,,,,,,,2,Y!mobile
300,308,10,8,Not request(+￥0),Not sign up (+￥0),,,【10days/9nights RENTAL】Y!mobile Pocket Wi-Fi  GL06P,1,,,,,,,,【10days/9nights RENTAL】EMOBILE Pocket Wi-Fi LTE GL06P,03191051_550a2b9983e7d.jpg,*,03191051_550a2b99813d5.jpg,03191051_550a2b997e60a.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_ym_009,,1,,4500,4500,,5,,,,,,,,,,,,,,,,,2,Y!mobile
