商品ID,商品規格ID,親規格分類ID,規格分類ID,親規格分類名,規格分類名,メーカーID,メーカー名,商品名,表示ステータス(公開・非公開),メーカーURL(コメント1),コメント2,検索ワード(コメント3),コメント4,コメント5,コメント6,備考欄(SHOP専用),一覧-メインコメント,一覧-メイン画像,詳細-メインコメント,詳細-メイン画像,詳細-メイン拡大画像,詳細-サブタイトル(1),詳細-サブコメント(1),詳細-サブ画像(1),詳細-サブ拡大画像(1),詳細-サブタイトル(2),詳細-サブコメント(2),詳細-サブ画像(2),詳細-サブ拡大画像(2),詳細-サブタイトル(3),詳細-サブコメント(3),詳細-サブ画像(3),詳細-サブ拡大画像(3),詳細-サブタイトル(4),詳細-サブコメント(4),詳細-サブ画像(4),詳細-サブ拡大画像(4),詳細-サブタイトル(5),詳細-サブコメント(5),詳細-サブ画像(5),詳細-サブ拡大画像(5),発送日目安ID,削除フラグ,商品種別ID,商品コード,在庫数,在庫無制限フラグ,販売制限数,通常価格,販売価格,送料,ポイント付与率,ダウンロードファイル名,ダウンロード実ファイル,関連商品ID(1),関連商品コメント(1),関連商品ID(2),関連商品コメント(2),関連商品ID(3),関連商品コメント(3),関連商品ID(4),関連商品コメント(4),関連商品ID(5),関連商品コメント(5),関連商品ID(6),関連商品コメント(6),商品ステータス,商品ステータス名,カテゴリID,カテゴリ名
344,531,9,7,Request(+￥50/1day),Sign up (+￥540),,,【15days/14nights〜1month RENTAL】au KDDI HWD11,1,,,,,,,,【15days/14nights〜1month RENTAL】au KDDI HWD11,03151247_550500b50526e.jpg,*,03151247_550500b502883.jpg,03151247_550500b4f3824.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_014_in_bt,,,,11250,12540,,5,,,,,,,,,,,,,,,,,7,au
344,530,10,7,Not request(+￥0),Sign up (+￥540),,,【15days/14nights〜1month RENTAL】au KDDI HWD11,1,,,,,,,,【15days/14nights〜1month RENTAL】au KDDI HWD11,03151247_550500b50526e.jpg,*,03151247_550500b502883.jpg,03151247_550500b4f3824.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_014_in,,,,11250,11790,,5,,,,,,,,,,,,,,,,,7,au
344,529,9,8,Request(+￥50/1day),Not sign up (+￥0),,,【15days/14nights〜1month RENTAL】au KDDI HWD11,1,,,,,,,,【15days/14nights〜1month RENTAL】au KDDI HWD11,03151247_550500b50526e.jpg,*,03151247_550500b502883.jpg,03151247_550500b4f3824.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_014_bt,,,,11250,12000,,5,,,,,,,,,,,,,,,,,7,au
344,352,10,8,Not request(+￥0),Not sign up (+￥0),,,【15days/14nights〜1month RENTAL】au KDDI HWD11,1,,,,,,,,【15days/14nights〜1month RENTAL】au KDDI HWD11,03151247_550500b50526e.jpg,*,03151247_550500b502883.jpg,03151247_550500b4f3824.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_014,,,,11250,11250,,5,,,,,,,,,,,,,,,,,7,au
345,534,9,7,Request(+￥50/1day),Sign up (+￥540),,,【2-month(61days/60nights) RENTAL】au KDDI HWD11,1,,,,,,,,【2-month(61days/60nights) RENTAL】au KDDI HWD11,03151246_5505009e5780e.jpg,*,03151246_5505009e54fcb.jpg,03151246_5505009e51ce5.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_060_in_bt,,,,19950,21540,,5,,,,,,,,,,,,,,,,,7,au
345,533,10,7,Not request(+￥0),Sign up (+￥540),,,【2-month(61days/60nights) RENTAL】au KDDI HWD11,1,,,,,,,,【2-month(61days/60nights) RENTAL】au KDDI HWD11,03151246_5505009e5780e.jpg,*,03151246_5505009e54fcb.jpg,03151246_5505009e51ce5.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_060_in,,,,19950,20490,,5,,,,,,,,,,,,,,,,,7,au
345,532,9,8,Request(+￥50/1day),Not sign up (+￥0),,,【2-month(61days/60nights) RENTAL】au KDDI HWD11,1,,,,,,,,【2-month(61days/60nights) RENTAL】au KDDI HWD11,03151246_5505009e5780e.jpg,*,03151246_5505009e54fcb.jpg,03151246_5505009e51ce5.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_060_bt,,,,19950,21000,,5,,,,,,,,,,,,,,,,,7,au
345,353,10,8,Not request(+￥0),Not sign up (+￥0),,,【2-month(61days/60nights) RENTAL】au KDDI HWD11,1,,,,,,,,【2-month(61days/60nights) RENTAL】au KDDI HWD11,03151246_5505009e5780e.jpg,*,03151246_5505009e54fcb.jpg,03151246_5505009e51ce5.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_060,,,,19950,19950,,5,,,,,,,,,,,,,,,,,7,au
346,537,9,7,Request(+￥50/1day),Sign up (+￥540),,,【3-month(91days/90nights) RENTAL】au KDDI HWD11,1,,,,,,,,【3-month(91days/90nights) RENTAL】au KDDI HWD11,03151246_550500824f76e.jpg,*,03151246_550500824c667.jpg,03151246_5505008249602.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_090_in_bt,,,,27900,29790,,5,,,,,,,,,,,,,,,,,7,au
346,536,10,7,Not request(+￥0),Sign up (+￥540),,,【3-month(91days/90nights) RENTAL】au KDDI HWD11,1,,,,,,,,【3-month(91days/90nights) RENTAL】au KDDI HWD11,03151246_550500824f76e.jpg,*,03151246_550500824c667.jpg,03151246_5505008249602.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_090_in,,,,27900,28440,,5,,,,,,,,,,,,,,,,,7,au
346,535,9,8,Request(+￥50/1day),Not sign up (+￥0),,,【3-month(91days/90nights) RENTAL】au KDDI HWD11,1,,,,,,,,【3-month(91days/90nights) RENTAL】au KDDI HWD11,03151246_550500824f76e.jpg,*,03151246_550500824c667.jpg,03151246_5505008249602.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_090_bt,,,,27900,29250,,5,,,,,,,,,,,,,,,,,7,au
346,354,10,8,Not request(+￥0),Not sign up (+￥0),,,【3-month(91days/90nights) RENTAL】au KDDI HWD11,1,,,,,,,,【3-month(91days/90nights) RENTAL】au KDDI HWD11,03151246_550500824f76e.jpg,*,03151246_550500824c667.jpg,03151246_5505008249602.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_090,,,,27900,27900,,5,,,,,,,,,,,,,,,,,7,au
334,501,9,7,Request(+￥50/1day),Sign up (+￥540),,,【5days/4nights RENTAL】au KDDI HWD11,1,,,,,,,,【5days/4nights RENTAL】au KDDI HWD11,03151237_5504fe7babfe3.jpg,*,03151237_5504fe7ba9607.jpg,03151237_5504fe7ba5dd1.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_004_in_bt,,,,3750,4540,,5,,,,,,,,,,,,,,,,,7,au
334,500,10,7,Not request(+￥0),Sign up (+￥540),,,【5days/4nights RENTAL】au KDDI HWD11,1,,,,,,,,【5days/4nights RENTAL】au KDDI HWD11,03151237_5504fe7babfe3.jpg,*,03151237_5504fe7ba9607.jpg,03151237_5504fe7ba5dd1.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_004_in,,,,3750,4290,,5,,,,,,,,,,,,,,,,,7,au
334,499,9,8,Request(+￥50/1day),Not sign up (+￥0),,,【5days/4nights RENTAL】au KDDI HWD11,1,,,,,,,,【5days/4nights RENTAL】au KDDI HWD11,03151237_5504fe7babfe3.jpg,*,03151237_5504fe7ba9607.jpg,03151237_5504fe7ba5dd1.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_004_bt,,,,3750,4000,,5,,,,,,,,,,,,,,,,,7,au
334,342,10,8,Not request(+￥0),Not sign up (+￥0),,,【5days/4nights RENTAL】au KDDI HWD11,1,,,,,,,,【5days/4nights RENTAL】au KDDI HWD11,03151237_5504fe7babfe3.jpg,*,03151237_5504fe7ba9607.jpg,03151237_5504fe7ba5dd1.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_004,,,,3750,3750,,5,,,,,,,,,,,,,,,,,7,au
335,504,9,7,Request(+￥50/1day),Sign up (+￥540),,,【6days/5nights RENTAL】au KDDI HWD11,1,,,,,,,,【6days/5nights RENTAL】au KDDI HWD11,03151237_5504fe6771bc6.jpg,*,03151237_5504fe676f176.jpg,03151237_5504fe676c040.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_005_in_bt,,,,4500,5340,,5,,,,,,,,,,,,,,,,,7,au
335,503,10,7,Not request(+￥0),Sign up (+￥540),,,【6days/5nights RENTAL】au KDDI HWD11,1,,,,,,,,【6days/5nights RENTAL】au KDDI HWD11,03151237_5504fe6771bc6.jpg,*,03151237_5504fe676f176.jpg,03151237_5504fe676c040.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_005_in,,,,4500,5040,,5,,,,,,,,,,,,,,,,,7,au
335,502,9,8,Request(+￥50/1day),Not sign up (+￥0),,,【6days/5nights RENTAL】au KDDI HWD11,1,,,,,,,,【6days/5nights RENTAL】au KDDI HWD11,03151237_5504fe6771bc6.jpg,*,03151237_5504fe676f176.jpg,03151237_5504fe676c040.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_005_bt,,,,4500,4800,,5,,,,,,,,,,,,,,,,,7,au
335,343,10,8,Not request(+￥0),Not sign up (+￥0),,,【6days/5nights RENTAL】au KDDI HWD11,1,,,,,,,,【6days/5nights RENTAL】au KDDI HWD11,03151237_5504fe6771bc6.jpg,*,03151237_5504fe676f176.jpg,03151237_5504fe676c040.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_005,,,,4500,4500,,5,,,,,,,,,,,,,,,,,7,au
336,507,9,7,Request(+￥50/1day),Sign up (+￥540),,,【7days/6nights RENTAL】au KDDI HWD11,1,,,,,,,,【7days/6nights RENTAL】au KDDI HWD11,03151236_5504fe5027b82.jpg,*,03151236_5504fe502538c.jpg,03151236_5504fe5022508.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_006_in_bt,,,,5250,6140,,5,,,,,,,,,,,,,,,,,7,au
336,506,10,7,Not request(+￥0),Sign up (+￥540),,,【7days/6nights RENTAL】au KDDI HWD11,1,,,,,,,,【7days/6nights RENTAL】au KDDI HWD11,03151236_5504fe5027b82.jpg,*,03151236_5504fe502538c.jpg,03151236_5504fe5022508.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_006_in,,,,5250,5790,,5,,,,,,,,,,,,,,,,,7,au
336,505,9,8,Request(+￥50/1day),Not sign up (+￥0),,,【7days/6nights RENTAL】au KDDI HWD11,1,,,,,,,,【7days/6nights RENTAL】au KDDI HWD11,03151236_5504fe5027b82.jpg,*,03151236_5504fe502538c.jpg,03151236_5504fe5022508.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_006_bt,,,,5250,5600,,5,,,,,,,,,,,,,,,,,7,au
336,344,10,8,Not request(+￥0),Not sign up (+￥0),,,【7days/6nights RENTAL】au KDDI HWD11,1,,,,,,,,【7days/6nights RENTAL】au KDDI HWD11,03151236_5504fe5027b82.jpg,*,03151236_5504fe502538c.jpg,03151236_5504fe5022508.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_006,,,,5250,5250,,5,,,,,,,,,,,,,,,,,7,au
337,510,9,7,Request(+￥50/1day),Sign up (+￥540),,,【8days/7nights RENTAL】au KDDI HWD11,1,,,,,,,,【8days/7nights RENTAL】au KDDI HWD11,03151236_5504fe3c06981.jpg,*,03151236_5504fe3c03ed9.jpg,03151236_5504fe3c00e55.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_007_in_bt,,,,6000,6940,,5,,,,,,,,,,,,,,,,,7,au
337,509,10,7,Not request(+￥0),Sign up (+￥540),,,【8days/7nights RENTAL】au KDDI HWD11,1,,,,,,,,【8days/7nights RENTAL】au KDDI HWD11,03151236_5504fe3c06981.jpg,*,03151236_5504fe3c03ed9.jpg,03151236_5504fe3c00e55.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_007_in,,,,6000,6540,,5,,,,,,,,,,,,,,,,,7,au
337,508,9,8,Request(+￥50/1day),Not sign up (+￥0),,,【8days/7nights RENTAL】au KDDI HWD11,1,,,,,,,,【8days/7nights RENTAL】au KDDI HWD11,03151236_5504fe3c06981.jpg,*,03151236_5504fe3c03ed9.jpg,03151236_5504fe3c00e55.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_007_bt,,,,6000,6400,,5,,,,,,,,,,,,,,,,,7,au
