商品ID,商品規格ID,親規格分類ID,規格分類ID,親規格分類名,規格分類名,メーカーID,メーカー名,商品名,表示ステータス(公開・非公開),メーカーURL(コメント1),コメント2,検索ワード(コメント3),コメント4,コメント5,コメント6,備考欄(SHOP専用),一覧-メインコメント,一覧-メイン画像,詳細-メインコメント,詳細-メイン画像,詳細-メイン拡大画像,詳細-サブタイトル(1),詳細-サブコメント(1),詳細-サブ画像(1),詳細-サブ拡大画像(1),詳細-サブタイトル(2),詳細-サブコメント(2),詳細-サブ画像(2),詳細-サブ拡大画像(2),詳細-サブタイトル(3),詳細-サブコメント(3),詳細-サブ画像(3),詳細-サブ拡大画像(3),詳細-サブタイトル(4),詳細-サブコメント(4),詳細-サブ画像(4),詳細-サブ拡大画像(4),詳細-サブタイトル(5),詳細-サブコメント(5),詳細-サブ画像(5),詳細-サブ拡大画像(5),発送日目安ID,削除フラグ,商品種別ID,商品コード,在庫数,在庫無制限フラグ,販売制限数,通常価格,販売価格,送料,ポイント付与率,ダウンロードファイル名,ダウンロード実ファイル,関連商品ID(1),関連商品コメント(1),関連商品ID(2),関連商品コメント(2),関連商品ID(3),関連商品コメント(3),関連商品ID(4),関連商品コメント(4),関連商品ID(5),関連商品コメント(5),関連商品ID(6),関連商品コメント(6),商品ステータス,商品ステータス名,カテゴリID,カテゴリ名
,,,,,,,,[1 Days RENTAL] SoftBank 601HW [BLACK] Standard 20GB,1,,,,,,,,[1 Days RENTAL] SoftBank 601HW [BLACK] Standard 20GB,sk.jpg,*,sk.jpg,sk.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,sk_000,,1,,450,450,,5,,,,,,,,,,,,,,,,,16,SoftBank 601HW スタンダード20GB
,,,,,,,,[2 Days RENTAL] SoftBank 601HW [BLACK] Standard 20GB,1,,,,,,,,[2 Days RENTAL] SoftBank 601HW [BLACK] Standard 20GB,sk.jpg,*,sk.jpg,sk.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,sk_001,,1,,900,900,,5,,,,,,,,,,,,,,,,,16,SoftBank 601HW スタンダード20GB
,,,,,,,,[3 Days RENTAL] SoftBank 601HW [BLACK] Standard 20GB,1,,,,,,,,[3 Days RENTAL] SoftBank 601HW [BLACK] Standard 20GB,sk.jpg,*,sk.jpg,sk.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,sk_002,,1,,1350,1350,,5,,,,,,,,,,,,,,,,,16,SoftBank 601HW スタンダード20GB
,,,,,,,,[4 Days RENTAL] SoftBank 601HW [BLACK] Standard 20GB,1,,,,,,,,[4 Days RENTAL] SoftBank 601HW [BLACK] Standard 20GB,sk.jpg,*,sk.jpg,sk.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,sk_003,,1,,1800,1800,,5,,,,,,,,,,,,,,,,,16,SoftBank 601HW スタンダード20GB
,,,,,,,,[5 Days RENTAL] SoftBank 601HW [BLACK] Standard 20GB,1,,,,,,,,[5 Days RENTAL] SoftBank 601HW [BLACK] Standard 20GB,sk.jpg,*,sk.jpg,sk.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,sk_004,,1,,2250,2250,,5,,,,,,,,,,,,,,,,,16,SoftBank 601HW スタンダード20GB
,,,,,,,,[6 Days RENTAL] SoftBank 601HW [BLACK] Standard 20GB,1,,,,,,,,[6 Days RENTAL] SoftBank 601HW [BLACK] Standard 20GB,sk.jpg,*,sk.jpg,sk.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,sk_005,,1,,2700,2700,,5,,,,,,,,,,,,,,,,,16,SoftBank 601HW スタンダード20GB
,,,,,,,,[7 Days RENTAL] SoftBank 601HW [BLACK] Standard 20GB,1,,,,,,,,[7 Days RENTAL] SoftBank 601HW [BLACK] Standard 20GB,sk.jpg,*,sk.jpg,sk.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,sk_006,,1,,3150,3150,,5,,,,,,,,,,,,,,,,,16,SoftBank 601HW スタンダード20GB
,,,,,,,,[8 Days RENTAL] SoftBank 601HW [BLACK] Standard 20GB,1,,,,,,,,[8 Days RENTAL] SoftBank 601HW [BLACK] Standard 20GB,sk.jpg,*,sk.jpg,sk.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,sk_007,,1,,3600,3600,,5,,,,,,,,,,,,,,,,,16,SoftBank 601HW スタンダード20GB
,,,,,,,,[9 Days RENTAL] SoftBank 601HW [BLACK] Standard 20GB,1,,,,,,,,[9 Days RENTAL] SoftBank 601HW [BLACK] Standard 20GB,sk.jpg,*,sk.jpg,sk.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,sk_008,,1,,4050,4050,,5,,,,,,,,,,,,,,,,,16,SoftBank 601HW スタンダード20GB
,,,,,,,,[10 Days RENTAL] SoftBank 601HW [BLACK] Standard 20GB,1,,,,,,,,[10 Days RENTAL] SoftBank 601HW [BLACK] Standard 20GB,sk.jpg,*,sk.jpg,sk.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,sk_009,,1,,4500,4500,,5,,,,,,,,,,,,,,,,,16,SoftBank 601HW スタンダード20GB
