商品ID,商品規格ID,親規格分類ID,規格分類ID,親規格分類名,規格分類名,メーカーID,メーカー名,商品名,表示ステータス(公開・非公開),メーカーURL(コメント1),コメント2,検索ワード(コメント3),コメント4,コメント5,コメント6,備考欄(SHOP専用),一覧-メインコメント,一覧-メイン画像,詳細-メインコメント,詳細-メイン画像,詳細-メイン拡大画像,詳細-サブタイトル(1),詳細-サブコメント(1),詳細-サブ画像(1),詳細-サブ拡大画像(1),詳細-サブタイトル(2),詳細-サブコメント(2),詳細-サブ画像(2),詳細-サブ拡大画像(2),詳細-サブタイトル(3),詳細-サブコメント(3),詳細-サブ画像(3),詳細-サブ拡大画像(3),詳細-サブタイトル(4),詳細-サブコメント(4),詳細-サブ画像(4),詳細-サブ拡大画像(4),詳細-サブタイトル(5),詳細-サブコメント(5),詳細-サブ画像(5),詳細-サブ拡大画像(5),発送日目安ID,削除フラグ,商品種別ID,商品コード,在庫数,在庫無制限フラグ,販売制限数,通常価格,販売価格,送料,ポイント付与率,ダウンロードファイル名,ダウンロード実ファイル,関連商品ID(1),関連商品コメント(1),関連商品ID(2),関連商品コメント(2),関連商品ID(3),関連商品コメント(3),関連商品ID(4),関連商品コメント(4),関連商品ID(5),関連商品コメント(5),関連商品ID(6),関連商品コメント(6),商品ステータス,商品ステータス名,カテゴリID,カテゴリ名
,,,,,,,,[1 Days RENTAL] au KDDI HWD11,1,,,,,,,,[1 Days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,au_000,,1,,650,650,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
,,,,,,,,[2 Days RENTAL] au KDDI HWD11,1,,,,,,,,[2 Days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,au_001,,1,,1300,1300,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
,,,,,,,,[3 Days RENTAL] au KDDI HWD11,1,,,,,,,,[3 Days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,au_002,,1,,1950,1950,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
,,,,,,,,[4 Days RENTAL] au KDDI HWD11,1,,,,,,,,[4 Days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,au_003,,1,,2600,2600,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
,,,,,,,,[5 Days RENTAL] au KDDI HWD11,1,,,,,,,,[5 Days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,au_004,,1,,3250,3250,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
,,,,,,,,[6 Days RENTAL] au KDDI HWD11,1,,,,,,,,[6 Days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,au_005,,1,,3900,3900,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
,,,,,,,,[7 Days RENTAL] au KDDI HWD11,1,,,,,,,,[7 Days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,au_006,,1,,4550,4550,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
,,,,,,,,[8 Days RENTAL] au KDDI HWD11,1,,,,,,,,[8 Days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,au_007,,1,,5200,5200,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
,,,,,,,,[9 Days RENTAL] au KDDI HWD11,1,,,,,,,,[9 Days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,au_008,,1,,5850,5850,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
,,,,,,,,[10 Days RENTAL] au KDDI HWD11,1,,,,,,,,[10 Days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,au_009,,1,,6500,6500,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
,,,,,,,,[11 Days RENTAL] au KDDI HWD11,1,,,,,,,,[11 Days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,au_010,,1,,7150,7150,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
,,,,,,,,[12 Days RENTAL] au KDDI HWD11,1,,,,,,,,[12 Days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,au_011,,1,,7800,7800,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
,,,,,,,,[13 Days RENTAL] au KDDI HWD11,1,,,,,,,,[13 Days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,au_012,,1,,8450,8450,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
