商品ID,商品規格ID,親規格分類ID,規格分類ID,親規格分類名,規格分類名,メーカーID,メーカー名,商品名,表示ステータス(公開・非公開),メーカーURL(コメント1),コメント2,検索ワード(コメント3),コメント4,コメント5,コメント6,備考欄(SHOP専用),一覧-メインコメント,一覧-メイン画像,詳細-メインコメント,詳細-メイン画像,詳細-メイン拡大画像,詳細-サブタイトル(1),詳細-サブコメント(1),詳細-サブ画像(1),詳細-サブ拡大画像(1),詳細-サブタイトル(2),詳細-サブコメント(2),詳細-サブ画像(2),詳細-サブ拡大画像(2),詳細-サブタイトル(3),詳細-サブコメント(3),詳細-サブ画像(3),詳細-サブ拡大画像(3),詳細-サブタイトル(4),詳細-サブコメント(4),詳細-サブ画像(4),詳細-サブ拡大画像(4),詳細-サブタイトル(5),詳細-サブコメント(5),詳細-サブ画像(5),詳細-サブ拡大画像(5),発送日目安ID,削除フラグ,商品種別ID,商品コード,在庫数,在庫無制限フラグ,販売制限数,通常価格,販売価格,送料,ポイント付与率,ダウンロードファイル名,ダウンロード実ファイル,関連商品ID(1),関連商品コメント(1),関連商品ID(2),関連商品コメント(2),関連商品ID(3),関連商品コメント(3),関連商品ID(4),関連商品コメント(4),関連商品ID(5),関連商品コメント(5),関連商品ID(6),関連商品コメント(6),商品ステータス,商品ステータス名,カテゴリID,カテゴリ名
1615,5349,0,0,,,,,[2 Months (61 days) Extension] SoftBank 601HW Black,1,,,,,,,,[2 Months (61 days) Extension] SoftBank 601HW Black,sk_ex.jpg,*,sk_ex.jpg,sk_ex.jpg,,,,,,,,,,,,,,,,,,,,,,1,1,en_sk_ex_090,,1,,16800,16800,,5,,,,,,,,,,,,,,,,,15,extension_SoftBank 601HW
1616,5350,0,0,,,,,[4 Months (121 days) Extension] SoftBank 601HW Black,1,,,,,,,,[4 Months (121 days) Extension] SoftBank 601HW Black,sk_ex.jpg,*,sk_ex.jpg,sk_ex.jpg,,,,,,,,,,,,,,,,,,,,,,1,1,en_sk_ex_120,,1,,18800,18800,,5,,,,,,,,,,,,,,,,,15,extension_SoftBank 601HW
1617,5351,0,0,,,,,[5 Months (151 days) Extension] SoftBank 601HW Black,1,,,,,,,,[5 Months (151 days) Extension] SoftBank 601HW Black,sk_ex.jpg,*,sk_ex.jpg,sk_ex.jpg,,,,,,,,,,,,,,,,,,,,,,1,1,en_sk_ex_150,,1,,20800,20800,,5,,,,,,,,,,,,,,,,,15,extension_SoftBank 601HW
1618,5352,0,0,,,,,[6 Months (181 days) Extension] SoftBank 601HW Black,1,,,,,,,,[6 Months (181 days) Extension] SoftBank 601HW Black,sk_ex.jpg,*,sk_ex.jpg,sk_ex.jpg,,,,,,,,,,,,,,,,,,,,,,1,1,en_sk_ex_180,,1,,22800,22800,,5,,,,,,,,,,,,,,,,,15,extension_SoftBank 601HW
1599,5333,0,0,,,,,[1 day Extension] SoftBank 601HW Black,1,,,,,,,,[1 day Extension] SoftBank 601HW Black,sk_ex.jpg,*,sk_ex.jpg,sk_ex.jpg,,,,,,,,,,,,,,,,,,,,,,1,1,en_sk_ex_000,,1,,450,450,,5,,,,,,,,,,,,,,,,,15,extension_SoftBank 601HW
1600,5334,0,0,,,,,[2 days Extension] SoftBank 601HW Black,1,,,,,,,,[2 days Extension] SoftBank 601HW Black,sk_ex.jpg,*,sk_ex.jpg,sk_ex.jpg,,,,,,,,,,,,,,,,,,,,,,1,1,en_sk_ex_001,,1,,900,900,,5,,,,,,,,,,,,,,,,,15,extension_SoftBank 601HW
1601,5335,0,0,,,,,[3 days Extension] SoftBank 601HW Black,1,,,,,,,,[3 days Extension] SoftBank 601HW Black,sk_ex.jpg,*,sk_ex.jpg,sk_ex.jpg,,,,,,,,,,,,,,,,,,,,,,1,1,en_sk_ex_002,,1,,1350,1350,,5,,,,,,,,,,,,,,,,,15,extension_SoftBank 601HW
1602,5336,0,0,,,,,[4 days Extension] SoftBank 601HW Black,1,,,,,,,,[4 days Extension] SoftBank 601HW Black,sk_ex.jpg,*,sk_ex.jpg,sk_ex.jpg,,,,,,,,,,,,,,,,,,,,,,1,1,en_sk_ex_003,,1,,1800,1800,,5,,,,,,,,,,,,,,,,,15,extension_SoftBank 601HW
1603,5337,0,0,,,,,[5 days Extension] SoftBank 601HW Black,1,,,,,,,,[5 days Extension] SoftBank 601HW Black,sk_ex.jpg,*,sk_ex.jpg,sk_ex.jpg,,,,,,,,,,,,,,,,,,,,,,1,1,en_sk_ex_004,,1,,2250,2250,,5,,,,,,,,,,,,,,,,,15,extension_SoftBank 601HW
1604,5338,0,0,,,,,[6 days Extension] SoftBank 601HW Black,1,,,,,,,,[6 days Extension] SoftBank 601HW Black,sk_ex.jpg,*,sk_ex.jpg,sk_ex.jpg,,,,,,,,,,,,,,,,,,,,,,1,1,en_sk_ex_005,,1,,2700,2700,,5,,,,,,,,,,,,,,,,,15,extension_SoftBank 601HW
1605,5339,0,0,,,,,[7 days Extension] SoftBank 601HW Black,1,,,,,,,,[7 days Extension] SoftBank 601HW Black,sk_ex.jpg,*,sk_ex.jpg,sk_ex.jpg,,,,,,,,,,,,,,,,,,,,,,1,1,en_sk_ex_006,,1,,3150,3150,,5,,,,,,,,,,,,,,,,,15,extension_SoftBank 601HW
1606,5340,0,0,,,,,[8 days Extension] SoftBank 601HW Black,1,,,,,,,,[8 days Extension] SoftBank 601HW Black,sk_ex.jpg,*,sk_ex.jpg,sk_ex.jpg,,,,,,,,,,,,,,,,,,,,,,1,1,en_sk_ex_007,,1,,3600,3600,,5,,,,,,,,,,,,,,,,,15,extension_SoftBank 601HW
