商品ID,商品規格ID,親規格分類ID,規格分類ID,親規格分類名,規格分類名,メーカーID,メーカー名,商品名,表示ステータス(公開・非公開),メーカーURL(コメント1),コメント2,検索ワード(コメント3),コメント4,コメント5,コメント6,備考欄(SHOP専用),一覧-メインコメント,一覧-メイン画像,詳細-メインコメント,詳細-メイン画像,詳細-メイン拡大画像,詳細-サブタイトル(1),詳細-サブコメント(1),詳細-サブ画像(1),詳細-サブ拡大画像(1),詳細-サブタイトル(2),詳細-サブコメント(2),詳細-サブ画像(2),詳細-サブ拡大画像(2),詳細-サブタイトル(3),詳細-サブコメント(3),詳細-サブ画像(3),詳細-サブ拡大画像(3),詳細-サブタイトル(4),詳細-サブコメント(4),詳細-サブ画像(4),詳細-サブ拡大画像(4),詳細-サブタイトル(5),詳細-サブコメント(5),詳細-サブ画像(5),詳細-サブ拡大画像(5),発送日目安ID,削除フラグ,商品種別ID,商品コード,在庫数,在庫無制限フラグ,販売制限数,通常価格,販売価格,送料,ポイント付与率,ダウンロードファイル名,ダウンロード実ファイル,関連商品ID(1),関連商品コメント(1),関連商品ID(2),関連商品コメント(2),関連商品ID(3),関連商品コメント(3),関連商品ID(4),関連商品コメント(4),関連商品ID(5),関連商品コメント(5),関連商品ID(6),関連商品コメント(6),商品ステータス,商品ステータス名,カテゴリID,カテゴリ名
1234,3873,10,8,None (+ 0 JPY),None (+ 0 JPY),,, au KDDI HWD11 [ 1 Day RENTAL ],1,,,,,,,,[1 days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_000,,1,,650,650,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1235,3874,10,8,None (+ 0 JPY),None (+ 0 JPY),,, au KDDI HWD11 [ 2 Days RENTAL ],1,,,,,,,,[2 days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_001,,1,,1300,1300,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1236,3875,10,8,None (+ 0 JPY),None (+ 0 JPY),,, au KDDI HWD11 [ 3 Days RENTAL ],1,,,,,,,,[3 days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_002,,1,,1950,1950,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1237,3876,10,8,None (+ 0 JPY),None (+ 0 JPY),,, au KDDI HWD11 [ 4 Days RENTAL ],1,,,,,,,,[4 days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_003,,1,,2600,2600,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1238,3877,10,8,None (+ 0 JPY),None (+ 0 JPY),,, au KDDI HWD11 [ 5 Days RENTAL ],1,,,,,,,,[5 days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_004,,1,,3250,3250,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1239,3878,10,8,None (+ 0 JPY),None (+ 0 JPY),,, au KDDI HWD11 [ 6 Days RENTAL ],1,,,,,,,,[6 days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_005,,1,,3900,3900,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1240,3879,10,8,None (+ 0 JPY),None (+ 0 JPY),,, au KDDI HWD11 [ 7 Days RENTAL ],1,,,,,,,,[7 days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_006,,1,,4550,4550,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1241,3880,10,8,None (+ 0 JPY),None (+ 0 JPY),,, au KDDI HWD11 [ 8 Days RENTAL ],1,,,,,,,,[8 days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_007,,1,,5200,5200,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1242,3881,10,8,None (+ 0 JPY),None (+ 0 JPY),,, au KDDI HWD11 [ 9 Days RENTAL ],1,,,,,,,,[9 days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_008,,1,,5850,5850,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1243,3882,10,8,None (+ 0 JPY),None (+ 0 JPY),,, au KDDI HWD11 [ 10 Days RENTAL ],1,,,,,,,,[10 days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_009,,1,,6500,6500,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1244,3883,10,8,None (+ 0 JPY),None (+ 0 JPY),,, au KDDI HWD11 [ 11 Days RENTAL ],1,,,,,,,,[11 days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_010,,1,,7150,7150,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1245,3884,10,8,None (+ 0 JPY),None (+ 0 JPY),,, au KDDI HWD11 [ 12 Days RENTAL ],1,,,,,,,,[12 days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_011,,1,,7800,7800,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1246,3885,10,8,None (+ 0 JPY),None (+ 0 JPY),,, au KDDI HWD11 [ 13 Days RENTAL ],1,,,,,,,,[13 days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_012,,1,,8450,8450,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1247,3886,10,8,None (+ 0 JPY),None (+ 0 JPY),,, au KDDI HWD11 [ 14 Days RENTAL ],1,,,,,,,,[14 days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_013,,1,,9100,9100,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1248,3887,10,8,None (+ 0 JPY),None (+ 0 JPY),,, au KDDI HWD11 [ 1 Month ( 15 Days～31 Days ) ],1,,,,,,,,[15 days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_014,,1,,9750,9750,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1265,3904,10,8,None (+ 0 JPY),None (+ 0 JPY),,, au KDDI HWD11 [ 1 Month + 1 Day RENTAL ],1,,,,,,,,[32 days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_031,,1,,10400,10400,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1266,3905,10,8,None (+ 0 JPY),None (+ 0 JPY),,, au KDDI HWD11 [ 1 Month + 2 Days RENTAL ],1,,,,,,,,[33 days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_032,,1,,11050,11050,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1267,3906,10,8,None (+ 0 JPY),None (+ 0 JPY),,, au KDDI HWD11 [ 1 Month + 3 Days RENTAL ],1,,,,,,,,[34 days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_033,,1,,11700,11700,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1268,3907,10,8,None (+ 0 JPY),None (+ 0 JPY),,, au KDDI HWD11 [ 1 Month + 4 Days RENTAL ],1,,,,,,,,[35 days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_034,,1,,12350,12350,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1269,3908,10,8,None (+ 0 JPY),None (+ 0 JPY),,, au KDDI HWD11 [ 1 Month + 5 Days RENTAL ],1,,,,,,,,[36 days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_035,,1,,13000,13000,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1270,3909,10,8,None (+ 0 JPY),None (+ 0 JPY),,, au KDDI HWD11 [ 1 Month + 6 Days RENTAL ],1,,,,,,,,[37 days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_036,,1,,13650,13650,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1271,3910,10,8,None (+ 0 JPY),None (+ 0 JPY),,, au KDDI HWD11 [ 1 Month + 7 Days RENTAL ],1,,,,,,,,[38 days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_037,,1,,14300,14300,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1272,3911,10,8,None (+ 0 JPY),None (+ 0 JPY),,, au KDDI HWD11 [ 1 Month + 8 Days RENTAL ],1,,,,,,,,[39 days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_038,,1,,14950,14950,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1273,3912,10,8,None (+ 0 JPY),None (+ 0 JPY),,, au KDDI HWD11 [ 1 Month + 9 Days RENTAL ],1,,,,,,,,[40 days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_039,,1,,15600,15600,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1274,3913,10,8,None (+ 0 JPY),None (+ 0 JPY),,, au KDDI HWD11 [ 1 Month + 10 Days RENTAL ],1,,,,,,,,[41 days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_040,,1,,16250,16250,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1275,3914,10,8,None (+ 0 JPY),None (+ 0 JPY),,, au KDDI HWD11 [ 1 Month + 11 Days RENTAL ],1,,,,,,,,[42 days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_041,,1,,16900,16900,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1294,3933,10,8,None (+ 0 JPY),None (+ 0 JPY),,, au KDDI HWD11 [ 2 Months RENTAL ],1,,,,,,,,[61 days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_060,,1,,17300,17300,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1295,3934,10,8,None (+ 0 JPY),None (+ 0 JPY),,, au KDDI HWD11 [ 2 Months + 1 Day RENTAL ],1,,,,,,,,[62 days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_061,,1,,17950,17950,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1296,3935,10,8,None (+ 0 JPY),None (+ 0 JPY),,, au KDDI HWD11 [ 2 Months + 2 Days RENTAL ],1,,,,,,,,[63 days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_062,,1,,18600,18600,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1297,3936,10,8,None (+ 0 JPY),None (+ 0 JPY),,, au KDDI HWD11 [ 2 Months + 3 Days RENTAL ],1,,,,,,,,[64 days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_063,,1,,19250,19250,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1298,3937,10,8,None (+ 0 JPY),None (+ 0 JPY),,, au KDDI HWD11 [ 2 Months + 4 Days RENTAL ],1,,,,,,,,[65 days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_064,,1,,19900,19900,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1299,3938,10,8,None (+ 0 JPY),None (+ 0 JPY),,, au KDDI HWD11 [ 2 Months + 5 Days RENTAL ],1,,,,,,,,[66 days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_065,,1,,20550,20550,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1300,3939,10,8,None (+ 0 JPY),None (+ 0 JPY),,, au KDDI HWD11 [ 2 Months + 6 Days RENTAL ],1,,,,,,,,[67 days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_066,,1,,21200,21200,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1301,3940,10,8,None (+ 0 JPY),None (+ 0 JPY),,, au KDDI HWD11 [ 2 Months + 7 Days RENTAL ],1,,,,,,,,[68 days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_067,,1,,21850,21850,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1302,3941,10,8,None (+ 0 JPY),None (+ 0 JPY),,, au KDDI HWD11 [ 2 Months + 8 Days RENTAL ],1,,,,,,,,[69 days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_068,,1,,22500,22500,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1303,3942,10,8,None (+ 0 JPY),None (+ 0 JPY),,, au KDDI HWD11 [ 2 Months + 9 Days RENTAL ],1,,,,,,,,[70 days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_069,,1,,23150,23150,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1304,3943,10,8,None (+ 0 JPY),None (+ 0 JPY),,, au KDDI HWD11 [ 2 Months + 10 Days RENTAL ],1,,,,,,,,[71 days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_070,,1,,23800,23800,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1324,3963,10,8,None (+ 0 JPY),None (+ 0 JPY),,, au KDDI HWD11 [ 3 Months RENTAL ],1,,,,,,,,[91 days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_090,,1,,24200,24200,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1325,3964,10,8,None (+ 0 JPY),None (+ 0 JPY),,, au KDDI HWD11 [ 3 Months + 1 Day RENTAL ],1,,,,,,,,[92 days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_091,,1,,24850,24850,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1326,3965,10,8,None (+ 0 JPY),None (+ 0 JPY),,, au KDDI HWD11 [ 3 Months + 2 Days RENTAL ],1,,,,,,,,[93 days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_092,,1,,25500,25500,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1327,3966,10,8,None (+ 0 JPY),None (+ 0 JPY),,, au KDDI HWD11 [ 3 Months + 3 Days RENTAL ],1,,,,,,,,[94 days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_093,,1,,26150,26150,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1328,3967,10,8,None (+ 0 JPY),None (+ 0 JPY),,, au KDDI HWD11 [ 3 Months + 4 Days RENTAL ],1,,,,,,,,[95 days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_094,,1,,26800,26800,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1329,3968,10,8,None (+ 0 JPY),None (+ 0 JPY),,, au KDDI HWD11 [ 3 Months + 5 Days RENTAL ],1,,,,,,,,[96 days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_095,,1,,27450,27450,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1330,3969,10,8,None (+ 0 JPY),None (+ 0 JPY),,, au KDDI HWD11 [ 3 Months + 6 Days RENTAL ],1,,,,,,,,[97 days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_096,,1,,28100,28100,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1331,3970,10,8,None (+ 0 JPY),None (+ 0 JPY),,, au KDDI HWD11 [ 3 Months + 7 Days RENTAL ],1,,,,,,,,[98 days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_097,,1,,28750,28750,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1332,3971,10,8,None (+ 0 JPY),None (+ 0 JPY),,, au KDDI HWD11 [ 3 Months + 8 Days RENTAL ],1,,,,,,,,[99 days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_098,,1,,29400,29400,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1333,3972,10,8,None (+ 0 JPY),None (+ 0 JPY),,, au KDDI HWD11 [ 3 Months + 9 Days RENTAL ],1,,,,,,,,[100 days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_099,,1,,30050,30050,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1334,3973,10,8,None (+ 0 JPY),None (+ 0 JPY),,, au KDDI HWD11 [ 3 Months + 10 Days RENTAL ],1,,,,,,,,[101 days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_100,,1,,30700,30700,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1335,3974,10,8,None (+ 0 JPY),None (+ 0 JPY),,, au KDDI HWD11 [ 3 Months + 11 Days RENTAL ],1,,,,,,,,[102 days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_101,,1,,31350,31350,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1336,3975,10,8,None (+ 0 JPY),None (+ 0 JPY),,, au KDDI HWD11 [ 3 Months + 12 Days RENTAL ],1,,,,,,,,[103 days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_102,,1,,32000,32000,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1337,3976,10,8,None (+ 0 JPY),None (+ 0 JPY),,, au KDDI HWD11 [ 3 Months + 13 Days RENTAL ],1,,,,,,,,[104 days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_103,,1,,32650,32650,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1338,3977,10,8,None (+ 0 JPY),None (+ 0 JPY),,, au KDDI HWD11 [ 3 Months + 14 Days RENTAL ],1,,,,,,,,[105 days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_104,,1,,33300,33300,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1355,3994,10,8,None (+ 0 JPY),None (+ 0 JPY),,, au KDDI HWD11 [ 3 Months + 1 Month RENTAL ],1,,,,,,,,[122 days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_121,,1,,33950,33950,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1356,3995,10,8,None (+ 0 JPY),None (+ 0 JPY),,, au KDDI HWD11 [ 3 Months + 1 Month + 1 Day RENTAL ],1,,,,,,,,[123 days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_122,,1,,34600,34600,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1357,3996,10,8,None (+ 0 JPY),None (+ 0 JPY),,, au KDDI HWD11 [ 3 Months + 1 Month + 2 Days RENTAL ],1,,,,,,,,[124 days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_123,,1,,35250,35250,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1358,3997,10,8,None (+ 0 JPY),None (+ 0 JPY),,, au KDDI HWD11 [ 3 Months + 1 Month + 3 Days RENTAL ],1,,,,,,,,[125 days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_124,,1,,35900,35900,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1359,3998,10,8,None (+ 0 JPY),None (+ 0 JPY),,, au KDDI HWD11 [ 3 Months + 1 Month + 4 Days RENTAL ],1,,,,,,,,[126 days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_125,,1,,36550,36550,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1360,3999,10,8,None (+ 0 JPY),None (+ 0 JPY),,, au KDDI HWD11 [ 3 Months + 1 Month + 5 Days RENTAL ],1,,,,,,,,[127 days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_au_126,,1,,37200,37200,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
