商品ID,商品規格ID,親規格分類ID,規格分類ID,親規格分類名,規格分類名,メーカーID,メーカー名,商品名,表示ステータス(公開・非公開),メーカーURL(コメント1),コメント2,検索ワード(コメント3),コメント4,コメント5,コメント6,備考欄(SHOP専用),一覧-メインコメント,一覧-メイン画像,詳細-メインコメント,詳細-メイン画像,詳細-メイン拡大画像,詳細-サブタイトル(1),詳細-サブコメント(1),詳細-サブ画像(1),詳細-サブ拡大画像(1),詳細-サブタイトル(2),詳細-サブコメント(2),詳細-サブ画像(2),詳細-サブ拡大画像(2),詳細-サブタイトル(3),詳細-サブコメント(3),詳細-サブ画像(3),詳細-サブ拡大画像(3),詳細-サブタイトル(4),詳細-サブコメント(4),詳細-サブ画像(4),詳細-サブ拡大画像(4),詳細-サブタイトル(5),詳細-サブコメント(5),詳細-サブ画像(5),詳細-サブ拡大画像(5),発送日目安ID,削除フラグ,商品種別ID,商品コード,在庫数,在庫無制限フラグ,販売制限数,通常価格,販売価格,送料,ポイント付与率,ダウンロードファイル名,ダウンロード実ファイル,関連商品ID(1),関連商品コメント(1),関連商品ID(2),関連商品コメント(2),関連商品ID(3),関連商品コメント(3),関連商品ID(4),関連商品コメント(4),関連商品ID(5),関連商品コメント(5),関連商品ID(6),関連商品コメント(6),商品ステータス,商品ステータス名,カテゴリID,カテゴリ名
1639,5413,0,12,,None,,,Extension [ 1 Day RENTAL ] SoftBank 601HW WHITE,1,,,,,,,,[1 day Extension] SoftBank 601HW White,sl_ex.jpg,*,sl_ex.jpg,sl_ex.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sl_ex_000,,1,,550,550,,5,,,,,,,,,,,,,,,,,20,[延長] SoftBank 601HW White 50GB
1640,5414,0,12,,None,,,Extension [ 2 Days RENTAL ] SoftBank 601HW WHITE,1,,,,,,,,[2 days Extension] SoftBank 601HW White,sl_ex.jpg,*,sl_ex.jpg,sl_ex.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sl_ex_001,,1,,1100,1100,,5,,,,,,,,,,,,,,,,,20,[延長] SoftBank 601HW White 50GB
1641,5415,0,12,,None,,,Extension [ 3 Days RENTAL ] SoftBank 601HW WHITE,1,,,,,,,,[3 days Extension] SoftBank 601HW White,sl_ex.jpg,*,sl_ex.jpg,sl_ex.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sl_ex_002,,1,,1650,1650,,5,,,,,,,,,,,,,,,,,20,[延長] SoftBank 601HW White 50GB
1642,5416,0,12,,None,,,Extension [ 4 Days RENTAL ] SoftBank 601HW WHITE,1,,,,,,,,[4 days Extension] SoftBank 601HW White,sl_ex.jpg,*,sl_ex.jpg,sl_ex.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sl_ex_003,,1,,2200,2200,,5,,,,,,,,,,,,,,,,,20,[延長] SoftBank 601HW White 50GB
1643,5417,0,12,,None,,,Extension [ 5 Days RENTAL ] SoftBank 601HW WHITE,1,,,,,,,,[5 days Extension] SoftBank 601HW White,sl_ex.jpg,*,sl_ex.jpg,sl_ex.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sl_ex_004,,1,,2750,2750,,5,,,,,,,,,,,,,,,,,20,[延長] SoftBank 601HW White 50GB
1644,5418,0,12,,None,,,Extension [ 6 Days RENTAL ] SoftBank 601HW WHITE,1,,,,,,,,[6 days Extension] SoftBank 601HW White,sl_ex.jpg,*,sl_ex.jpg,sl_ex.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sl_ex_005,,1,,3300,3300,,5,,,,,,,,,,,,,,,,,20,[延長] SoftBank 601HW White 50GB
1645,5419,0,12,,None,,,Extension [ 7 Days RENTAL ] SoftBank 601HW WHITE,1,,,,,,,,[7 days Extension] SoftBank 601HW White,sl_ex.jpg,*,sl_ex.jpg,sl_ex.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sl_ex_006,,1,,3850,3850,,5,,,,,,,,,,,,,,,,,20,[延長] SoftBank 601HW White 50GB
1646,5420,0,12,,None,,,Extension [ 8 Days RENTAL ] SoftBank 601HW WHITE,1,,,,,,,,[8 days Extension] SoftBank 601HW White,sl_ex.jpg,*,sl_ex.jpg,sl_ex.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sl_ex_007,,1,,4400,4400,,5,,,,,,,,,,,,,,,,,20,[延長] SoftBank 601HW White 50GB
1647,5421,0,12,,None,,,Extension [ 9 Days RENTAL ] SoftBank 601HW WHITE,1,,,,,,,,[9 days Extension] SoftBank 601HW White,sl_ex.jpg,*,sl_ex.jpg,sl_ex.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sl_ex_008,,1,,4950,4950,,5,,,,,,,,,,,,,,,,,20,[延長] SoftBank 601HW White 50GB
1648,5422,0,12,,None,,,Extension [ 10 Days RENTAL ] SoftBank 601HW WHITE,1,,,,,,,,[10 days Extension] SoftBank 601HW White,sl_ex.jpg,*,sl_ex.jpg,sl_ex.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sl_ex_009,,1,,5500,5500,,5,,,,,,,,,,,,,,,,,20,[延長] SoftBank 601HW White 50GB
