商品ID,商品規格ID,親規格分類ID,規格分類ID,親規格分類名,規格分類名,メーカーID,メーカー名,商品名,表示ステータス(公開・非公開),メーカーURL(コメント1),コメント2,検索ワード(コメント3),コメント4,コメント5,コメント6,備考欄(SHOP専用),一覧-メインコメント,一覧-メイン画像,詳細-メインコメント,詳細-メイン画像,詳細-メイン拡大画像,詳細-サブタイトル(1),詳細-サブコメント(1),詳細-サブ画像(1),詳細-サブ拡大画像(1),詳細-サブタイトル(2),詳細-サブコメント(2),詳細-サブ画像(2),詳細-サブ拡大画像(2),詳細-サブタイトル(3),詳細-サブコメント(3),詳細-サブ画像(3),詳細-サブ拡大画像(3),詳細-サブタイトル(4),詳細-サブコメント(4),詳細-サブ画像(4),詳細-サブ拡大画像(4),詳細-サブタイトル(5),詳細-サブコメント(5),詳細-サブ画像(5),詳細-サブ拡大画像(5),発送日目安ID,削除フラグ,商品種別ID,商品コード,在庫数,在庫無制限フラグ,販売制限数,通常価格,販売価格,送料,ポイント付与率,ダウンロードファイル名,ダウンロード実ファイル,関連商品ID(1),関連商品コメント(1),関連商品ID(2),関連商品コメント(2),関連商品ID(3),関連商品コメント(3),関連商品ID(4),関連商品コメント(4),関連商品ID(5),関連商品コメント(5),関連商品ID(6),関連商品コメント(6),商品ステータス,商品ステータス名,カテゴリID,カテゴリ名
383,612,0,12,,None,,,Extension [ 1 Day RENTAL ] SoftBank 303ZT,1,,,,,,,,Extension [ 1 Day RENTAL ] SoftBank 303ZT,sb_ex/ex.jpg,*,sb_ex/ex.jpg,sb_ex/ex.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sb_ex_000,,1,,550,550,,5,,,,,,,,,,,,,,,,,12,【旧】extension_SoftBank 303ZT
384,613,0,12,,None,,,Extension [ 2 Days RENTAL ] SoftBank 303ZT,1,,,,,,,,Extension [ 2 Days RENTAL ] SoftBank 303ZT,sb_ex/ex.jpg,*,sb_ex/ex.jpg,sb_ex/ex.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sb_ex_001,,1,,1100,1100,,5,,,,,,,,,,,,,,,,,12,【旧】extension_SoftBank 303ZT
385,614,0,12,,None,,,Extension [ 3 Days RENTAL ] SoftBank 303ZT,1,,,,,,,,Extension [ 3 Days RENTAL ] SoftBank 303ZT,sb_ex/ex.jpg,*,sb_ex/ex.jpg,sb_ex/ex.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sb_ex_002,,1,,1650,1650,,5,,,,,,,,,,,,,,,,,12,【旧】extension_SoftBank 303ZT
386,615,0,12,,None,,,Extension [ 4 Days RENTAL ] SoftBank 303ZT,1,,,,,,,,Extension [ 4 Days RENTAL ] SoftBank 303ZT,sb_ex/ex.jpg,*,sb_ex/ex.jpg,sb_ex/ex.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sb_ex_003,,1,,2200,2200,,5,,,,,,,,,,,,,,,,,12,【旧】extension_SoftBank 303ZT
387,616,0,12,,None,,,Extension [ 5 Days RENTAL ] SoftBank 303ZT,1,,,,,,,,Extension [ 5 Days RENTAL ] SoftBank 303ZT,sb_ex/ex.jpg,*,sb_ex/ex.jpg,sb_ex/ex.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sb_ex_004,,1,,2750,2750,,5,,,,,,,,,,,,,,,,,12,【旧】extension_SoftBank 303ZT
388,617,0,12,,None,,,Extension [ 6 Days RENTAL ] SoftBank 303ZT,1,,,,,,,,Extension [ 6 Days RENTAL ] SoftBank 303ZT,sb_ex/ex.jpg,*,sb_ex/ex.jpg,sb_ex/ex.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sb_ex_005,,1,,3300,3300,,5,,,,,,,,,,,,,,,,,12,【旧】extension_SoftBank 303ZT
389,618,0,12,,None,,,Extension [ 7 Days RENTAL ] SoftBank 303ZT,1,,,,,,,,Extension [ 7 Days RENTAL ] SoftBank 303ZT,sb_ex/ex.jpg,*,sb_ex/ex.jpg,sb_ex/ex.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sb_ex_006,,1,,3850,3850,,5,,,,,,,,,,,,,,,,,12,【旧】extension_SoftBank 303ZT
390,619,0,12,,None,,,Extension [ 8 Days RENTAL ] SoftBank 303ZT,1,,,,,,,,Extension [ 8 Days RENTAL ] SoftBank 303ZT,sb_ex/ex.jpg,*,sb_ex/ex.jpg,sb_ex/ex.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sb_ex_007,,1,,4400,4400,,5,,,,,,,,,,,,,,,,,12,【旧】extension_SoftBank 303ZT
391,620,0,12,,None,,,Extension [ 9 Days RENTAL ] SoftBank 303ZT,1,,,,,,,,Extension [ 9 Days RENTAL ] SoftBank 303ZT,sb_ex/ex.jpg,*,sb_ex/ex.jpg,sb_ex/ex.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sb_ex_008,,1,,4950,4950,,5,,,,,,,,,,,,,,,,,12,【旧】extension_SoftBank 303ZT
392,621,0,12,,None,,,Extension [ 10 Days RENTAL ] SoftBank 303ZT,1,,,,,,,,Extension [ 10 Days RENTAL ] SoftBank 303ZT,sb_ex/ex.jpg,*,sb_ex/ex.jpg,sb_ex/ex.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sb_ex_009,,1,,5500,5500,,5,,,,,,,,,,,,,,,,,12,【旧】extension_SoftBank 303ZT
