商品ID,商品規格ID,親規格分類ID,規格分類ID,親規格分類名,規格分類名,メーカーID,メーカー名,商品名,表示ステータス(公開・非公開),メーカーURL(コメント1),コメント2,検索ワード(コメント3),コメント4,コメント5,コメント6,備考欄(SHOP専用),一覧-メインコメント,一覧-メイン画像,詳細-メインコメント,詳細-メイン画像,詳細-メイン拡大画像,詳細-サブタイトル(1),詳細-サブコメント(1),詳細-サブ画像(1),詳細-サブ拡大画像(1),詳細-サブタイトル(2),詳細-サブコメント(2),詳細-サブ画像(2),詳細-サブ拡大画像(2),詳細-サブタイトル(3),詳細-サブコメント(3),詳細-サブ画像(3),詳細-サブ拡大画像(3),詳細-サブタイトル(4),詳細-サブコメント(4),詳細-サブ画像(4),詳細-サブ拡大画像(4),詳細-サブタイトル(5),詳細-サブコメント(5),詳細-サブ画像(5),詳細-サブ拡大画像(5),発送日目安ID,削除フラグ,商品種別ID,商品コード,在庫数,在庫無制限フラグ,販売制限数,通常価格,販売価格,送料,ポイント付与率,ダウンロードファイル名,ダウンロード実ファイル,関連商品ID(1),関連商品コメント(1),関連商品ID(2),関連商品コメント(2),関連商品ID(3),関連商品コメント(3),関連商品ID(4),関連商品コメント(4),関連商品ID(5),関連商品コメント(5),関連商品ID(6),関連商品コメント(6),商品ステータス,商品ステータス名,カテゴリID,カテゴリ名
3137,22038,377,749,Insurance [NONE] / Additional Battery [NONE],2Days,1,カート用通常フラグ,テスト 物理SIM,2,,,,,,,,*,fs/img001.jpg,*,fs/img001.jpg,,,,,,,,,,,,,,,,,,,,,,,0,1,en_sim_001,,1,,780,780,,5,,,,,,,,,,,,,,,,,35,eSIM
3137,22042,377,750,Insurance [NONE] / Additional Battery [NONE],3Days,1,カート用通常フラグ,テスト 物理SIM,2,,,,,,,,*,fs/img001.jpg,*,fs/img001.jpg,,,,,,,,,,,,,,,,,,,,,,,0,1,en_sim_002,,1,,1170,1170,,5,,,,,,,,,,,,,,,,,35,eSIM
3137,22046,377,751,Insurance [NONE] / Additional Battery [NONE],4Days,1,カート用通常フラグ,テスト 物理SIM,2,,,,,,,,*,fs/img001.jpg,*,fs/img001.jpg,,,,,,,,,,,,,,,,,,,,,,,0,1,en_sim_003,,1,,1560,1560,,5,,,,,,,,,,,,,,,,,35,eSIM
3137,22050,377,752,Insurance [NONE] / Additional Battery [NONE],5Days,1,カート用通常フラグ,テスト 物理SIM,2,,,,,,,,*,fs/img001.jpg,*,fs/img001.jpg,,,,,,,,,,,,,,,,,,,,,,,0,1,en_sim_004,,1,,1950,1950,,5,,,,,,,,,,,,,,,,,35,eSIM
3137,22054,377,753,Insurance [NONE] / Additional Battery [NONE],6Days,1,カート用通常フラグ,テスト 物理SIM,2,,,,,,,,*,fs/img001.jpg,*,fs/img001.jpg,,,,,,,,,,,,,,,,,,,,,,,0,1,en_sim_005,,1,,2340,2340,,5,,,,,,,,,,,,,,,,,35,eSIM
3137,22058,377,754,Insurance [NONE] / Additional Battery [NONE],7Days,1,カート用通常フラグ,テスト 物理SIM,2,,,,,,,,*,fs/img001.jpg,*,fs/img001.jpg,,,,,,,,,,,,,,,,,,,,,,,0,1,en_sim_006,,1,,2730,2730,,5,,,,,,,,,,,,,,,,,35,eSIM
3137,22062,377,755,Insurance [NONE] / Additional Battery [NONE],8Days,1,カート用通常フラグ,テスト 物理SIM,2,,,,,,,,*,fs/img001.jpg,*,fs/img001.jpg,,,,,,,,,,,,,,,,,,,,,,,0,1,en_sim_007,,1,,3120,3120,,5,,,,,,,,,,,,,,,,,35,eSIM
3137,22066,377,756,Insurance [NONE] / Additional Battery [NONE],9Days,1,カート用通常フラグ,テスト 物理SIM,2,,,,,,,,*,fs/img001.jpg,*,fs/img001.jpg,,,,,,,,,,,,,,,,,,,,,,,0,1,en_sim_008,,1,,3510,3510,,5,,,,,,,,,,,,,,,,,35,eSIM
3137,22070,377,757,Insurance [NONE] / Additional Battery [NONE],10Days,1,カート用通常フラグ,テスト 物理SIM,2,,,,,,,,*,fs/img001.jpg,*,fs/img001.jpg,,,,,,,,,,,,,,,,,,,,,,,0,1,en_sim_009,,1,,3900,3900,,5,,,,,,,,,,,,,,,,,35,eSIM
3137,22074,377,758,Insurance [NONE] / Additional Battery [NONE],11Days,1,カート用通常フラグ,テスト 物理SIM,2,,,,,,,,*,fs/img001.jpg,*,fs/img001.jpg,,,,,,,,,,,,,,,,,,,,,,,0,1,en_sim_010,,1,,4290,4290,,5,,,,,,,,,,,,,,,,,35,eSIM
