商品ID,商品規格ID,親規格分類ID,規格分類ID,親規格分類名,規格分類名,メーカーID,メーカー名,商品名,表示ステータス(公開・非公開),メーカーURL(コメント1),コメント2,検索ワード(コメント3),コメント4,コメント5,コメント6,備考欄(SHOP専用),一覧-メインコメント,一覧-メイン画像,詳細-メインコメント,詳細-メイン画像,詳細-メイン拡大画像,詳細-サブタイトル(1),詳細-サブコメント(1),詳細-サブ画像(1),詳細-サブ拡大画像(1),詳細-サブタイトル(2),詳細-サブコメント(2),詳細-サブ画像(2),詳細-サブ拡大画像(2),詳細-サブタイトル(3),詳細-サブコメント(3),詳細-サブ画像(3),詳細-サブ拡大画像(3),詳細-サブタイトル(4),詳細-サブコメント(4),詳細-サブ画像(4),詳細-サブ拡大画像(4),詳細-サブタイトル(5),詳細-サブコメント(5),詳細-サブ画像(5),詳細-サブ拡大画像(5),発送日目安ID,削除フラグ,商品種別ID,商品コード,在庫数,在庫無制限フラグ,販売制限数,通常価格,販売価格,送料,ポイント付与率,ダウンロードファイル名,ダウンロード実ファイル,関連商品ID(1),関連商品コメント(1),関連商品ID(2),関連商品コメント(2),関連商品ID(3),関連商品コメント(3),関連商品ID(4),関連商品コメント(4),関連商品ID(5),関連商品コメント(5),関連商品ID(6),関連商品コメント(6),商品ステータス,商品ステータス名,カテゴリID,カテゴリ名
3139,23492,0,0,,,3,カート用eSIMフラグ,Japan Data eSIM Unlimited / 1 Day,1,,,,,,,,a,,a,,,,,,,,,,,,,,,,,,,,,,,,0,1,A-006-ES-AU-D-I2-1D/60D-U,5,0,,,600,,5,,,,,,,,,,,,,,,,,35,eSIM
3140,23493,0,0,,,3,カート用eSIMフラグ,Japan Data eSIM Unlimited / 2 Days,1,,,,,,,,a,,a,,,,,,,,,,,,,,,,,,,,,,,,0,1,A-006-ES-AU-D-I2-2D/60D-U,5,0,,,1390,,5,,,,,,,,,,,,,,,,,35,eSIM
3141,23494,0,0,,,3,カート用eSIMフラグ,Japan Data eSIM Unlimited / 3 Days,1,,,,,,,,a,,a,,,,,,,,,,,,,,,,,,,,,,,,0,1,A-006-ES-AU-D-I2-3D/60D-U,5,0,,,1790,,5,,,,,,,,,,,,,,,,,35,eSIM
3142,23495,0,0,,,3,カート用eSIMフラグ,Japan Data eSIM Unlimited / 4 Days,1,,,,,,,,a,,a,,,,,,,,,,,,,,,,,,,,,,,,0,1,A-006-ES-AU-D-I2-4D/60D-U,5,0,,,2190,,5,,,,,,,,,,,,,,,,,35,eSIM
3143,23496,0,0,,,3,カート用eSIMフラグ,Japan Data eSIM Unlimited / 5 Days,1,,,,,,,,a,,a,,,,,,,,,,,,,,,,,,,,,,,,0,1,A-006-ES-AU-D-I2-5D/60D-U,5,0,,,2590,,5,,,,,,,,,,,,,,,,,35,eSIM
3144,23497,0,0,,,3,カート用eSIMフラグ,Japan Data eSIM Unlimited / 6 Days,1,,,,,,,,a,,a,,,,,,,,,,,,,,,,,,,,,,,,0,1,A-006-ES-AU-D-I2-6D/60D-U,5,0,,,2990,,5,,,,,,,,,,,,,,,,,35,eSIM
3145,23498,0,0,,,3,カート用eSIMフラグ,Japan Data eSIM Unlimited / 7 Days,1,,,,,,,,a,,a,,,,,,,,,,,,,,,,,,,,,,,,0,1,A-006-ES-AU-D-I2-7D/60D-U,5,0,,,3390,,5,,,,,,,,,,,,,,,,,35,eSIM
3146,23499,0,0,,,3,カート用eSIMフラグ,Japan Data eSIM Unlimited / 8 Days,1,,,,,,,,a,,a,,,,,,,,,,,,,,,,,,,,,,,,0,1,A-006-ES-AU-D-I2-8D/60D-U,5,0,,,3790,,5,,,,,,,,,,,,,,,,,35,eSIM
3147,23500,0,0,,,3,カート用eSIMフラグ,Japan Data eSIM Unlimited / 9 Days,1,,,,,,,,a,,a,,,,,,,,,,,,,,,,,,,,,,,,0,1,A-006-ES-AU-D-I2-9D/60D-U,5,0,,,4190,,5,,,,,,,,,,,,,,,,,35,eSIM
3148,23501,0,0,,,3,カート用eSIMフラグ,Japan Data eSIM Unlimited / 10 Days,1,,,,,,,,a,,a,,,,,,,,,,,,,,,,,,,,,,,,0,1,A-006-ES-AU-D-I2-10D/60D-U,5,0,,,4590,,5,,,,,,,,,,,,,,,,,35,eSIM
3149,23502,0,0,,,3,カート用eSIMフラグ,Japan Data eSIM Unlimited / 11 Days,1,,,,,,,,a,,a,,,,,,,,,,,,,,,,,,,,,,,,0,1,A-006-ES-AU-D-I2-11D/60D-U,5,0,,,4990,,5,,,,,,,,,,,,,,,,,35,eSIM
3150,23503,0,0,,,3,カート用eSIMフラグ,Japan Data eSIM Unlimited / 12 Days,1,,,,,,,,a,,a,,,,,,,,,,,,,,,,,,,,,,,,0,1,A-006-ES-AU-D-I2-12D/60D-U,5,0,,,5390,,5,,,,,,,,,,,,,,,,,35,eSIM
3151,23504,0,0,,,3,カート用eSIMフラグ,Japan Data eSIM Unlimited / 13 Days,1,,,,,,,,a,,a,,,,,,,,,,,,,,,,,,,,,,,,0,1,A-006-ES-AU-D-I2-13D/60D-U,5,0,,,5790,,5,,,,,,,,,,,,,,,,,35,eSIM
3152,23505,0,0,,,3,カート用eSIMフラグ,Japan Data eSIM Unlimited / 14 Days,1,,,,,,,,a,,a,,,,,,,,,,,,,,,,,,,,,,,,0,1,A-006-ES-AU-D-I2-14D/60D-U,5,0,,,6190,,5,,,,,,,,,,,,,,,,,35,eSIM
3153,23506,0,0,,,3,カート用eSIMフラグ,Japan Data eSIM Unlimited / 15 Days,1,,,,,,,,a,,a,,,,,,,,,,,,,,,,,,,,,,,,0,1,A-006-ES-AU-D-I2-15D/60D-U,5,0,,,6590,,5,,,,,,,,,,,,,,,,,35,eSIM
3154,23507,0,0,,,3,カート用eSIMフラグ,Japan Data eSIM Unlimited / 16 Days,1,,,,,,,,a,,a,,,,,,,,,,,,,,,,,,,,,,,,0,1,A-006-ES-AU-D-I2-16D/60D-U,5,0,,,6790,,5,,,,,,,,,,,,,,,,,35,eSIM
3155,23508,0,0,,,3,カート用eSIMフラグ,Japan Data eSIM Unlimited / 17 Days,1,,,,,,,,a,,a,,,,,,,,,,,,,,,,,,,,,,,,0,1,A-006-ES-AU-D-I2-17D/60D-U,5,0,,,6990,,5,,,,,,,,,,,,,,,,,35,eSIM
3156,23509,0,0,,,3,カート用eSIMフラグ,Japan Data eSIM Unlimited / 18 Days,1,,,,,,,,a,,a,,,,,,,,,,,,,,,,,,,,,,,,0,1,A-006-ES-AU-D-I2-18D/60D-U,5,0,,,7190,,5,,,,,,,,,,,,,,,,,35,eSIM
3157,23510,0,0,,,3,カート用eSIMフラグ,Japan Data eSIM Unlimited / 19 Days,1,,,,,,,,a,,a,,,,,,,,,,,,,,,,,,,,,,,,0,1,A-006-ES-AU-D-I2-19D/60D-U,5,0,,,7390,,5,,,,,,,,,,,,,,,,,35,eSIM
3158,23511,0,0,,,3,カート用eSIMフラグ,Japan Data eSIM Unlimited / 20 Days,1,,,,,,,,a,,a,,,,,,,,,,,,,,,,,,,,,,,,0,1,A-006-ES-AU-D-I2-20D/60D-U,5,0,,,7590,,5,,,,,,,,,,,,,,,,,35,eSIM
3159,23512,0,0,,,3,カート用eSIMフラグ,Japan Data eSIM Unlimited / 25 Days,1,,,,,,,,a,,a,,,,,,,,,,,,,,,,,,,,,,,,0,1,A-006-ES-AU-D-I2-25D/60D-U,5,0,,,8790,,5,,,,,,,,,,,,,,,,,35,eSIM
3160,23513,0,0,,,3,カート用eSIMフラグ,Japan Data eSIM Unlimited / 30 Days,1,,,,,,,,a,,a,,,,,,,,,,,,,,,,,,,,,,,,0,1,A-006-ES-AU-D-I2-30D/60D-U,5,0,,,9990,,5,,,,,,,,,,,,,,,,,35,eSIM
