商品ID,商品規格ID,親規格分類ID,規格分類ID,親規格分類名,規格分類名,メーカーID,メーカー名,商品名,表示ステータス(公開・非公開),メーカーURL(コメント1),コメント2,検索ワード(コメント3),コメント4,コメント5,コメント6,備考欄(SHOP専用),一覧-メインコメント,一覧-メイン画像,詳細-メインコメント,詳細-メイン画像,詳細-メイン拡大画像,詳細-サブタイトル(1),詳細-サブコメント(1),詳細-サブ画像(1),詳細-サブ拡大画像(1),詳細-サブタイトル(2),詳細-サブコメント(2),詳細-サブ画像(2),詳細-サブ拡大画像(2),詳細-サブタイトル(3),詳細-サブコメント(3),詳細-サブ画像(3),詳細-サブ拡大画像(3),詳細-サブタイトル(4),詳細-サブコメント(4),詳細-サブ画像(4),詳細-サブ拡大画像(4),詳細-サブタイトル(5),詳細-サブコメント(5),詳細-サブ画像(5),詳細-サブ拡大画像(5),発送日目安ID,削除フラグ,商品種別ID,商品コード,在庫数,在庫無制限フラグ,販売制限数,通常価格,販売価格,送料,ポイント付与率,ダウンロードファイル名,ダウンロード実ファイル,関連商品ID(1),関連商品コメント(1),関連商品ID(2),関連商品コメント(2),関連商品ID(3),関連商品コメント(3),関連商品ID(4),関連商品コメント(4),関連商品ID(5),関連商品コメント(5),関連商品ID(6),関連商品コメント(6),商品ステータス,商品ステータス名,カテゴリID,カテゴリ名
3161,23515,3666,1477,None (+ 0 JPY),1-2Days,1,カート用通常フラグ,new WiMAX HOME 5G L13 Unlimited Data,1,,,,,,,,*,wh/img001.jpg,*,wh/img001.jpg,,,,,,,,,,,,,,,,,,,,,,,0,1,en_wh_001,,1,,1180,1180,,5,,,,,,,,,,,,,,,,,"21,36,39","NEW rental,WiMAX HOME 5G L13,バッテリーなし"
3161,23516,3666,1478,None (+ 0 JPY),2-3Days,1,カート用通常フラグ,new WiMAX HOME 5G L13 Unlimited Data,1,,,,,,,,*,wh/img001.jpg,*,wh/img001.jpg,,,,,,,,,,,,,,,,,,,,,,,0,1,en_wh_002,,1,,1770,1770,,5,,,,,,,,,,,,,,,,,"21,36,39","NEW rental,WiMAX HOME 5G L13,バッテリーなし"
3161,23517,3666,1479,None (+ 0 JPY),3-4Days,1,カート用通常フラグ,new WiMAX HOME 5G L13 Unlimited Data,1,,,,,,,,*,wh/img001.jpg,*,wh/img001.jpg,,,,,,,,,,,,,,,,,,,,,,,0,1,en_wh_003,,1,,2360,2360,,5,,,,,,,,,,,,,,,,,"21,36,39","NEW rental,WiMAX HOME 5G L13,バッテリーなし"
3161,23518,3666,1480,None (+ 0 JPY),4-5Days,1,カート用通常フラグ,new WiMAX HOME 5G L13 Unlimited Data,1,,,,,,,,*,wh/img001.jpg,*,wh/img001.jpg,,,,,,,,,,,,,,,,,,,,,,,0,1,en_wh_004,,1,,2950,2950,,5,,,,,,,,,,,,,,,,,"21,36,39","NEW rental,WiMAX HOME 5G L13,バッテリーなし"
3161,23519,3666,1481,None (+ 0 JPY),5-6Days,1,カート用通常フラグ,new WiMAX HOME 5G L13 Unlimited Data,1,,,,,,,,*,wh/img001.jpg,*,wh/img001.jpg,,,,,,,,,,,,,,,,,,,,,,,0,1,en_wh_005,,1,,3540,3540,,5,,,,,,,,,,,,,,,,,"21,36,39","NEW rental,WiMAX HOME 5G L13,バッテリーなし"
3161,23520,3666,1482,None (+ 0 JPY),6-7Days,1,カート用通常フラグ,new WiMAX HOME 5G L13 Unlimited Data,1,,,,,,,,*,wh/img001.jpg,*,wh/img001.jpg,,,,,,,,,,,,,,,,,,,,,,,0,1,en_wh_006,,1,,4130,4130,,5,,,,,,,,,,,,,,,,,"21,36,39","NEW rental,WiMAX HOME 5G L13,バッテリーなし"
3161,23521,3666,1483,None (+ 0 JPY),7-8Days,1,カート用通常フラグ,new WiMAX HOME 5G L13 Unlimited Data,1,,,,,,,,*,wh/img001.jpg,*,wh/img001.jpg,,,,,,,,,,,,,,,,,,,,,,,0,1,en_wh_007,,1,,4720,4720,,5,,,,,,,,,,,,,,,,,"21,36,39","NEW rental,WiMAX HOME 5G L13,バッテリーなし"
3161,23522,3666,1484,None (+ 0 JPY),8-9Days,1,カート用通常フラグ,new WiMAX HOME 5G L13 Unlimited Data,1,,,,,,,,*,wh/img001.jpg,*,wh/img001.jpg,,,,,,,,,,,,,,,,,,,,,,,0,1,en_wh_008,,1,,5310,5310,,5,,,,,,,,,,,,,,,,,"21,36,39","NEW rental,WiMAX HOME 5G L13,バッテリーなし"
3161,23523,3666,1485,None (+ 0 JPY),9-10Days,1,カート用通常フラグ,new WiMAX HOME 5G L13 Unlimited Data,1,,,,,,,,*,wh/img001.jpg,*,wh/img001.jpg,,,,,,,,,,,,,,,,,,,,,,,0,1,en_wh_009,,1,,5900,5900,,5,,,,,,,,,,,,,,,,,"21,36,39","NEW rental,WiMAX HOME 5G L13,バッテリーなし"
3161,23524,3666,1486,None (+ 0 JPY),10-11Days,1,カート用通常フラグ,new WiMAX HOME 5G L13 Unlimited Data,1,,,,,,,,*,wh/img001.jpg,*,wh/img001.jpg,,,,,,,,,,,,,,,,,,,,,,,0,1,en_wh_010,,1,,6490,6490,,5,,,,,,,,,,,,,,,,,"21,36,39","NEW rental,WiMAX HOME 5G L13,バッテリーなし"
