商品ID,商品規格ID,親規格分類ID,規格分類ID,親規格分類名,規格分類名,メーカーID,メーカー名,商品名,表示ステータス(公開・非公開),メーカーURL(コメント1),コメント2,検索ワード(コメント3),コメント4,コメント5,コメント6,備考欄(SHOP専用),一覧-メインコメント,一覧-メイン画像,詳細-メインコメント,詳細-メイン画像,詳細-メイン拡大画像,詳細-サブタイトル(1),詳細-サブコメント(1),詳細-サブ画像(1),詳細-サブ拡大画像(1),詳細-サブタイトル(2),詳細-サブコメント(2),詳細-サブ画像(2),詳細-サブ拡大画像(2),詳細-サブタイトル(3),詳細-サブコメント(3),詳細-サブ画像(3),詳細-サブ拡大画像(3),詳細-サブタイトル(4),詳細-サブコメント(4),詳細-サブ画像(4),詳細-サブ拡大画像(4),詳細-サブタイトル(5),詳細-サブコメント(5),詳細-サブ画像(5),詳細-サブ拡大画像(5),発送日目安ID,削除フラグ,商品種別ID,商品コード,在庫数,在庫無制限フラグ,販売制限数,通常価格,販売価格,送料,ポイント付与率,ダウンロードファイル名,ダウンロード実ファイル,関連商品ID(1),関連商品コメント(1),関連商品ID(2),関連商品コメント(2),関連商品ID(3),関連商品コメント(3),関連商品ID(4),関連商品コメント(4),関連商品ID(5),関連商品コメント(5),関連商品ID(6),関連商品コメント(6),商品ステータス,商品ステータス名,カテゴリID,カテゴリ名
29,37,0,0,,,,,【10days/9nights RENTAL】WiMAX Aterm3800R,1,,,,,,,,【10days/9nights RENTAL】WiMAX Wi-Fi Aterm WM3800R,06051518_53900ba7c8af2.jpg,,06051518_53900ba7b045a.jpg,06051518_53900ba7a028d.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,wm_9_10,,1,,,4500,,5,,,,,,,,,,,,,,,,,1,WiMAX
27,35,0,0,,,,,【8days/7nights RENTAL】WiMAX Aterm3800R,1,,,,,,,,【8days/7nights RENTAL】WiMAX Wi-Fi Aterm WM3800R,06051516_53900b2d9276e.jpg,,06051516_53900b2d7acb7.jpg,06051516_53900b2d6b686.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,wm_7_8,,1,,,3600,,5,,,,,,,,,,,,,,,,,1,WiMAX
26,34,0,0,,,,,【7days/6nights RENTAL】WiMAX Aterm3800R,1,,,,,,,,【7days/6nights RENTAL】WiMAX Wi-Fi Aterm WM3800R,06051515_53900affa1443.jpg,,06051515_53900aff88daa.jpg,06051515_53900aff793af.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,wm_6_7,,1,,,3150,,5,,,,,,,,,,,,,,,,,1,WiMAX
25,33,0,0,,,,,【6days/5nights RENTAL】WiMAX Aterm3800R,1,,,,,,,,【6days/5nights RENTAL】WiMAX Wi-Fi Aterm WM3800R,06051514_53900acd1d595.jpg,,06051514_53900acd05c47.jpg,06051514_53900acce9cfd.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,wm_5_6,,1,,,2700,,5,,,,,,,,,,,,,,,,,1,WiMAX
24,32,0,0,,,,,【5days/4nights RENTAL】WiMAX Aterm3800R,1,,,,,,,,【5days/4nights RENTAL】WiMAX Wi-Fi Aterm WM3800R,06051513_53900a9937a1e.jpg,,06051513_53900a9920af1.jpg,06051513_53900a99110f5.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,wm_4_5,,1,,,2250,,5,,,,,,,,,,,,,,,,,1,WiMAX
23,31,0,0,,,,,【4days/3nights RENTAL】WiMAX Aterm3800R,1,,,,,,,,【4days/3nights RENTAL】WiMAX Wi-Fi Aterm WM3800R,06051512_53900a426f56f.jpg,,06051512_53900a4258585.jpg,06051512_53900a42483a7.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,wm_3_4,,1,,,1800,,5,,,,,,,,,,,,,,,,,1,WiMAX
22,30,0,0,,,,,【3days/2nights RENTAL】WiMAX Aterm3800R,1,,,,,,,,【3days/2nights RENTAL】WiMAX Wi-Fi Aterm WM3800R,06051511_53900a1148f3f.jpg,,06051511_53900a1132010.jpg,06051511_53900a1121e47.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,wm_2_3,,1,,,1350,,5,,,,,,,,,,,,,,,,,1,WiMAX
14,22,0,0,,,,,【11days/10nights RENTAL】EMOBILE GL06P,1,,,,,,,,【11days/10nights RENTAL】EMOBILE Pocket Wi-Fi LTE GL06P,06051456_539006973f588.jpg,,06051456_539006972865d.jpg,06051456_5390069718cb8.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,em_10_11,,1,,,4950,,5,,,,,,,,,,,,,,,,,2,EMOBILE
28,36,0,0,,,,,【9days/8nights RENTAL】WiMAX Aterm3800R,1,,,,,,,,【9days/8nights RENTAL】WiMAX Wi-Fi Aterm WM3800R,06051517_53900b6d3a8b2.jpg,,06051517_53900b6d235a4.jpg,06051517_53900b6d133d5.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,wm_8_9,,1,,,4050,,5,,,,,,,,,,,,,,,,,1,WiMAX
5,13,0,0,,,,,【2days/1night RENTAL】EMOBILE  GL06P,1,,,,,,,,【2days/1night RENTAL】EMOBILE Pocket Wi-Fi LTE GL06P,06051254_538fea0d335df.jpg,,06051254_538fea0d1c6e0.jpg,06051254_538fea0d04437.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,em_1_2,,1,,,900,,5,,,,,,,,,,,,,,,,,2,EMOBILE
