商品ID,商品規格ID,親規格分類ID,規格分類ID,親規格分類名,規格分類名,メーカーID,メーカー名,商品名,表示ステータス(公開・非公開),メーカーURL(コメント1),コメント2,検索ワード(コメント3),コメント4,コメント5,コメント6,備考欄(SHOP専用),一覧-メインコメント,一覧-メイン画像,詳細-メインコメント,詳細-メイン画像,詳細-メイン拡大画像,詳細-サブタイトル(1),詳細-サブコメント(1),詳細-サブ画像(1),詳細-サブ拡大画像(1),詳細-サブタイトル(2),詳細-サブコメント(2),詳細-サブ画像(2),詳細-サブ拡大画像(2),詳細-サブタイトル(3),詳細-サブコメント(3),詳細-サブ画像(3),詳細-サブ拡大画像(3),詳細-サブタイトル(4),詳細-サブコメント(4),詳細-サブ画像(4),詳細-サブ拡大画像(4),詳細-サブタイトル(5),詳細-サブコメント(5),詳細-サブ画像(5),詳細-サブ拡大画像(5),発送日目安ID,削除フラグ,商品種別ID,商品コード,在庫数,在庫無制限フラグ,販売制限数,通常価格,販売価格,送料,ポイント付与率,ダウンロードファイル名,ダウンロード実ファイル,関連商品ID(1),関連商品コメント(1),関連商品ID(2),関連商品コメント(2),関連商品ID(3),関連商品コメント(3),関連商品ID(4),関連商品コメント(4),関連商品ID(5),関連商品コメント(5),関連商品ID(6),関連商品コメント(6),商品ステータス,商品ステータス名,カテゴリID,カテゴリ名
456,,0,11,,Yes,,,[1 Day Extension] SoftBank 601HW,1,,,,,,,,【1day extension of rental】SoftBank 601HW,601hw_ex.jpg,*,601hw_ex.jpg,601hw_ex.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sk_ex_000_bt,,1,,450,500,,5,,,,,,,,,,,,,,,,,15,extension_SoftBank 601HW
456,,0,12,,None,,,[1 Day Extension] SoftBank 601HW,1,,,,,,,,【1day extension of rental】SoftBank 601HW,601hw_ex.jpg,*,601hw_ex.jpg,601hw_ex.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sk_ex_000,,1,,450,450,,5,,,,,,,,,,,,,,,,,15,extension_SoftBank 601HW
457,,0,11,,Yes,,,[2 Days Extension] SoftBank 601HW,1,,,,,,,,【2days/1nights extension of rental】SoftBank 601HW,601hw_ex.jpg,*,601hw_ex.jpg,601hw_ex.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sk_ex_001_bt,,1,,900,1000,,5,,,,,,,,,,,,,,,,,15,extension_SoftBank 601HW
457,,0,12,,None,,,[2 Days Extension] SoftBank 601HW,1,,,,,,,,【2days/1nights extension of rental】SoftBank 601HW,601hw_ex.jpg,*,601hw_ex.jpg,601hw_ex.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sk_ex_001,,1,,900,900,,5,,,,,,,,,,,,,,,,,15,extension_SoftBank 601HW
458,,0,11,,Yes,,,[3 Days Extension] SoftBank 601HW,1,,,,,,,,【3days/2nights extension of rental】SoftBank 601HW,601hw_ex.jpg,*,601hw_ex.jpg,601hw_ex.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sk_ex_002_bt,,1,,1350,1500,,5,,,,,,,,,,,,,,,,,15,extension_SoftBank 601HW
458,,0,12,,None,,,[3 Days Extension] SoftBank 601HW,1,,,,,,,,【3days/2nights extension of rental】SoftBank 601HW,601hw_ex.jpg,*,601hw_ex.jpg,601hw_ex.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sk_ex_002,,1,,1350,1350,,5,,,,,,,,,,,,,,,,,15,extension_SoftBank 601HW
459,,0,11,,Yes,,,[4 Days Extension] SoftBank 601HW,1,,,,,,,,【4days/3nights extension of rental】SoftBank 601HW,601hw_ex.jpg,*,601hw_ex.jpg,601hw_ex.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sk_ex_003_bt,,1,,1800,2000,,5,,,,,,,,,,,,,,,,,15,extension_SoftBank 601HW
459,,0,12,,None,,,[4 Days Extension] SoftBank 601HW,1,,,,,,,,【4days/3nights extension of rental】SoftBank 601HW,601hw_ex.jpg,*,601hw_ex.jpg,601hw_ex.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sk_ex_003,,1,,1800,1800,,5,,,,,,,,,,,,,,,,,15,extension_SoftBank 601HW
460,,0,11,,Yes,,,[5 Days Extension] SoftBank 601HW,1,,,,,,,,【5days/4nights extension of rental】SoftBank 601HW,601hw_ex.jpg,*,601hw_ex.jpg,601hw_ex.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sk_ex_004_bt,,1,,2250,2500,,5,,,,,,,,,,,,,,,,,15,extension_SoftBank 601HW
460,,0,12,,None,,,[5 Days Extension] SoftBank 601HW,1,,,,,,,,【5days/4nights extension of rental】SoftBank 601HW,601hw_ex.jpg,*,601hw_ex.jpg,601hw_ex.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sk_ex_004,,1,,2250,2250,,5,,,,,,,,,,,,,,,,,15,extension_SoftBank 601HW
