商品ID,商品規格ID,親規格分類ID,規格分類ID,親規格分類名,規格分類名,メーカーID,メーカー名,商品名,表示ステータス(公開・非公開),メーカーURL(コメント1),コメント2,検索ワード(コメント3),コメント4,コメント5,コメント6,備考欄(SHOP専用),一覧-メインコメント,一覧-メイン画像,詳細-メインコメント,詳細-メイン画像,詳細-メイン拡大画像,詳細-サブタイトル(1),詳細-サブコメント(1),詳細-サブ画像(1),詳細-サブ拡大画像(1),詳細-サブタイトル(2),詳細-サブコメント(2),詳細-サブ画像(2),詳細-サブ拡大画像(2),詳細-サブタイトル(3),詳細-サブコメント(3),詳細-サブ画像(3),詳細-サブ拡大画像(3),詳細-サブタイトル(4),詳細-サブコメント(4),詳細-サブ画像(4),詳細-サブ拡大画像(4),詳細-サブタイトル(5),詳細-サブコメント(5),詳細-サブ画像(5),詳細-サブ拡大画像(5),発送日目安ID,削除フラグ,商品種別ID,商品コード,在庫数,在庫無制限フラグ,販売制限数,通常価格,販売価格,送料,ポイント付与率,ダウンロードファイル名,ダウンロード実ファイル,関連商品ID(1),関連商品コメント(1),関連商品ID(2),関連商品コメント(2),関連商品ID(3),関連商品コメント(3),関連商品ID(4),関連商品コメント(4),関連商品ID(5),関連商品コメント(5),関連商品ID(6),関連商品コメント(6),商品ステータス,商品ステータス名,カテゴリID,カテゴリ名
5,13,0,0,,,,,【2天1夜 租期】Ymobile  GL06P,1,,,,,,,,【2天1夜 租期】Ymobile  GL06P,03191247_550a46d9a9791.jpg,*,03191247_550a46d9a6d5b.jpg,03191247_550a46d99512b.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,8049,,1,,,900,,5,,,,,,,,,,,,,,,,,2,EMOBILE
6,14,0,0,,,,,【3天2夜 租期】Ymobile  GL06P,1,,,,,,,,【3天2夜 租期】Ymobile  GL06P,03191248_550a46f82e557.jpg,*,03191248_550a46f82baf7.jpg,03191248_550a46f828b7e.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,8050,,1,,,1350,,5,,,,,,,,,,,,,,,,,2,EMOBILE
7,15,0,0,,,,,【4天3夜 租期】Ymobile  GL06P,1,,,,,,,,【4天3夜 租期】Ymobile  GL06P,03191248_550a471206a32.jpg,*,03191248_550a471203ef0.jpg,03191248_550a471201113.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,8051,,1,,,1800,,5,,,,,,,,,,,,,,,,,2,EMOBILE
8,16,0,0,,,,,【5天4夜 租期】Ymobile  GL06P,1,,,,,,,,【5天4夜 租期】Ymobile  GL06P,03191248_550a4728ed38d.jpg,*,03191248_550a4728ea8e1.jpg,03191248_550a4728e7b5e.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,8052,,1,,,2250,,5,,,,,,,,,,,,,,,,,2,EMOBILE
9,17,0,0,,,,,【6天5夜 租期】Ymobile  GL06P,1,,,,,,,,【6天5夜 租期】Ymobile  GL06P,03191249_550a4745c41b0.jpg,*,03191249_550a4745c171f.jpg,03191249_550a4745be89b.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,8053,,1,,,2700,,5,,,,,,,,,,,,,,,,,2,EMOBILE
10,18,0,0,,,,,【7天6夜 租期】Ymobile  GL06P,1,,,,,,,,【7天6夜 租期】Ymobile  GL06P,03191249_550a475b93945.jpg,*,03191249_550a475b90ec4.jpg,03191249_550a475b8dfcf.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,8054,,1,,,3150,,5,,,,,,,,,,,,,,,,,2,EMOBILE
11,19,0,0,,,,,【8天7夜 租期】Ymobile  GL06P,1,,,,,,,,【8天7夜 租期】Ymobile  GL06P,03191250_550a4772c60d4.jpg,*,03191250_550a4772c34ae.jpg,03191250_550a4772c061b.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,8055,,1,,,3600,,5,,,,,,,,,,,,,,,,,2,EMOBILE
12,20,0,0,,,,,【9天8夜 租期】Ymobile  GL06P,1,,,,,,,,【9天8夜 租期】Ymobile  GL06P,03191250_550a478df3e6c.jpg,*,03191250_550a478df109f.jpg,03191250_550a478dedf5e.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,8056,,1,,,4050,,5,,,,,,,,,,,,,,,,,2,EMOBILE
13,21,0,0,,,,,【10天9夜 租期】Ymobile  GL06P,1,,,,,,,,【10天9夜 租期】Ymobile  GL06P,03191250_550a47a3600f0.jpg,*,03191250_550a47a35d464.jpg,03191250_550a47a35a478.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,8057,,1,,,4500,,5,,,,,,,,,,,,,,,,,2,EMOBILE
14,22,0,0,,,,,【11天10夜 租期】Ymobile  GL06P,1,,,,,,,,【11天10夜 租期】Ymobile  GL06P,03191251_550a47bb48a2f.jpg,*,03191251_550a47bb45a5f.jpg,03191251_550a47bb422f9.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,8058,,1,,,4950,,5,,,,,,,,,,,,,,,,,2,EMOBILE
