商品ID,商品規格ID,親規格分類ID,規格分類ID,親規格分類名,規格分類名,メーカーID,メーカー名,商品名,表示ステータス(公開・非公開),メーカーURL(コメント1),コメント2,検索ワード(コメント3),コメント4,コメント5,コメント6,備考欄(SHOP専用),一覧-メインコメント,一覧-メイン画像,詳細-メインコメント,詳細-メイン画像,詳細-メイン拡大画像,詳細-サブタイトル(1),詳細-サブコメント(1),詳細-サブ画像(1),詳細-サブ拡大画像(1),詳細-サブタイトル(2),詳細-サブコメント(2),詳細-サブ画像(2),詳細-サブ拡大画像(2),詳細-サブタイトル(3),詳細-サブコメント(3),詳細-サブ画像(3),詳細-サブ拡大画像(3),詳細-サブタイトル(4),詳細-サブコメント(4),詳細-サブ画像(4),詳細-サブ拡大画像(4),詳細-サブタイトル(5),詳細-サブコメント(5),詳細-サブ画像(5),詳細-サブ拡大画像(5),発送日目安ID,削除フラグ,商品種別ID,商品コード,在庫数,在庫無制限フラグ,販売制限数,通常価格,販売価格,送料,ポイント付与率,ダウンロードファイル名,ダウンロード実ファイル,関連商品ID(1),関連商品コメント(1),関連商品ID(2),関連商品コメント(2),関連商品ID(3),関連商品コメント(3),関連商品ID(4),関連商品コメント(4),関連商品ID(5),関連商品コメント(5),関連商品ID(6),関連商品コメント(6),商品ステータス,商品ステータス名,カテゴリID,カテゴリ名
1234,3873,10,8,None (+ 0 JPY),None (+ 0 JPY),,,[1 Day RENTAL] au KDDI HWD11,1,,,,,,,,[1 Days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,au_000,,1,,650,650,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1235,3874,10,8,None (+ 0 JPY),None (+ 0 JPY),,,[2 Days RENTAL] au KDDI HWD11,1,,,,,,,,[2 Days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,au_001,,1,,1300,1300,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1236,3875,10,8,None (+ 0 JPY),None (+ 0 JPY),,,[3 Days RENTAL] au KDDI HWD11,1,,,,,,,,[3 Days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,au_002,,1,,1950,1950,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1237,3876,10,8,None (+ 0 JPY),None (+ 0 JPY),,,[4 Days RENTAL] au KDDI HWD11,1,,,,,,,,[4 Days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,au_003,,1,,2600,2600,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1238,3877,10,8,None (+ 0 JPY),None (+ 0 JPY),,,[5 Days RENTAL] au KDDI HWD11,1,,,,,,,,[5 Days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,au_004,,1,,3250,3250,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1239,3878,10,8,None (+ 0 JPY),None (+ 0 JPY),,,[6 Days RENTAL] au KDDI HWD11,1,,,,,,,,[6 Days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,au_005,,1,,3900,3900,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1240,3879,10,8,None (+ 0 JPY),None (+ 0 JPY),,,[7 Days RENTAL] au KDDI HWD11,1,,,,,,,,[7 Days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,au_006,,1,,4550,4550,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1241,3880,10,8,None (+ 0 JPY),None (+ 0 JPY),,,[8 Days RENTAL] au KDDI HWD11,1,,,,,,,,[8 Days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,au_007,,1,,5200,5200,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1242,3881,10,8,None (+ 0 JPY),None (+ 0 JPY),,,[9 Days RENTAL] au KDDI HWD11,1,,,,,,,,[9 Days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,au_008,,1,,5850,5850,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1243,3882,10,8,None (+ 0 JPY),None (+ 0 JPY),,,[10 Days RENTAL] au KDDI HWD11,1,,,,,,,,[10 Days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,au_009,,1,,6500,6500,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1244,3883,10,8,None (+ 0 JPY),None (+ 0 JPY),,,[11 Days RENTAL] au KDDI HWD11,1,,,,,,,,[11 Days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,au_010,,1,,7150,7150,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1245,3884,10,8,None (+ 0 JPY),None (+ 0 JPY),,,[12 Days RENTAL] au KDDI HWD11,1,,,,,,,,[12 Days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,au_011,,1,,7800,7800,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1246,3885,10,8,None (+ 0 JPY),None (+ 0 JPY),,,[13 Days RENTAL] au KDDI HWD11,1,,,,,,,,[13 Days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,au_012,,1,,8450,8450,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1247,3886,10,8,None (+ 0 JPY),None (+ 0 JPY),,,[14 Days RENTAL] au KDDI HWD11,1,,,,,,,,[14 Days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,au_013,,1,,9100,9100,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1248,3887,10,8,None (+ 0 JPY),None (+ 0 JPY),,,[1 Month (15 Days〜31 Days)] au KDDI HWD11,1,,,,,,,,[15 Days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,au_014,,1,,9750,9750,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1249,3888,10,8,None (+ 0 JPY),None (+ 0 JPY),,,[1 Month (15 Days〜31 Days)] au KDDI HWD11,1,,,,,,,,[16 Days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,au_015,,1,,9750,9750,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1250,3889,10,8,None (+ 0 JPY),None (+ 0 JPY),,,[1 Month (15 Days〜31 Days)] au KDDI HWD11,1,,,,,,,,[17 Days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,au_016,,1,,9750,9750,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1251,3890,10,8,None (+ 0 JPY),None (+ 0 JPY),,,[1 Month (15 Days〜31 Days)] au KDDI HWD11,1,,,,,,,,[18 Days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,au_017,,1,,9750,9750,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1252,3891,10,8,None (+ 0 JPY),None (+ 0 JPY),,,[1 Month (15 Days〜31 Days)] au KDDI HWD11,1,,,,,,,,[19 Days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,au_018,,1,,9750,9750,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1253,3892,10,8,None (+ 0 JPY),None (+ 0 JPY),,,[1 Month (15 Days〜31 Days)] au KDDI HWD11,1,,,,,,,,[20 Days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,au_019,,1,,9750,9750,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1254,3893,10,8,None (+ 0 JPY),None (+ 0 JPY),,,[1 Month (15 Days〜31 Days)] au KDDI HWD11,1,,,,,,,,[21 Days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,au_020,,1,,9750,9750,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1255,3894,10,8,None (+ 0 JPY),None (+ 0 JPY),,,[1 Month (15 Days〜31 Days)] au KDDI HWD11,1,,,,,,,,[22 Days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,au_021,,1,,9750,9750,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1256,3895,10,8,None (+ 0 JPY),None (+ 0 JPY),,,[1 Month (15 Days〜31 Days)] au KDDI HWD11,1,,,,,,,,[23 Days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,au_022,,1,,9750,9750,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1257,3896,10,8,None (+ 0 JPY),None (+ 0 JPY),,,[1 Month (15 Days〜31 Days)] au KDDI HWD11,1,,,,,,,,[24 Days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,au_023,,1,,9750,9750,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1258,3897,10,8,None (+ 0 JPY),None (+ 0 JPY),,,[1 Month (15 Days〜31 Days)] au KDDI HWD11,1,,,,,,,,[25 Days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,au_024,,1,,9750,9750,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1259,3898,10,8,None (+ 0 JPY),None (+ 0 JPY),,,[1 Month (15 Days〜31 Days)] au KDDI HWD11,1,,,,,,,,[26 Days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,au_025,,1,,9750,9750,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1260,3899,10,8,None (+ 0 JPY),None (+ 0 JPY),,,[1 Month (15 Days〜31 Days)] au KDDI HWD11,1,,,,,,,,[27 Days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,au_026,,1,,9750,9750,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1261,3900,10,8,None (+ 0 JPY),None (+ 0 JPY),,,[1 Month (15 Days〜31 Days)] au KDDI HWD11,1,,,,,,,,[28 Days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,au_027,,1,,9750,9750,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1262,3901,10,8,None (+ 0 JPY),None (+ 0 JPY),,,[1 Month (15 Days〜31 Days)] au KDDI HWD11,1,,,,,,,,[29 Days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,au_028,,1,,9750,9750,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1263,3902,10,8,None (+ 0 JPY),None (+ 0 JPY),,,[1 Month (15 Days〜31 Days)] au KDDI HWD11,1,,,,,,,,[30 Days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,au_029,,1,,9750,9750,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1264,3903,10,8,None (+ 0 JPY),None (+ 0 JPY),,,[1 Month (15 Days〜31 Days)] au KDDI HWD11,1,,,,,,,,[31 Days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,au_030,,1,,9750,9750,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1265,3904,10,8,None (+ 0 JPY),None (+ 0 JPY),,,[1 Month]+[1 Day RENTAL] au KDDI HWD11,1,,,,,,,,[32 Days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,au_031,,1,,10400,10400,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1266,3905,10,8,None (+ 0 JPY),None (+ 0 JPY),,,[1 Month]+[2 Days RENTAL] au KDDI HWD11,1,,,,,,,,[33 Days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,au_032,,1,,11050,11050,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1267,3906,10,8,None (+ 0 JPY),None (+ 0 JPY),,,[1 Month]+[3 Days RENTAL] au KDDI HWD11,1,,,,,,,,[34 Days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,au_033,,1,,11700,11700,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1268,3907,10,8,None (+ 0 JPY),None (+ 0 JPY),,,[1 Month]+[4 Days RENTAL] au KDDI HWD11,1,,,,,,,,[35 Days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,au_034,,1,,12350,12350,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1269,3908,10,8,None (+ 0 JPY),None (+ 0 JPY),,,[1 Month]+[5 Days RENTAL] au KDDI HWD11,1,,,,,,,,[36 Days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,au_035,,1,,13000,13000,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1270,3909,10,8,None (+ 0 JPY),None (+ 0 JPY),,,[1 Month]+[6 Days RENTAL] au KDDI HWD11,1,,,,,,,,[37 Days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,au_036,,1,,13650,13650,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1271,3910,10,8,None (+ 0 JPY),None (+ 0 JPY),,,[1 Month]+[7 Days RENTAL] au KDDI HWD11,1,,,,,,,,[38 Days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,au_037,,1,,14300,14300,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1272,3911,10,8,None (+ 0 JPY),None (+ 0 JPY),,,[1 Month]+[8 Days RENTAL] au KDDI HWD11,1,,,,,,,,[39 Days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,au_038,,1,,14950,14950,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1273,3912,10,8,None (+ 0 JPY),None (+ 0 JPY),,,[1 Month]+[9 Days RENTAL] au KDDI HWD11,1,,,,,,,,[40 Days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,au_039,,1,,15600,15600,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1274,3913,10,8,None (+ 0 JPY),None (+ 0 JPY),,,[1 Month]+[10 Days RENTAL] au KDDI HWD11,1,,,,,,,,[41 Days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,au_040,,1,,16250,16250,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1275,3914,10,8,None (+ 0 JPY),None (+ 0 JPY),,,[1 Month]+[11 Days RENTAL] au KDDI HWD11,1,,,,,,,,[42 Days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,au_041,,1,,16900,16900,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1276,3915,10,8,None (+ 0 JPY),None (+ 0 JPY),,,[2 Months] au KDDI HWD11,1,,,,,,,,[43 Days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,au_042,,1,,17300,17300,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1277,3916,10,8,None (+ 0 JPY),None (+ 0 JPY),,,[2 Months] au KDDI HWD11,1,,,,,,,,[44 Days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,au_043,,1,,17300,17300,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
1278,3917,10,8,None (+ 0 JPY),None (+ 0 JPY),,,[2 Months] au KDDI HWD11,1,,,,,,,,[45 Days RENTAL] au KDDI HWD11,au.jpg,*,au.jpg,au.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,au_044,,1,,17300,17300,,5,,,,,,,,,,,,,,,,,18,au KDDI HWD11
