商品ID,商品規格ID,親規格分類ID,規格分類ID,親規格分類名,規格分類名,メーカーID,メーカー名,商品名,表示ステータス(公開・非公開),メーカーURL(コメント1),コメント2,検索ワード(コメント3),コメント4,コメント5,コメント6,備考欄(SHOP専用),一覧-メインコメント,一覧-メイン画像,詳細-メインコメント,詳細-メイン画像,詳細-メイン拡大画像,詳細-サブタイトル(1),詳細-サブコメント(1),詳細-サブ画像(1),詳細-サブ拡大画像(1),詳細-サブタイトル(2),詳細-サブコメント(2),詳細-サブ画像(2),詳細-サブ拡大画像(2),詳細-サブタイトル(3),詳細-サブコメント(3),詳細-サブ画像(3),詳細-サブ拡大画像(3),詳細-サブタイトル(4),詳細-サブコメント(4),詳細-サブ画像(4),詳細-サブ拡大画像(4),詳細-サブタイトル(5),詳細-サブコメント(5),詳細-サブ画像(5),詳細-サブ拡大画像(5),発送日目安ID,削除フラグ,商品種別ID,商品コード,在庫数,在庫無制限フラグ,販売制限数,通常価格,販売価格,送料,ポイント付与率,ダウンロードファイル名,ダウンロード実ファイル,関連商品ID(1),関連商品コメント(1),関連商品ID(2),関連商品コメント(2),関連商品ID(3),関連商品コメント(3),関連商品ID(4),関連商品コメント(4),関連商品ID(5),関連商品コメント(5),関連商品ID(6),関連商品コメント(6),商品ステータス,商品ステータス名,カテゴリID,カテゴリ名
869,3508,9,7,Yes (+ 50 JPY / Day),Yes (+ 540 JPY),,,[1 day RENTAL] SoftBank 601HW White,1,,,,,,,,[1 days RENTAL] SoftBank 601HW White,sl.jpg,*,sl.jpg,sl.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sl_000_in_bt,,1,,550,1140,,5,,,,,,,,,,,,,,,,,17,SoftBank 601HW White 50GB
869,3143,10,7,None (+ 0 JPY),Yes (+ 540 JPY),,,[1 day RENTAL] SoftBank 601HW White,1,,,,,,,,[1 days RENTAL] SoftBank 601HW White,sl.jpg,*,sl.jpg,sl.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sl_000_in,,1,,550,1090,,5,,,,,,,,,,,,,,,,,17,SoftBank 601HW White 50GB
869,2778,9,8,Yes (+ 50 JPY / Day),None (+ 0 JPY),,,[1 day RENTAL] SoftBank 601HW White,1,,,,,,,,[1 days RENTAL] SoftBank 601HW White,sl.jpg,*,sl.jpg,sl.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sl_000_bt,,1,,550,600,,5,,,,,,,,,,,,,,,,,17,SoftBank 601HW White 50GB
869,2413,10,8,None (+ 0 JPY),None (+ 0 JPY),,,[1 day RENTAL] SoftBank 601HW White,1,,,,,,,,[1 days RENTAL] SoftBank 601HW White,sl.jpg,*,sl.jpg,sl.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sl_000,,1,,550,550,,5,,,,,,,,,,,,,,,,,17,SoftBank 601HW White 50GB
870,3509,9,7,Yes (+ 50 JPY / Day),Yes (+ 540 JPY),,,[2 days RENTAL] SoftBank 601HW White,1,,,,,,,,[2 days RENTAL] SoftBank 601HW White,sl.jpg,*,sl.jpg,sl.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sl_001_in_bt,,1,,1100,1740,,5,,,,,,,,,,,,,,,,,17,SoftBank 601HW White 50GB
870,3144,10,7,None (+ 0 JPY),Yes (+ 540 JPY),,,[2 days RENTAL] SoftBank 601HW White,1,,,,,,,,[2 days RENTAL] SoftBank 601HW White,sl.jpg,*,sl.jpg,sl.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sl_001_in,,1,,1100,1640,,5,,,,,,,,,,,,,,,,,17,SoftBank 601HW White 50GB
870,2779,9,8,Yes (+ 50 JPY / Day),None (+ 0 JPY),,,[2 days RENTAL] SoftBank 601HW White,1,,,,,,,,[2 days RENTAL] SoftBank 601HW White,sl.jpg,*,sl.jpg,sl.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sl_001_bt,,1,,1100,1200,,5,,,,,,,,,,,,,,,,,17,SoftBank 601HW White 50GB
870,2414,10,8,None (+ 0 JPY),None (+ 0 JPY),,,[2 days RENTAL] SoftBank 601HW White,1,,,,,,,,[2 days RENTAL] SoftBank 601HW White,sl.jpg,*,sl.jpg,sl.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sl_001,,1,,1100,1100,,5,,,,,,,,,,,,,,,,,17,SoftBank 601HW White 50GB
871,3510,9,7,Yes (+ 50 JPY / Day),Yes (+ 540 JPY),,,[3 days RENTAL] SoftBank 601HW White,1,,,,,,,,[3 days RENTAL] SoftBank 601HW White,sl.jpg,*,sl.jpg,sl.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sl_002_in_bt,,1,,1650,2340,,5,,,,,,,,,,,,,,,,,17,SoftBank 601HW White 50GB
871,3145,10,7,None (+ 0 JPY),Yes (+ 540 JPY),,,[3 days RENTAL] SoftBank 601HW White,1,,,,,,,,[3 days RENTAL] SoftBank 601HW White,sl.jpg,*,sl.jpg,sl.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sl_002_in,,1,,1650,2190,,5,,,,,,,,,,,,,,,,,17,SoftBank 601HW White 50GB
871,2780,9,8,Yes (+ 50 JPY / Day),None (+ 0 JPY),,,[3 days RENTAL] SoftBank 601HW White,1,,,,,,,,[3 days RENTAL] SoftBank 601HW White,sl.jpg,*,sl.jpg,sl.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sl_002_bt,,1,,1650,1800,,5,,,,,,,,,,,,,,,,,17,SoftBank 601HW White 50GB
871,2415,10,8,None (+ 0 JPY),None (+ 0 JPY),,,[3 days RENTAL] SoftBank 601HW White,1,,,,,,,,[3 days RENTAL] SoftBank 601HW White,sl.jpg,*,sl.jpg,sl.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sl_002,,1,,1650,1650,,5,,,,,,,,,,,,,,,,,17,SoftBank 601HW White 50GB
872,3511,9,7,Yes (+ 50 JPY / Day),Yes (+ 540 JPY),,,[4 days RENTAL] SoftBank 601HW White,1,,,,,,,,[4 days RENTAL] SoftBank 601HW White,sl.jpg,*,sl.jpg,sl.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sl_003_in_bt,,1,,2200,2940,,5,,,,,,,,,,,,,,,,,17,SoftBank 601HW White 50GB
872,3146,10,7,None (+ 0 JPY),Yes (+ 540 JPY),,,[4 days RENTAL] SoftBank 601HW White,1,,,,,,,,[4 days RENTAL] SoftBank 601HW White,sl.jpg,*,sl.jpg,sl.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sl_003_in,,1,,2200,2740,,5,,,,,,,,,,,,,,,,,17,SoftBank 601HW White 50GB
872,2781,9,8,Yes (+ 50 JPY / Day),None (+ 0 JPY),,,[4 days RENTAL] SoftBank 601HW White,1,,,,,,,,[4 days RENTAL] SoftBank 601HW White,sl.jpg,*,sl.jpg,sl.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sl_003_bt,,1,,2200,2400,,5,,,,,,,,,,,,,,,,,17,SoftBank 601HW White 50GB
872,2416,10,8,None (+ 0 JPY),None (+ 0 JPY),,,[4 days RENTAL] SoftBank 601HW White,1,,,,,,,,[4 days RENTAL] SoftBank 601HW White,sl.jpg,*,sl.jpg,sl.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sl_003,,1,,2200,2200,,5,,,,,,,,,,,,,,,,,17,SoftBank 601HW White 50GB
873,3512,9,7,Yes (+ 50 JPY / Day),Yes (+ 540 JPY),,,[5 days RENTAL] SoftBank 601HW White,1,,,,,,,,[5 days RENTAL] SoftBank 601HW White,sl.jpg,*,sl.jpg,sl.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sl_004_in_bt,,1,,2750,3540,,5,,,,,,,,,,,,,,,,,17,SoftBank 601HW White 50GB
