商品ID,商品規格ID,親規格分類ID,規格分類ID,親規格分類名,規格分類名,メーカーID,メーカー名,商品名,表示ステータス(公開・非公開),メーカーURL(コメント1),コメント2,検索ワード(コメント3),コメント4,コメント5,コメント6,備考欄(SHOP専用),一覧-メインコメント,一覧-メイン画像,詳細-メインコメント,詳細-メイン画像,詳細-メイン拡大画像,詳細-サブタイトル(1),詳細-サブコメント(1),詳細-サブ画像(1),詳細-サブ拡大画像(1),詳細-サブタイトル(2),詳細-サブコメント(2),詳細-サブ画像(2),詳細-サブ拡大画像(2),詳細-サブタイトル(3),詳細-サブコメント(3),詳細-サブ画像(3),詳細-サブ拡大画像(3),詳細-サブタイトル(4),詳細-サブコメント(4),詳細-サブ画像(4),詳細-サブ拡大画像(4),詳細-サブタイトル(5),詳細-サブコメント(5),詳細-サブ画像(5),詳細-サブ拡大画像(5),発送日目安ID,削除フラグ,商品種別ID,商品コード,在庫数,在庫無制限フラグ,販売制限数,通常価格,販売価格,送料,ポイント付与率,ダウンロードファイル名,ダウンロード実ファイル,関連商品ID(1),関連商品コメント(1),関連商品ID(2),関連商品コメント(2),関連商品ID(3),関連商品コメント(3),関連商品ID(4),関連商品コメント(4),関連商品ID(5),関連商品コメント(5),関連商品ID(6),関連商品コメント(6),商品ステータス,商品ステータス名,カテゴリID,カテゴリ名
,,,,,,,,[1 day Extension] SoftBank 601HW Black,1,,,,,,,,[1 day Extension] SoftBank 601HW Black,sk_ex.jpg,*,sk_ex.jpg,sk_ex.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sk_ex_000,,1,,450,450,,5,,,,,,,,,,,,,,,,,15,[延長] SoftBank 601HW Black 20GB
,,,,,,,,[2 days Extension] SoftBank 601HW Black,1,,,,,,,,[2 days Extension] SoftBank 601HW Black,sk_ex.jpg,*,sk_ex.jpg,sk_ex.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sk_ex_001,,1,,900,900,,5,,,,,,,,,,,,,,,,,15,[延長] SoftBank 601HW Black 20GB
,,,,,,,,[3 days Extension] SoftBank 601HW Black,1,,,,,,,,[3 days Extension] SoftBank 601HW Black,sk_ex.jpg,*,sk_ex.jpg,sk_ex.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sk_ex_002,,1,,1350,1350,,5,,,,,,,,,,,,,,,,,15,[延長] SoftBank 601HW Black 20GB
,,,,,,,,[4 days Extension] SoftBank 601HW Black,1,,,,,,,,[4 days Extension] SoftBank 601HW Black,sk_ex.jpg,*,sk_ex.jpg,sk_ex.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sk_ex_003,,1,,1800,1800,,5,,,,,,,,,,,,,,,,,15,[延長] SoftBank 601HW Black 20GB
,,,,,,,,[5 days Extension] SoftBank 601HW Black,1,,,,,,,,[5 days Extension] SoftBank 601HW Black,sk_ex.jpg,*,sk_ex.jpg,sk_ex.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sk_ex_004,,1,,2250,2250,,5,,,,,,,,,,,,,,,,,15,[延長] SoftBank 601HW Black 20GB
,,,,,,,,[6 days Extension] SoftBank 601HW Black,1,,,,,,,,[6 days Extension] SoftBank 601HW Black,sk_ex.jpg,*,sk_ex.jpg,sk_ex.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sk_ex_005,,1,,2700,2700,,5,,,,,,,,,,,,,,,,,15,[延長] SoftBank 601HW Black 20GB
,,,,,,,,[7 days Extension] SoftBank 601HW Black,1,,,,,,,,[7 days Extension] SoftBank 601HW Black,sk_ex.jpg,*,sk_ex.jpg,sk_ex.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sk_ex_006,,1,,3150,3150,,5,,,,,,,,,,,,,,,,,15,[延長] SoftBank 601HW Black 20GB
,,,,,,,,[8 days Extension] SoftBank 601HW Black,1,,,,,,,,[8 days Extension] SoftBank 601HW Black,sk_ex.jpg,*,sk_ex.jpg,sk_ex.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sk_ex_007,,1,,3600,3600,,5,,,,,,,,,,,,,,,,,15,[延長] SoftBank 601HW Black 20GB
,,,,,,,,[9 days Extension] SoftBank 601HW Black,1,,,,,,,,[9 days Extension] SoftBank 601HW Black,sk_ex.jpg,*,sk_ex.jpg,sk_ex.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sk_ex_008,,1,,4050,4050,,5,,,,,,,,,,,,,,,,,15,[延長] SoftBank 601HW Black 20GB
,,,,,,,,[10 days Extension] SoftBank 601HW Black,1,,,,,,,,[10 days Extension] SoftBank 601HW Black,sk_ex.jpg,*,sk_ex.jpg,sk_ex.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sk_ex_009,,1,,4500,4500,,5,,,,,,,,,,,,,,,,,15,[延長] SoftBank 601HW Black 20GB
,,,,,,,,[11 days Extension] SoftBank 601HW Black,1,,,,,,,,[11 days Extension] SoftBank 601HW Black,sk_ex.jpg,*,sk_ex.jpg,sk_ex.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sk_ex_010,,1,,4950,4950,,5,,,,,,,,,,,,,,,,,15,[延長] SoftBank 601HW Black 20GB
,,,,,,,,[12 days Extension] SoftBank 601HW Black,1,,,,,,,,[12 days Extension] SoftBank 601HW Black,sk_ex.jpg,*,sk_ex.jpg,sk_ex.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sk_ex_011,,1,,5400,5400,,5,,,,,,,,,,,,,,,,,15,[延長] SoftBank 601HW Black 20GB
,,,,,,,,[13 days Extension] SoftBank 601HW Black,1,,,,,,,,[13 days Extension] SoftBank 601HW Black,sk_ex.jpg,*,sk_ex.jpg,sk_ex.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sk_ex_012,,1,,5850,5850,,5,,,,,,,,,,,,,,,,,15,[延長] SoftBank 601HW Black 20GB
,,,,,,,,[14 days Extension] SoftBank 601HW Black,1,,,,,,,,[14 days Extension] SoftBank 601HW Black,sk_ex.jpg,*,sk_ex.jpg,sk_ex.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sk_ex_013,,1,,6300,6300,,5,,,,,,,,,,,,,,,,,15,[延長] SoftBank 601HW Black 20GB
,,,,,,,,[1 Month (31 days) Extension] SoftBank 601HW Black,1,,,,,,,,[1 Month (31 days) Extension] SoftBank 601HW Black,sk_ex.jpg,*,sk_ex.jpg,sk_ex.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sk_ex_014,,1,,6750,6750,,5,,,,,,,,,,,,,,,,,15,[延長] SoftBank 601HW Black 20GB
,,,,,,,,[2 Months (61 days) Extension] SoftBank 601HW Black,1,,,,,,,,[2 Months (61 days) Extension] SoftBank 601HW Black,sk_ex.jpg,*,sk_ex.jpg,sk_ex.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sk_ex_060,,1,,12000,12000,,5,,,,,,,,,,,,,,,,,15,[延長] SoftBank 601HW Black 20GB
