商品ID,商品規格ID,親規格分類ID,規格分類ID,親規格分類名,規格分類名,メーカーID,メーカー名,商品名,表示ステータス(公開・非公開),メーカーURL(コメント1),コメント2,検索ワード(コメント3),コメント4,コメント5,コメント6,備考欄(SHOP専用),一覧-メインコメント,一覧-メイン画像,詳細-メインコメント,詳細-メイン画像,詳細-メイン拡大画像,詳細-サブタイトル(1),詳細-サブコメント(1),詳細-サブ画像(1),詳細-サブ拡大画像(1),詳細-サブタイトル(2),詳細-サブコメント(2),詳細-サブ画像(2),詳細-サブ拡大画像(2),詳細-サブタイトル(3),詳細-サブコメント(3),詳細-サブ画像(3),詳細-サブ拡大画像(3),詳細-サブタイトル(4),詳細-サブコメント(4),詳細-サブ画像(4),詳細-サブ拡大画像(4),詳細-サブタイトル(5),詳細-サブコメント(5),詳細-サブ画像(5),詳細-サブ拡大画像(5),発送日目安ID,削除フラグ,商品種別ID,商品コード,在庫数,在庫無制限フラグ,販売制限数,通常価格,販売価格,送料,ポイント付与率,ダウンロードファイル名,ダウンロード実ファイル,関連商品ID(1),関連商品コメント(1),関連商品ID(2),関連商品コメント(2),関連商品ID(3),関連商品コメント(3),関連商品ID(4),関連商品コメント(4),関連商品ID(5),関連商品コメント(5),関連商品ID(6),関連商品コメント(6),商品ステータス,商品ステータス名,カテゴリID,カテゴリ名
1639,,0,11,,Yes,,,[1 day Extension] SoftBank 601HW White,1,,,,,,,,[1 day Extension] SoftBank 601HW White,sl_ex.jpg,*,sl_ex.jpg,sl_ex.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sl_ex_000_bt,,1,,550,600,,5,,,,,,,,,,,,,,,,,20,[延長] SoftBank 601HW White 50GB
1640,,0,11,,Yes,,,[2 days Extension] SoftBank 601HW White,1,,,,,,,,[2 days Extension] SoftBank 601HW White,sl_ex.jpg,*,sl_ex.jpg,sl_ex.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sl_ex_001_bt,,1,,1100,1200,,5,,,,,,,,,,,,,,,,,20,[延長] SoftBank 601HW White 50GB
1641,,0,11,,Yes,,,[3 days Extension] SoftBank 601HW White,1,,,,,,,,[3 days Extension] SoftBank 601HW White,sl_ex.jpg,*,sl_ex.jpg,sl_ex.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sl_ex_002_bt,,1,,1650,1800,,5,,,,,,,,,,,,,,,,,20,[延長] SoftBank 601HW White 50GB
1642,,0,11,,Yes,,,[4 days Extension] SoftBank 601HW White,1,,,,,,,,[4 days Extension] SoftBank 601HW White,sl_ex.jpg,*,sl_ex.jpg,sl_ex.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sl_ex_003_bt,,1,,2200,2400,,5,,,,,,,,,,,,,,,,,20,[延長] SoftBank 601HW White 50GB
1643,,0,11,,Yes,,,[5 days Extension] SoftBank 601HW White,1,,,,,,,,[5 days Extension] SoftBank 601HW White,sl_ex.jpg,*,sl_ex.jpg,sl_ex.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sl_ex_004_bt,,1,,2750,3000,,5,,,,,,,,,,,,,,,,,20,[延長] SoftBank 601HW White 50GB
1644,,0,11,,Yes,,,[6 days Extension] SoftBank 601HW White,1,,,,,,,,[6 days Extension] SoftBank 601HW White,sl_ex.jpg,*,sl_ex.jpg,sl_ex.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sl_ex_005_bt,,1,,3300,3600,,5,,,,,,,,,,,,,,,,,20,[延長] SoftBank 601HW White 50GB
1645,,0,11,,Yes,,,[7 days Extension] SoftBank 601HW White,1,,,,,,,,[7 days Extension] SoftBank 601HW White,sl_ex.jpg,*,sl_ex.jpg,sl_ex.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sl_ex_006_bt,,1,,3850,4200,,5,,,,,,,,,,,,,,,,,20,[延長] SoftBank 601HW White 50GB
1646,,0,11,,Yes,,,[8 days Extension] SoftBank 601HW White,1,,,,,,,,[8 days Extension] SoftBank 601HW White,sl_ex.jpg,*,sl_ex.jpg,sl_ex.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sl_ex_007_bt,,1,,4400,4800,,5,,,,,,,,,,,,,,,,,20,[延長] SoftBank 601HW White 50GB
1647,,0,11,,Yes,,,[9 days Extension] SoftBank 601HW White,1,,,,,,,,[9 days Extension] SoftBank 601HW White,sl_ex.jpg,*,sl_ex.jpg,sl_ex.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sl_ex_008_bt,,1,,4950,5400,,5,,,,,,,,,,,,,,,,,20,[延長] SoftBank 601HW White 50GB
1648,,0,11,,Yes,,,[10 days Extension] SoftBank 601HW White,1,,,,,,,,[10 days Extension] SoftBank 601HW White,sl_ex.jpg,*,sl_ex.jpg,sl_ex.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sl_ex_009_bt,,1,,5500,6000,,5,,,,,,,,,,,,,,,,,20,[延長] SoftBank 601HW White 50GB
