商品ID,商品規格ID,親規格分類ID,規格分類ID,親規格分類名,規格分類名,メーカーID,メーカー名,商品名,表示ステータス(公開・非公開),メーカーURL(コメント1),コメント2,検索ワード(コメント3),コメント4,コメント5,コメント6,備考欄(SHOP専用),一覧-メインコメント,一覧-メイン画像,詳細-メインコメント,詳細-メイン画像,詳細-メイン拡大画像,詳細-サブタイトル(1),詳細-サブコメント(1),詳細-サブ画像(1),詳細-サブ拡大画像(1),詳細-サブタイトル(2),詳細-サブコメント(2),詳細-サブ画像(2),詳細-サブ拡大画像(2),詳細-サブタイトル(3),詳細-サブコメント(3),詳細-サブ画像(3),詳細-サブ拡大画像(3),詳細-サブタイトル(4),詳細-サブコメント(4),詳細-サブ画像(4),詳細-サブ拡大画像(4),詳細-サブタイトル(5),詳細-サブコメント(5),詳細-サブ画像(5),詳細-サブ拡大画像(5),発送日目安ID,削除フラグ,商品種別ID,商品コード,在庫数,在庫無制限フラグ,販売制限数,通常価格,販売価格,送料,ポイント付与率,ダウンロードファイル名,ダウンロード実ファイル,関連商品ID(1),関連商品コメント(1),関連商品ID(2),関連商品コメント(2),関連商品ID(3),関連商品コメント(3),関連商品ID(4),関連商品コメント(4),関連商品ID(5),関連商品コメント(5),関連商品ID(6),関連商品コメント(6),商品ステータス,商品ステータス名,カテゴリID,カテゴリ名
504,953,10,8,None (+ 0 JPY),None (+ 0 JPY),,,[1 day RENTAL] SoftBank 601HW Black,1,,,,,,,,[1 days RENTAL] SoftBank 601HW Black,sk.jpg,*,sk.jpg,sk.jpg,,,,,,,,,,,,,,,,,,,,,,,1,en_sk_000,,1,,450,450,,5,,,,,,,,,,,,,,,,,16,new! SoftBank 601HW Black 20GB
505,954,10,8,None (+ 0 JPY),None (+ 0 JPY),,,[2 days RENTAL] SoftBank 601HW Black,1,,,,,,,,[2 days RENTAL] SoftBank 601HW Black,sk.jpg,*,sk.jpg,sk.jpg,,,,,,,,,,,,,,,,,,,,,,,1,en_sk_001,,1,,900,900,,5,,,,,,,,,,,,,,,,,16,new! SoftBank 601HW Black 20GB
506,955,10,8,None (+ 0 JPY),None (+ 0 JPY),,,[3 days RENTAL] SoftBank 601HW Black,1,,,,,,,,[3 days RENTAL] SoftBank 601HW Black,sk.jpg,*,sk.jpg,sk.jpg,,,,,,,,,,,,,,,,,,,,,,,1,en_sk_002,,1,,1350,1350,,5,,,,,,,,,,,,,,,,,16,new! SoftBank 601HW Black 20GB
507,956,10,8,None (+ 0 JPY),None (+ 0 JPY),,,[4 days RENTAL] SoftBank 601HW Black,1,,,,,,,,[4 days RENTAL] SoftBank 601HW Black,sk.jpg,*,sk.jpg,sk.jpg,,,,,,,,,,,,,,,,,,,,,,,1,en_sk_003,,1,,1800,1800,,5,,,,,,,,,,,,,,,,,16,new! SoftBank 601HW Black 20GB
508,957,10,8,None (+ 0 JPY),None (+ 0 JPY),,,[5 days RENTAL] SoftBank 601HW Black,1,,,,,,,,[5 days RENTAL] SoftBank 601HW Black,sk.jpg,*,sk.jpg,sk.jpg,,,,,,,,,,,,,,,,,,,,,,,1,en_sk_004,,1,,2250,2250,,5,,,,,,,,,,,,,,,,,16,new! SoftBank 601HW Black 20GB
509,958,10,8,None (+ 0 JPY),None (+ 0 JPY),,,[6 days RENTAL] SoftBank 601HW Black,1,,,,,,,,[6 days RENTAL] SoftBank 601HW Black,sk.jpg,*,sk.jpg,sk.jpg,,,,,,,,,,,,,,,,,,,,,,,1,en_sk_005,,1,,2700,2700,,5,,,,,,,,,,,,,,,,,16,new! SoftBank 601HW Black 20GB
510,959,10,8,None (+ 0 JPY),None (+ 0 JPY),,,[7 days RENTAL] SoftBank 601HW Black,1,,,,,,,,[7 days RENTAL] SoftBank 601HW Black,sk.jpg,*,sk.jpg,sk.jpg,,,,,,,,,,,,,,,,,,,,,,,1,en_sk_006,,1,,3150,3150,,5,,,,,,,,,,,,,,,,,16,new! SoftBank 601HW Black 20GB
511,960,10,8,None (+ 0 JPY),None (+ 0 JPY),,,[8 days RENTAL] SoftBank 601HW Black,1,,,,,,,,[8 days RENTAL] SoftBank 601HW Black,sk.jpg,*,sk.jpg,sk.jpg,,,,,,,,,,,,,,,,,,,,,,,1,en_sk_007,,1,,3600,3600,,5,,,,,,,,,,,,,,,,,16,new! SoftBank 601HW Black 20GB
512,961,10,8,None (+ 0 JPY),None (+ 0 JPY),,,[9 days RENTAL] SoftBank 601HW Black,1,,,,,,,,[9 days RENTAL] SoftBank 601HW Black,sk.jpg,*,sk.jpg,sk.jpg,,,,,,,,,,,,,,,,,,,,,,,1,en_sk_008,,1,,4050,4050,,5,,,,,,,,,,,,,,,,,16,new! SoftBank 601HW Black 20GB
513,962,10,8,None (+ 0 JPY),None (+ 0 JPY),,,[10 days RENTAL] SoftBank 601HW Black,1,,,,,,,,[10 days RENTAL] SoftBank 601HW Black,sk.jpg,*,sk.jpg,sk.jpg,,,,,,,,,,,,,,,,,,,,,,,1,en_sk_009,,1,,4500,4500,,5,,,,,,,,,,,,,,,,,16,new! SoftBank 601HW Black 20GB
514,963,10,8,None (+ 0 JPY),None (+ 0 JPY),,,[11 days RENTAL] SoftBank 601HW Black,1,,,,,,,,[11 days RENTAL] SoftBank 601HW Black,sk.jpg,*,sk.jpg,sk.jpg,,,,,,,,,,,,,,,,,,,,,,,1,en_sk_010,,1,,4950,4950,,5,,,,,,,,,,,,,,,,,16,new! SoftBank 601HW Black 20GB
515,964,10,8,None (+ 0 JPY),None (+ 0 JPY),,,[12 days RENTAL] SoftBank 601HW Black,1,,,,,,,,[12 days RENTAL] SoftBank 601HW Black,sk.jpg,*,sk.jpg,sk.jpg,,,,,,,,,,,,,,,,,,,,,,,1,en_sk_011,,1,,5400,5400,,5,,,,,,,,,,,,,,,,,16,new! SoftBank 601HW Black 20GB
516,965,10,8,None (+ 0 JPY),None (+ 0 JPY),,,[13 days RENTAL] SoftBank 601HW Black,1,,,,,,,,[13 days RENTAL] SoftBank 601HW Black,sk.jpg,*,sk.jpg,sk.jpg,,,,,,,,,,,,,,,,,,,,,,,1,en_sk_012,,1,,5850,5850,,5,,,,,,,,,,,,,,,,,16,new! SoftBank 601HW Black 20GB
517,966,10,8,None (+ 0 JPY),None (+ 0 JPY),,,[14 days RENTAL] SoftBank 601HW Black,1,,,,,,,,[14 days RENTAL] SoftBank 601HW Black,sk.jpg,*,sk.jpg,sk.jpg,,,,,,,,,,,,,,,,,,,,,,,1,en_sk_013,,1,,6300,6300,,5,,,,,,,,,,,,,,,,,16,new! SoftBank 601HW Black 20GB
518,967,10,8,None (+ 0 JPY),None (+ 0 JPY),,,[1 Month (15 days〜31 days)] SoftBank 601HW Black,1,,,,,,,,[15 days RENTAL] SoftBank 601HW Black,sk.jpg,*,sk.jpg,sk.jpg,,,,,,,,,,,,,,,,,,,,,,,1,en_sk_014,,1,,6750,6750,,5,,,,,,,,,,,,,,,,,16,new! SoftBank 601HW Black 20GB
519,968,10,8,None (+ 0 JPY),None (+ 0 JPY),,,[1 Month (15 days〜31 days)] SoftBank 601HW Black,1,,,,,,,,[16 days RENTAL] SoftBank 601HW Black,sk.jpg,*,sk.jpg,sk.jpg,,,,,,,,,,,,,,,,,,,,,,1,1,en_sk_015,,1,,6750,6750,,5,,,,,,,,,,,,,,,,,16,new! SoftBank 601HW Black 20GB
520,969,10,8,None (+ 0 JPY),None (+ 0 JPY),,,[1 Month (15 days〜31 days)] SoftBank 601HW Black,1,,,,,,,,[17 days RENTAL] SoftBank 601HW Black,sk.jpg,*,sk.jpg,sk.jpg,,,,,,,,,,,,,,,,,,,,,,1,1,en_sk_016,,1,,6750,6750,,5,,,,,,,,,,,,,,,,,16,new! SoftBank 601HW Black 20GB
521,970,10,8,None (+ 0 JPY),None (+ 0 JPY),,,[1 Month (15 days〜31 days)] SoftBank 601HW Black,1,,,,,,,,[18 days RENTAL] SoftBank 601HW Black,sk.jpg,*,sk.jpg,sk.jpg,,,,,,,,,,,,,,,,,,,,,,1,1,en_sk_017,,1,,6750,6750,,5,,,,,,,,,,,,,,,,,16,new! SoftBank 601HW Black 20GB
522,971,10,8,None (+ 0 JPY),None (+ 0 JPY),,,[1 Month (15 days〜31 days)] SoftBank 601HW Black,1,,,,,,,,[19 days RENTAL] SoftBank 601HW Black,sk.jpg,*,sk.jpg,sk.jpg,,,,,,,,,,,,,,,,,,,,,,1,1,en_sk_018,,1,,6750,6750,,5,,,,,,,,,,,,,,,,,16,new! SoftBank 601HW Black 20GB
523,972,10,8,None (+ 0 JPY),None (+ 0 JPY),,,[1 Month (15 days〜31 days)] SoftBank 601HW Black,1,,,,,,,,[20 days RENTAL] SoftBank 601HW Black,sk.jpg,*,sk.jpg,sk.jpg,,,,,,,,,,,,,,,,,,,,,,1,1,en_sk_019,,1,,6750,6750,,5,,,,,,,,,,,,,,,,,16,new! SoftBank 601HW Black 20GB
524,973,10,8,None (+ 0 JPY),None (+ 0 JPY),,,[1 Month (15 days〜31 days)] SoftBank 601HW Black,1,,,,,,,,[21 days RENTAL] SoftBank 601HW Black,sk.jpg,*,sk.jpg,sk.jpg,,,,,,,,,,,,,,,,,,,,,,1,1,en_sk_020,,1,,6750,6750,,5,,,,,,,,,,,,,,,,,16,new! SoftBank 601HW Black 20GB
525,974,10,8,None (+ 0 JPY),None (+ 0 JPY),,,[1 Month (15 days〜31 days)] SoftBank 601HW Black,1,,,,,,,,[22 days RENTAL] SoftBank 601HW Black,sk.jpg,*,sk.jpg,sk.jpg,,,,,,,,,,,,,,,,,,,,,,1,1,en_sk_021,,1,,6750,6750,,5,,,,,,,,,,,,,,,,,16,new! SoftBank 601HW Black 20GB
526,975,10,8,None (+ 0 JPY),None (+ 0 JPY),,,[1 Month (15 days〜31 days)] SoftBank 601HW Black,1,,,,,,,,[23 days RENTAL] SoftBank 601HW Black,sk.jpg,*,sk.jpg,sk.jpg,,,,,,,,,,,,,,,,,,,,,,1,1,en_sk_022,,1,,6750,6750,,5,,,,,,,,,,,,,,,,,16,new! SoftBank 601HW Black 20GB
