商品ID,商品規格ID,親規格分類ID,規格分類ID,親規格分類名,規格分類名,メーカーID,メーカー名,商品名,表示ステータス(公開・非公開),メーカーURL(コメント1),コメント2,検索ワード(コメント3),コメント4,コメント5,コメント6,備考欄(SHOP専用),一覧-メインコメント,一覧-メイン画像,詳細-メインコメント,詳細-メイン画像,詳細-メイン拡大画像,詳細-サブタイトル(1),詳細-サブコメント(1),詳細-サブ画像(1),詳細-サブ拡大画像(1),詳細-サブタイトル(2),詳細-サブコメント(2),詳細-サブ画像(2),詳細-サブ拡大画像(2),詳細-サブタイトル(3),詳細-サブコメント(3),詳細-サブ画像(3),詳細-サブ拡大画像(3),詳細-サブタイトル(4),詳細-サブコメント(4),詳細-サブ画像(4),詳細-サブ拡大画像(4),詳細-サブタイトル(5),詳細-サブコメント(5),詳細-サブ画像(5),詳細-サブ拡大画像(5),発送日目安ID,削除フラグ,商品種別ID,商品コード,在庫数,在庫無制限フラグ,販売制限数,通常価格,販売価格,送料,ポイント付与率,ダウンロードファイル名,ダウンロード実ファイル,関連商品ID(1),関連商品コメント(1),関連商品ID(2),関連商品コメント(2),関連商品ID(3),関連商品コメント(3),関連商品ID(4),関連商品コメント(4),関連商品ID(5),関連商品コメント(5),関連商品ID(6),関連商品コメント(6),商品ステータス,商品ステータス名,カテゴリID,カテゴリ名
869,2413,10,8,None (+ 0 JPY),None (+ 0 JPY),,, SoftBank 601HW WHITE [ 1 Day RENTAL ],1,,,,,,,,[1 days RENTAL] SoftBank 601HW White,sl.jpg,*,sl.jpg,sl.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sl_000,,1,,550,550,,5,,,,,,,,,,,,,,,,,17,SoftBank 601HW White 50GB
870,2414,10,8,None (+ 0 JPY),None (+ 0 JPY),,, SoftBank 601HW WHITE [ 2 Days RENTAL ],1,,,,,,,,[2 days RENTAL] SoftBank 601HW White,sl.jpg,*,sl.jpg,sl.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sl_001,,1,,1100,1100,,5,,,,,,,,,,,,,,,,,17,SoftBank 601HW White 50GB
871,2415,10,8,None (+ 0 JPY),None (+ 0 JPY),,, SoftBank 601HW WHITE [ 3 Days RENTAL ],1,,,,,,,,[3 days RENTAL] SoftBank 601HW White,sl.jpg,*,sl.jpg,sl.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sl_002,,1,,1650,1650,,5,,,,,,,,,,,,,,,,,17,SoftBank 601HW White 50GB
872,2416,10,8,None (+ 0 JPY),None (+ 0 JPY),,, SoftBank 601HW WHITE [ 4 Days RENTAL ],1,,,,,,,,[4 days RENTAL] SoftBank 601HW White,sl.jpg,*,sl.jpg,sl.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sl_003,,1,,2200,2200,,5,,,,,,,,,,,,,,,,,17,SoftBank 601HW White 50GB
873,2417,10,8,None (+ 0 JPY),None (+ 0 JPY),,, SoftBank 601HW WHITE [ 5 Days RENTAL ],1,,,,,,,,[5 days RENTAL] SoftBank 601HW White,sl.jpg,*,sl.jpg,sl.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sl_004,,1,,2750,2750,,5,,,,,,,,,,,,,,,,,17,SoftBank 601HW White 50GB
874,2418,10,8,None (+ 0 JPY),None (+ 0 JPY),,, SoftBank 601HW WHITE [ 6 Days RENTAL ],1,,,,,,,,[6 days RENTAL] SoftBank 601HW White,sl.jpg,*,sl.jpg,sl.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sl_005,,1,,3300,3300,,5,,,,,,,,,,,,,,,,,17,SoftBank 601HW White 50GB
875,2419,10,8,None (+ 0 JPY),None (+ 0 JPY),,, SoftBank 601HW WHITE [ 7 Days RENTAL ],1,,,,,,,,[7 days RENTAL] SoftBank 601HW White,sl.jpg,*,sl.jpg,sl.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sl_006,,1,,3850,3850,,5,,,,,,,,,,,,,,,,,17,SoftBank 601HW White 50GB
876,2420,10,8,None (+ 0 JPY),None (+ 0 JPY),,, SoftBank 601HW WHITE [ 8 Days RENTAL ],1,,,,,,,,[8 days RENTAL] SoftBank 601HW White,sl.jpg,*,sl.jpg,sl.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sl_007,,1,,4400,4400,,5,,,,,,,,,,,,,,,,,17,SoftBank 601HW White 50GB
877,2421,10,8,None (+ 0 JPY),None (+ 0 JPY),,, SoftBank 601HW WHITE [ 9 Days RENTAL ],1,,,,,,,,[9 days RENTAL] SoftBank 601HW White,sl.jpg,*,sl.jpg,sl.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sl_008,,1,,4950,4950,,5,,,,,,,,,,,,,,,,,17,SoftBank 601HW White 50GB
878,2422,10,8,None (+ 0 JPY),None (+ 0 JPY),,, SoftBank 601HW WHITE [ 10 Days RENTAL ],1,,,,,,,,[10 days RENTAL] SoftBank 601HW White,sl.jpg,*,sl.jpg,sl.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,en_sl_009,,1,,5500,5500,,5,,,,,,,,,,,,,,,,,17,SoftBank 601HW White 50GB
