商品ID,商品規格ID,親規格分類ID,規格分類ID,親規格分類名,規格分類名,メーカーID,メーカー名,商品名,表示ステータス(公開・非公開),メーカーURL(コメント1),コメント2,検索ワード(コメント3),コメント4,コメント5,コメント6,備考欄(SHOP専用),一覧-メインコメント,一覧-メイン画像,詳細-メインコメント,詳細-メイン画像,詳細-メイン拡大画像,詳細-サブタイトル(1),詳細-サブコメント(1),詳細-サブ画像(1),詳細-サブ拡大画像(1),詳細-サブタイトル(2),詳細-サブコメント(2),詳細-サブ画像(2),詳細-サブ拡大画像(2),詳細-サブタイトル(3),詳細-サブコメント(3),詳細-サブ画像(3),詳細-サブ拡大画像(3),詳細-サブタイトル(4),詳細-サブコメント(4),詳細-サブ画像(4),詳細-サブ拡大画像(4),詳細-サブタイトル(5),詳細-サブコメント(5),詳細-サブ画像(5),詳細-サブ拡大画像(5),発送日目安ID,削除フラグ,商品種別ID,商品コード,在庫数,在庫無制限フラグ,販売制限数,通常価格,販売価格,送料,ポイント付与率,ダウンロードファイル名,ダウンロード実ファイル,関連商品ID(1),関連商品コメント(1),関連商品ID(2),関連商品コメント(2),関連商品ID(3),関連商品コメント(3),関連商品ID(4),関連商品コメント(4),関連商品ID(5),関連商品コメント(5),関連商品ID(6),関連商品コメント(6),商品ステータス,商品ステータス名,カテゴリID,カテゴリ名
1667,11272,748,2571,Yes,0-[extension]1Day,2,カート用延長フラグ,Extension SoftBank 809SH,1,,,,,,,,*,sh/img001-ex.jpg,*,sh/img001-ex.jpg,,,,,,,,,,,,,,,,,,,,,,,0,1,en_sh_ex_000_bt,,1,,590,640,,5,,,,,,,,,,,,,,,,,"23,28","NEW extension,Extension SoftBank 809SH"
1667,11273,747,2571,No,0-[extension]1Day,2,カート用延長フラグ,Extension SoftBank 809SH,1,,,,,,,,*,sh/img001-ex.jpg,*,sh/img001-ex.jpg,,,,,,,,,,,,,,,,,,,,,,,0,1,en_sh_ex_000,,1,,590,590,,5,,,,,,,,,,,,,,,,,"23,28","NEW extension,Extension SoftBank 809SH"
1667,11274,748,2572,Yes,1-[extension]2Days,2,カート用延長フラグ,Extension SoftBank 809SH,1,,,,,,,,*,sh/img001-ex.jpg,*,sh/img001-ex.jpg,,,,,,,,,,,,,,,,,,,,,,,0,1,en_sh_ex_001_bt,,1,,1180,1280,,5,,,,,,,,,,,,,,,,,"23,28","NEW extension,Extension SoftBank 809SH"
1667,11275,747,2572,No,1-[extension]2Days,2,カート用延長フラグ,Extension SoftBank 809SH,1,,,,,,,,*,sh/img001-ex.jpg,*,sh/img001-ex.jpg,,,,,,,,,,,,,,,,,,,,,,,0,1,en_sh_ex_001,,1,,1180,1180,,5,,,,,,,,,,,,,,,,,"23,28","NEW extension,Extension SoftBank 809SH"
1667,11276,748,2573,Yes,2-[extension]3Days,2,カート用延長フラグ,Extension SoftBank 809SH,1,,,,,,,,*,sh/img001-ex.jpg,*,sh/img001-ex.jpg,,,,,,,,,,,,,,,,,,,,,,,0,1,en_sh_ex_002_bt,,1,,1770,1920,,5,,,,,,,,,,,,,,,,,"23,28","NEW extension,Extension SoftBank 809SH"
1667,11277,747,2573,No,2-[extension]3Days,2,カート用延長フラグ,Extension SoftBank 809SH,1,,,,,,,,*,sh/img001-ex.jpg,*,sh/img001-ex.jpg,,,,,,,,,,,,,,,,,,,,,,,0,1,en_sh_ex_002,,1,,1770,1770,,5,,,,,,,,,,,,,,,,,"23,28","NEW extension,Extension SoftBank 809SH"
1667,11278,748,2574,Yes,3-[extension]4Days,2,カート用延長フラグ,Extension SoftBank 809SH,1,,,,,,,,*,sh/img001-ex.jpg,*,sh/img001-ex.jpg,,,,,,,,,,,,,,,,,,,,,,,0,1,en_sh_ex_003_bt,,1,,2360,2560,,5,,,,,,,,,,,,,,,,,"23,28","NEW extension,Extension SoftBank 809SH"
1667,11279,747,2574,No,3-[extension]4Days,2,カート用延長フラグ,Extension SoftBank 809SH,1,,,,,,,,*,sh/img001-ex.jpg,*,sh/img001-ex.jpg,,,,,,,,,,,,,,,,,,,,,,,0,1,en_sh_ex_003,,1,,2360,2360,,5,,,,,,,,,,,,,,,,,"23,28","NEW extension,Extension SoftBank 809SH"
1667,11280,748,2575,Yes,4-[extension]5Days,2,カート用延長フラグ,Extension SoftBank 809SH,1,,,,,,,,*,sh/img001-ex.jpg,*,sh/img001-ex.jpg,,,,,,,,,,,,,,,,,,,,,,,0,1,en_sh_ex_004_bt,,1,,2950,3200,,5,,,,,,,,,,,,,,,,,"23,28","NEW extension,Extension SoftBank 809SH"
1667,11281,747,2575,No,4-[extension]5Days,2,カート用延長フラグ,Extension SoftBank 809SH,1,,,,,,,,*,sh/img001-ex.jpg,*,sh/img001-ex.jpg,,,,,,,,,,,,,,,,,,,,,,,0,1,en_sh_ex_004,,1,,2950,2950,,5,,,,,,,,,,,,,,,,,"23,28","NEW extension,Extension SoftBank 809SH"
