商品ID,商品規格ID,親規格分類ID,規格分類ID,親規格分類名,規格分類名,メーカーID,メーカー名,商品名,表示ステータス(公開・非公開),メーカーURL(コメント1),コメント2,検索ワード(コメント3),コメント4,コメント5,コメント6,備考欄(SHOP専用),一覧-メインコメント,一覧-メイン画像,詳細-メインコメント,詳細-メイン画像,詳細-メイン拡大画像,詳細-サブタイトル(1),詳細-サブコメント(1),詳細-サブ画像(1),詳細-サブ拡大画像(1),詳細-サブタイトル(2),詳細-サブコメント(2),詳細-サブ画像(2),詳細-サブ拡大画像(2),詳細-サブタイトル(3),詳細-サブコメント(3),詳細-サブ画像(3),詳細-サブ拡大画像(3),詳細-サブタイトル(4),詳細-サブコメント(4),詳細-サブ画像(4),詳細-サブ拡大画像(4),詳細-サブタイトル(5),詳細-サブコメント(5),詳細-サブ画像(5),詳細-サブ拡大画像(5),発送日目安ID,削除フラグ,商品種別ID,商品コード,在庫数,在庫無制限フラグ,販売制限数,通常価格,販売価格,送料,ポイント付与率,ダウンロードファイル名,ダウンロード実ファイル,関連商品ID(1),関連商品コメント(1),関連商品ID(2),関連商品コメント(2),関連商品ID(3),関連商品コメント(3),関連商品ID(4),関連商品コメント(4),関連商品ID(5),関連商品コメント(5),関連商品ID(6),関連商品コメント(6),商品ステータス,商品ステータス名,カテゴリID,カテゴリ名
,,,,Insurance [YES] / Additional Battery [NONE],1-2Days,1,カート用通常フラグ,WiMAX HOME 5G L12/L13 Unlimited,1,,,,,,,,*,wh/img001.jpg,*,wh/img001.jpg,,,,,,,,,,,,,,,,,,,,,,,1,1,en_wh_001_in,,1,,1180,1730,,5,,,,,,,,,,,,,,,,,"21,36","NEW rental,WiMAX HOME 5G L12/L13"
,,,,Insurance [NONE] / Additional Battery [NONE],1-2Days,1,カート用通常フラグ,WiMAX HOME 5G L12/L13 Unlimited,1,,,,,,,,*,wh/img001.jpg,*,wh/img001.jpg,,,,,,,,,,,,,,,,,,,,,,,1,1,en_wh_001,,1,,1180,1180,,5,,,,,,,,,,,,,,,,,"21,36","NEW rental,WiMAX HOME 5G L12/L13"
,,,,Insurance [YES] / Additional Battery [NONE],2-3Days,1,カート用通常フラグ,WiMAX HOME 5G L12/L13 Unlimited,1,,,,,,,,*,wh/img001.jpg,*,wh/img001.jpg,,,,,,,,,,,,,,,,,,,,,,,1,1,en_wh_002_in,,1,,1770,2320,,5,,,,,,,,,,,,,,,,,"21,36","NEW rental,WiMAX HOME 5G L12/L13"
,,,,Insurance [NONE] / Additional Battery [NONE],2-3Days,1,カート用通常フラグ,WiMAX HOME 5G L12/L13 Unlimited,1,,,,,,,,*,wh/img001.jpg,*,wh/img001.jpg,,,,,,,,,,,,,,,,,,,,,,,1,1,en_wh_002,,1,,1770,1770,,5,,,,,,,,,,,,,,,,,"21,36","NEW rental,WiMAX HOME 5G L12/L13"
,,,,Insurance [YES] / Additional Battery [NONE],3-4Days,1,カート用通常フラグ,WiMAX HOME 5G L12/L13 Unlimited,1,,,,,,,,*,wh/img001.jpg,*,wh/img001.jpg,,,,,,,,,,,,,,,,,,,,,,,1,1,en_wh_003_in,,1,,2360,2910,,5,,,,,,,,,,,,,,,,,"21,36","NEW rental,WiMAX HOME 5G L12/L13"
,,,,Insurance [NONE] / Additional Battery [NONE],3-4Days,1,カート用通常フラグ,WiMAX HOME 5G L12/L13 Unlimited,1,,,,,,,,*,wh/img001.jpg,*,wh/img001.jpg,,,,,,,,,,,,,,,,,,,,,,,1,1,en_wh_003,,1,,2360,2360,,5,,,,,,,,,,,,,,,,,"21,36","NEW rental,WiMAX HOME 5G L12/L13"
,,,,Insurance [YES] / Additional Battery [NONE],4-5Days,1,カート用通常フラグ,WiMAX HOME 5G L12/L13 Unlimited,1,,,,,,,,*,wh/img001.jpg,*,wh/img001.jpg,,,,,,,,,,,,,,,,,,,,,,,1,1,en_wh_004_in,,1,,2950,3500,,5,,,,,,,,,,,,,,,,,"21,36","NEW rental,WiMAX HOME 5G L12/L13"
,,,,Insurance [NONE] / Additional Battery [NONE],4-5Days,1,カート用通常フラグ,WiMAX HOME 5G L12/L13 Unlimited,1,,,,,,,,*,wh/img001.jpg,*,wh/img001.jpg,,,,,,,,,,,,,,,,,,,,,,,1,1,en_wh_004,,1,,2950,2950,,5,,,,,,,,,,,,,,,,,"21,36","NEW rental,WiMAX HOME 5G L12/L13"
,,,,Insurance [YES] / Additional Battery [NONE],5-6Days,1,カート用通常フラグ,WiMAX HOME 5G L12/L13 Unlimited,1,,,,,,,,*,wh/img001.jpg,*,wh/img001.jpg,,,,,,,,,,,,,,,,,,,,,,,1,1,en_wh_005_in,,1,,3540,4090,,5,,,,,,,,,,,,,,,,,"21,36","NEW rental,WiMAX HOME 5G L12/L13"
,,,,Insurance [NONE] / Additional Battery [NONE],5-6Days,1,カート用通常フラグ,WiMAX HOME 5G L12/L13 Unlimited,1,,,,,,,,*,wh/img001.jpg,*,wh/img001.jpg,,,,,,,,,,,,,,,,,,,,,,,1,1,en_wh_005,,1,,3540,3540,,5,,,,,,,,,,,,,,,,,"21,36","NEW rental,WiMAX HOME 5G L12/L13"
,,,,Insurance [YES] / Additional Battery [NONE],6-7Days,1,カート用通常フラグ,WiMAX HOME 5G L12/L13 Unlimited,1,,,,,,,,*,wh/img001.jpg,*,wh/img001.jpg,,,,,,,,,,,,,,,,,,,,,,,1,1,en_wh_006_in,,1,,4130,4680,,5,,,,,,,,,,,,,,,,,"21,36","NEW rental,WiMAX HOME 5G L12/L13"
,,,,Insurance [NONE] / Additional Battery [NONE],6-7Days,1,カート用通常フラグ,WiMAX HOME 5G L12/L13 Unlimited,1,,,,,,,,*,wh/img001.jpg,*,wh/img001.jpg,,,,,,,,,,,,,,,,,,,,,,,1,1,en_wh_006,,1,,4130,4130,,5,,,,,,,,,,,,,,,,,"21,36","NEW rental,WiMAX HOME 5G L12/L13"
,,,,Insurance [YES] / Additional Battery [NONE],7-8Days,1,カート用通常フラグ,WiMAX HOME 5G L12/L13 Unlimited,1,,,,,,,,*,wh/img001.jpg,*,wh/img001.jpg,,,,,,,,,,,,,,,,,,,,,,,1,1,en_wh_007_in,,1,,4720,5270,,5,,,,,,,,,,,,,,,,,"21,36","NEW rental,WiMAX HOME 5G L12/L13"
,,,,Insurance [NONE] / Additional Battery [NONE],7-8Days,1,カート用通常フラグ,WiMAX HOME 5G L12/L13 Unlimited,1,,,,,,,,*,wh/img001.jpg,*,wh/img001.jpg,,,,,,,,,,,,,,,,,,,,,,,1,1,en_wh_007,,1,,4720,4720,,5,,,,,,,,,,,,,,,,,"21,36","NEW rental,WiMAX HOME 5G L12/L13"
,,,,Insurance [YES] / Additional Battery [NONE],8-9Days,1,カート用通常フラグ,WiMAX HOME 5G L12/L13 Unlimited,1,,,,,,,,*,wh/img001.jpg,*,wh/img001.jpg,,,,,,,,,,,,,,,,,,,,,,,1,1,en_wh_008_in,,1,,5310,5860,,5,,,,,,,,,,,,,,,,,"21,36","NEW rental,WiMAX HOME 5G L12/L13"
,,,,Insurance [NONE] / Additional Battery [NONE],8-9Days,1,カート用通常フラグ,WiMAX HOME 5G L12/L13 Unlimited,1,,,,,,,,*,wh/img001.jpg,*,wh/img001.jpg,,,,,,,,,,,,,,,,,,,,,,,1,1,en_wh_008,,1,,5310,5310,,5,,,,,,,,,,,,,,,,,"21,36","NEW rental,WiMAX HOME 5G L12/L13"
,,,,Insurance [YES] / Additional Battery [NONE],9-10Days,1,カート用通常フラグ,WiMAX HOME 5G L12/L13 Unlimited,1,,,,,,,,*,wh/img001.jpg,*,wh/img001.jpg,,,,,,,,,,,,,,,,,,,,,,,1,1,en_wh_009_in,,1,,5900,6450,,5,,,,,,,,,,,,,,,,,"21,36","NEW rental,WiMAX HOME 5G L12/L13"
,,,,Insurance [NONE] / Additional Battery [NONE],9-10Days,1,カート用通常フラグ,WiMAX HOME 5G L12/L13 Unlimited,1,,,,,,,,*,wh/img001.jpg,*,wh/img001.jpg,,,,,,,,,,,,,,,,,,,,,,,1,1,en_wh_009,,1,,5900,5900,,5,,,,,,,,,,,,,,,,,"21,36","NEW rental,WiMAX HOME 5G L12/L13"
,,,,Insurance [YES] / Additional Battery [NONE],10-11Days,1,カート用通常フラグ,WiMAX HOME 5G L12/L13 Unlimited,1,,,,,,,,*,wh/img001.jpg,*,wh/img001.jpg,,,,,,,,,,,,,,,,,,,,,,,1,1,en_wh_010_in,,1,,6490,7040,,5,,,,,,,,,,,,,,,,,"21,36","NEW rental,WiMAX HOME 5G L12/L13"
,,,,Insurance [NONE] / Additional Battery [NONE],10-11Days,1,カート用通常フラグ,WiMAX HOME 5G L12/L13 Unlimited,1,,,,,,,,*,wh/img001.jpg,*,wh/img001.jpg,,,,,,,,,,,,,,,,,,,,,,,1,1,en_wh_010,,1,,6490,6490,,5,,,,,,,,,,,,,,,,,"21,36","NEW rental,WiMAX HOME 5G L12/L13"
,,,,Insurance [YES] / Additional Battery [NONE],11-12Days,1,カート用通常フラグ,WiMAX HOME 5G L12/L13 Unlimited,1,,,,,,,,*,wh/img001.jpg,*,wh/img001.jpg,,,,,,,,,,,,,,,,,,,,,,,1,1,en_wh_011_in,,1,,7080,7630,,5,,,,,,,,,,,,,,,,,"21,36","NEW rental,WiMAX HOME 5G L12/L13"
,,,,Insurance [NONE] / Additional Battery [NONE],11-12Days,1,カート用通常フラグ,WiMAX HOME 5G L12/L13 Unlimited,1,,,,,,,,*,wh/img001.jpg,*,wh/img001.jpg,,,,,,,,,,,,,,,,,,,,,,,1,1,en_wh_011,,1,,7080,7080,,5,,,,,,,,,,,,,,,,,"21,36","NEW rental,WiMAX HOME 5G L12/L13"
,,,,Insurance [YES] / Additional Battery [NONE],12-13Days,1,カート用通常フラグ,WiMAX HOME 5G L12/L13 Unlimited,1,,,,,,,,*,wh/img001.jpg,*,wh/img001.jpg,,,,,,,,,,,,,,,,,,,,,,,1,1,en_wh_012_in,,1,,7670,8220,,5,,,,,,,,,,,,,,,,,"21,36","NEW rental,WiMAX HOME 5G L12/L13"
,,,,Insurance [NONE] / Additional Battery [NONE],12-13Days,1,カート用通常フラグ,WiMAX HOME 5G L12/L13 Unlimited,1,,,,,,,,*,wh/img001.jpg,*,wh/img001.jpg,,,,,,,,,,,,,,,,,,,,,,,1,1,en_wh_012,,1,,7670,7670,,5,,,,,,,,,,,,,,,,,"21,36","NEW rental,WiMAX HOME 5G L12/L13"
,,,,Insurance [YES] / Additional Battery [NONE],13-14Days,1,カート用通常フラグ,WiMAX HOME 5G L12/L13 Unlimited,1,,,,,,,,*,wh/img001.jpg,*,wh/img001.jpg,,,,,,,,,,,,,,,,,,,,,,,1,1,en_wh_013_in,,1,,8260,8810,,5,,,,,,,,,,,,,,,,,"21,36","NEW rental,WiMAX HOME 5G L12/L13"
,,,,Insurance [NONE] / Additional Battery [NONE],13-14Days,1,カート用通常フラグ,WiMAX HOME 5G L12/L13 Unlimited,1,,,,,,,,*,wh/img001.jpg,*,wh/img001.jpg,,,,,,,,,,,,,,,,,,,,,,,1,1,en_wh_013,,1,,8260,8260,,5,,,,,,,,,,,,,,,,,"21,36","NEW rental,WiMAX HOME 5G L12/L13"
,,,,Insurance [YES] / Additional Battery [NONE],14-15Days (Value Rental Pack: 1Month Pack),1,カート用通常フラグ,WiMAX HOME 5G L12/L13 Unlimited,1,,,,,,,,*,wh/img001.jpg,*,wh/img001.jpg,,,,,,,,,,,,,,,,,,,,,,,1,1,en_wh_014_in,,1,,8850,9400,,5,,,,,,,,,,,,,,,,,"21,36","NEW rental,WiMAX HOME 5G L12/L13"
