商品ID,商品規格ID,親規格分類ID,規格分類ID,親規格分類名,規格分類名,メーカーID,メーカー名,商品名,表示ステータス(公開・非公開),メーカーURL(コメント1),コメント2,検索ワード(コメント3),コメント4,コメント5,コメント6,備考欄(SHOP専用),一覧-メインコメント,一覧-メイン画像,詳細-メインコメント,詳細-メイン画像,詳細-メイン拡大画像,詳細-サブタイトル(1),詳細-サブコメント(1),詳細-サブ画像(1),詳細-サブ拡大画像(1),詳細-サブタイトル(2),詳細-サブコメント(2),詳細-サブ画像(2),詳細-サブ拡大画像(2),詳細-サブタイトル(3),詳細-サブコメント(3),詳細-サブ画像(3),詳細-サブ拡大画像(3),詳細-サブタイトル(4),詳細-サブコメント(4),詳細-サブ画像(4),詳細-サブ拡大画像(4),詳細-サブタイトル(5),詳細-サブコメント(5),詳細-サブ画像(5),詳細-サブ拡大画像(5),発送日目安ID,削除フラグ,商品種別ID,商品コード,在庫数,在庫無制限フラグ,販売制限数,通常価格,販売価格,送料,ポイント付与率,ダウンロードファイル名,ダウンロード実ファイル,関連商品ID(1),関連商品コメント(1),関連商品ID(2),関連商品コメント(2),関連商品ID(3),関連商品コメント(3),関連商品ID(4),関連商品コメント(4),関連商品ID(5),関連商品コメント(5),関連商品ID(6),関連商品コメント(6),商品ステータス,商品ステータス名,カテゴリID,カテゴリ名
1662,5439,380,749,Insurance [YES] / Additional Battery [YES],1-2Days,1,カート用通常フラグ,SoftBank 601HW [20GB],1,,,,,,,,*,fs/img001.jpg,*,fs/img001.jpg,,,,,,,,,,,,,,,,,,,,,,,0,1,en_fs_001_in_bt,,1,,780,1430,,5,,,,,,,,,,,,,,,,,"21,22","NEW rental,SoftBank 601HW 20GB"
1662,5440,379,749,Insurance [YES] / Additional Battery [NONE],1-2Days,1,カート用通常フラグ,SoftBank 601HW [20GB],1,,,,,,,,*,fs/img001.jpg,*,fs/img001.jpg,,,,,,,,,,,,,,,,,,,,,,,0,1,en_fs_001_in,,1,,780,1330,,5,,,,,,,,,,,,,,,,,"21,22","NEW rental,SoftBank 601HW 20GB"
1662,5441,378,749,Insurance [NONE] / Additional Battery [YES],1-2Days,1,カート用通常フラグ,SoftBank 601HW [20GB],1,,,,,,,,*,fs/img001.jpg,*,fs/img001.jpg,,,,,,,,,,,,,,,,,,,,,,,0,1,en_fs_001_bt,,1,,780,880,,5,,,,,,,,,,,,,,,,,"21,22","NEW rental,SoftBank 601HW 20GB"
1662,5442,377,749,Insurance [NONE] / Additional Battery [NONE],1-2Days,1,カート用通常フラグ,SoftBank 601HW [20GB],1,,,,,,,,*,fs/img001.jpg,*,fs/img001.jpg,,,,,,,,,,,,,,,,,,,,,,,0,1,en_fs_001,,1,,780,780,,5,,,,,,,,,,,,,,,,,"21,22","NEW rental,SoftBank 601HW 20GB"
1662,5443,380,750,Insurance [YES] / Additional Battery [YES],2-3Days,1,カート用通常フラグ,SoftBank 601HW [20GB],1,,,,,,,,*,fs/img001.jpg,*,fs/img001.jpg,,,,,,,,,,,,,,,,,,,,,,,0,1,en_fs_002_in_bt,,1,,1170,1870,,5,,,,,,,,,,,,,,,,,"21,22","NEW rental,SoftBank 601HW 20GB"
1662,5444,379,750,Insurance [YES] / Additional Battery [NONE],2-3Days,1,カート用通常フラグ,SoftBank 601HW [20GB],1,,,,,,,,*,fs/img001.jpg,*,fs/img001.jpg,,,,,,,,,,,,,,,,,,,,,,,0,1,en_fs_002_in,,1,,1170,1720,,5,,,,,,,,,,,,,,,,,"21,22","NEW rental,SoftBank 601HW 20GB"
1662,5445,378,750,Insurance [NONE] / Additional Battery [YES],2-3Days,1,カート用通常フラグ,SoftBank 601HW [20GB],1,,,,,,,,*,fs/img001.jpg,*,fs/img001.jpg,,,,,,,,,,,,,,,,,,,,,,,0,1,en_fs_002_bt,,1,,1170,1320,,5,,,,,,,,,,,,,,,,,"21,22","NEW rental,SoftBank 601HW 20GB"
1662,5446,377,750,Insurance [NONE] / Additional Battery [NONE],2-3Days,1,カート用通常フラグ,SoftBank 601HW [20GB],1,,,,,,,,*,fs/img001.jpg,*,fs/img001.jpg,,,,,,,,,,,,,,,,,,,,,,,0,1,en_fs_002,,1,,1170,1170,,5,,,,,,,,,,,,,,,,,"21,22","NEW rental,SoftBank 601HW 20GB"
1662,5447,380,751,Insurance [YES] / Additional Battery [YES],3-4Days,1,カート用通常フラグ,SoftBank 601HW [20GB],1,,,,,,,,*,fs/img001.jpg,*,fs/img001.jpg,,,,,,,,,,,,,,,,,,,,,,,0,1,en_fs_003_in_bt,,1,,1560,2310,,5,,,,,,,,,,,,,,,,,"21,22","NEW rental,SoftBank 601HW 20GB"
1662,5448,379,751,Insurance [YES] / Additional Battery [NONE],3-4Days,1,カート用通常フラグ,SoftBank 601HW [20GB],1,,,,,,,,*,fs/img001.jpg,*,fs/img001.jpg,,,,,,,,,,,,,,,,,,,,,,,0,1,en_fs_003_in,,1,,1560,2110,,5,,,,,,,,,,,,,,,,,"21,22","NEW rental,SoftBank 601HW 20GB"
